Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;18.6(31);23.0(03);28.5(12);22.8(18);33.2(23);38.2(30);41.5(26);40.8(01);34.0(07);29.8(08);27.8(06);19.2(22);41.5(26/jul)
3013;14.4(05);21.6(23);24.3(12);20.2(25);30.0(04);33.4(30);36.6(30);36.2(07);31.2(05);24.1(08);22.0(02);17.1(22);36.6(30/jul)
4642E;20.0(08);27.3(04);29.0(11);25.4(23);36.1(23);37.6(22);41.1(20);42.2(01);35.4(04);33.2(07);29.0(02);21.0(01);42.2(01/ago)
9898;16.0(31);19.3(24);22.3(12);22.7(25);31.5(22);33.8(25);38.8(31);38.4(08);32.6(14);24.2(09);22.9(02);14.1(23);38.8(31/jul)
5270B;17.0(31);22.8(23);28.8(11);25.3(24);33.9(23);38.6(23);41.5(26);;35.5(12);30.0(08);25.8(02);17.4(22);
9170;19.2(31);;24.0(11);22.8(25);;35.0(24);38.3(27);38.3(07);33.4(13);24.4(07);23.3(01);14.9(10);
C249I;23.5(31);28.6(05);25.5(31);26.6(30);29.1(19);30.2(06);36.5(19);37.3(27);34.6(23);;31.0(16);24.0(04);
C649I;24.0(31);28.4(25);24.5(11);25.0(14);;28.5(05);;;35.6(08);31.6(20);30.1(01);24.4(02);
C029O;24.8(30);29.4(25);27.6(09);;33.6(25);;37.5(07);38.0(27);35.6(25);33.6(12);;23.6(04);
2661;15.2(05);20.7(23);21.5(11);19.7(25);30.0(29);33.1(23);35.1(30);34.6(06);30.9(04);23.3(07);18.6(21);15.2(01);35.1(30/jul)
1549;15.8(31);22.2(24);25.2(11);23.2(24);33.5(29);36.7(23);36.8(29);38.5(06);34.5(13);24.8(07);21.2(02);15.4(11);38.5(06/ago)
9771C;17.8(29);20.9(10);26.3(12);25.4(24);34.2(22);34.5(25);41.0(31);39.0(08);34.7(13);26.9(07);25.0(02);15.8(15);41.0(31/jul)
1505;16.6(31);22.1(23);22.8(11);24.1(08);33.2(28);35.2(23);36.7(30);36.3(06);34.1(13);22.5(18);20.9(18);17.8(22);36.7(30/jul)
3191E;14.1(07);19.2(22);22.4(11);18.8(25);;33.6(30);36.4(27);35.3(07);30.4(05);24.1(09);18.6(19);14.5(11);
3129;17.1(08);22.7(23);26.0(11);24.1(25);33.5(23);38.6(30);41.2(27);39.4(07);34.6(05);26.7(09);20.7(01);16.4(11);41.2(27/jul)
3196;15.5(08);22.0(23);;22.5(25);32.2(23);37.3(30);40.0(27);38.6(07);33.8(05);27.0(09);21.5(19);17.0(01);
3200;15.6(08);21.5(22);25.0(12);23.2(25);33.0(23);38.0(30);40.6(30);38.6(06);33.8(05);27.2(09);21.8(01);17.4(01);40.6(30/jul)
3195;15.7(31);20.2(23);24.0(11);23.0(25);32.5(23);37.0(30);39.4(27);38.2(07);32.4(06);25.4(09);19.4(01);15.0(11);39.4(27/jul)
3175;16.8(08);21.9(23);25.4(11);23.4(24);32.6(23);38.5(30);40.5(27);39.4(09);34.2(05);27.2(09);21.2(02);16.7(11);40.5(27/jul)
2462;14.4(01);15.5(23);18.9(11);13.1(24);21.8(24);26.3(30);29.4(31);28.9(07);25.2(05);18.5(09);15.5(01);9.6(13);29.4(31/jul)
