Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;4.4(05);6.1(19);5.6(31);6.9(03);10.7(17);12.4(18);13.2(03);12.9(31);11.1(28);8.8(16);7.8(23);4.9(26);4.4(05/ene)
1387E;-0.6(05);1.3(19);2.8(28);1.4(03);6.3(17);7.3(10);8.7(03);7.9(31);5.9(28);3.1(16);3.0(23);-1.1(26);-1.1(26/dic)
1428;-0.6(01);-2.4(19);0.7(27);2.9(03);6.6(16);6.6(18);8.8(03);8.6(31);7.0(28);5.1(16);3.0(23);0.5(26);-2.4(19/feb)
8175;-5.7(13);-1.4(24);-1.5(07);2.8(02);6.4(13);7.5(10);15.3(10);9.4(30);4.6(28);0.1(17);-2.1(23);-5.8(27);-5.8(27/dic)
8178D;-3.3(02);0.7(21);0.9(07);5.0(03);7.9(13);9.7(10);15.0(15);10.4(30);8.1(28);2.1(17);-0.9(23);-2.5(31);-3.3(02/ene)
8025;2.2(06);4.9(22);6.0(29);8.3(04);13.3(14);15.9(08);20.2(05);16.4(31);13.4(28);9.6(17);6.4(23);1.2(27);1.2(27/dic)
8019;1.9(12);4.3(22);6.3(29);8.5(02);12.1(13);14.7(08);18.9(06);17.2(30);13.3(28);9.8(18);6.5(22);0.2(27);0.2(27/dic)
6325O;5.6(14);6.9(23);8.1(08);;11.2(13);14.0(13);20.0(02);19.4(14);16.9(27);10.2(28);9.5(28);4.1(26);
9091O;-3.9(06);-2.8(20);-3.0(27);-2.0(04);3.5(18);5.5(12);5.0(04);4.0(31);4.5(30);1.1(17);-2.0(22);-0.9(05);-3.9(06/ene)
1212E;2.8(06);3.5(20);1.3(31);5.8(03);7.2(16);10.1(08);12.0(04);10.2(31);8.9(28);6.0(16);;;
1208H;5.1(11);5.3(20);3.4(31);7.4(04);10.8(16);11.7(08);14.7(02);12.8(31);11.2(28);9.7(16);8.3(22);4.6(27);3.4(31/mar)
1249I;1.0(11);2.3(06);0.0(30);4.9(01);7.4(17);9.2(07);11.9(04);8.8(31);7.7(28);4.5(16);4.6(21);1.3(27);0.0(30/mar)
2444;-4.8(12);-2.3(19);-2.4(08);0.1(02);4.6(17);5.1(09);9.5(03);5.4(30);4.1(28);-1.2(16);0.6(23);-4.5(26);-4.8(12/ene)
4452;-2.0(12);2.5(23);1.9(08);3.2(01);8.9(14);10.8(13);12.4(03);11.8(31);10.7(28);3.9(16);4.2(24);-2.9(27);-2.9(27/dic)
B954;1.7(13);2.7(24);3.5(26);6.3(04);;12.6(09);17.2(05);16.2(31);12.8(29);9.7(17);6.6(22);2.0(26);
B893;3.1(13);3.8(06);2.5(26);4.6(05);11.5(29);13.5(09);17.5(15);16.4(31);12.0(27);8.5(15);4.6(24);4.1(27);2.5(26/mar)
B278;-0.9(13);1.2(06);2.6(27);4.3(04);11.4(19);11.9(09);17.0(04);16.0(30);12.6(29);5.5(17);2.8(23);-1.7(27);-1.7(27/dic)
B228;5.2(13);6.8(06);7.5(27);8.9(04);15.1(01);15.1(09);20.8(05);19.0(31);15.2(27);11.8(16);9.7(21);4.8(27);4.8(27/dic)
0200E;3.2(11);5.5(19);4.4(07);7.0(02);11.6(14);11.6(08);17.3(03);13.6(31);9.4(26);6.3(16);7.3(21);0.6(27);0.6(27/dic)
0076;2.4(12);4.8(06);3.7(27);7.6(05);13.7(14);14.3(05);19.3(03);15.7(31);12.8(27);7.3(17);4.6(22);2.3(27);2.3(27/dic)
1082;0.1(06);2.7(20);1.2(27);2.4(03);7.5(17);9.9(12);10.5(04);10.5(31);9.6(30);5.0(17);2.9(22);1.4(05);0.1(06/ene)
2331;-5.6(07);-4.2(19);-4.0(27);-3.1(04);1.3(17);2.9(09);5.7(04);3.5(31);1.4(28);-0.4(17);-3.6(22);-3.4(26);-5.6(07/ene)
3469A;-1.0(12);3.1(19);3.5(17);2.7(01);8.1(14);9.9(12);16.4(03);11.8(30);10.9(26);5.4(16);4.3(24);-1.7(27);-1.7(27/dic)
5973;7.3(21);10.9(27);8.3(17);11.2(01);13.6(12);17.1(08);20.1(10);19.1(30);17.9(26);12.7(27);11.1(27);6.0(27);6.0(27/dic)
5960;-0.2(13);;2.0(08);6.9(03);10.0(01);10.2(13);;12.4(30);10.5(26);4.1(15);3.9(23);;
5910;3.0(13);6.5(28);4.7(08);7.8(03);12.7(17);13.9(13);16.7(04);15.7(30);13.4(26);8.4(16);6.7(24);1.3(27);1.3(27/dic)
6001;6.4(27);7.6(28);;;;;15.9(10);15.5(30);14.3(28);10.0(17);9.1(27);3.0(31);
1111;5.8(06);6.0(06);3.5(31);7.5(04);11.3(12);11.0(11);14.6(04);13.0(31);11.8(24);9.0(17);8.0(22);4.0(08);3.5(31/mar)
1109;1.4(06);2.8(06);;;10.0(17);10.5(11);13.2(04);11.4(31);11.1(30);7.2(17);3.6(22);3.8(29);
8500A;2.7(13);6.0(06);5.6(26);8.1(04);12.7(15);14.1(09);19.7(15);15.9(30);14.1(28);9.4(16);7.1(22);1.9(27);1.9(27/dic)
5000C;9.4(21);11.1(05);10.3(17);11.5(02);12.4(14);16.5(12);18.5(09);19.1(20);17.3(28);13.4(27);11.1(26);8.0(31);8.0(31/dic)
4121;-3.0(05);1.0(15);1.8(08);4.3(02);7.2(15);10.9(12);16.8(15);10.8(31);8.7(28);3.7(17);-0.9(23);-3.5(27);-3.5(27/dic)
5402;0.0(12);2.3(24);2.0(07);6.6(03);9.4(15);12.5(13);17.3(03);13.8(31);9.6(26);5.3(27);3.1(24);-2.5(31);-2.5(31/dic)
8096;-4.9(13);-0.4(27);-0.8(28);1.6(03);6.4(17);6.8(09);13.3(15);8.1(31);6.6(26);0.1(17);-1.3(24);-4.7(31);-4.9(13/ene)
1014;-0.4(21);1.9(06);1.4(30);3.4(04);11.0(24);8.9(12);13.8(04);12.5(31);9.4(27);5.3(17);1.8(22);3.2(26);-0.4(21/ene)
1024E;0.0(20);4.2(06);1.5(30);6.4(04);9.4(12);9.0(11);13.2(04);12.2(29);8.5(25);5.9(17);5.5(21);2.5(26);0.0(20/ene)
0367;-3.3(13);-1.3(06);-0.7(27);0.9(03);8.7(18);;;10.7(31);;;-2.0(22);-4.4(27);
5530E;-5.0(14);-0.8(24);-0.9(08);3.2(03);7.6(01);9.3(13);15.3(02);10.9(31);6.9(26);0.4(27);-1.4(24);-5.4(27);-5.4(27/dic)
5514;-4.5(14);0.0(24);-0.2(08);2.0(03);6.6(01);9.5(13);15.9(04);11.2(31);7.4(26);1.5(27);-1.0(23);-6.1(31);-6.1(31/dic)
3013;-10.3(12);-6.4(24);-4.2(08);-3.0(04);2.0(06);2.9(09);7.7(04);1.3(31);-1.0(28);-4.4(17);-7.3(22);-8.3(27);-10.3(12/ene)
4642E;2.3(13);5.3(23);5.8(07);7.9(03);11.9(14);11.8(13);16.1(03);15.6(31);13.7(26);7.5(17);7.5(23);1.3(27);1.3(27/dic)
9898;-2.9(13);-0.4(19);-0.1(31);1.9(03);7.7(17);7.6(08);9.9(04);9.0(31);6.8(29);2.2(16);0.7(21);-3.7(27);-3.7(27/dic)
5270B;0.6(20);6.7(27);4.3(16);6.7(02);8.5(15);12.2(13);19.7(09);;13.2(27);6.9(27);4.8(23);-0.2(31);
9170;-2.4(14);;-0.5(08);-0.1(04);;6.9(12);10.5(04);9.1(31);6.4(30);-0.1(17);-2.5(24);-0.1(18);
C249I;10.5(15);12.8(02);12.7(26);14.6(16);17.1(04);18.2(03);20.4(12);20.9(19);19.2(01);;14.3(27);13.6(31);
C649I;10.8(30);14.6(02);13.0(23);15.0(03);;17.5(01);;;20.5(02);18.5(22);14.7(27);15.0(06);
C029O;10.3(22);11.8(02);11.8(23);;15.7(07);;19.9(04);20.4(20);19.4(04);16.0(23);;13.0(16);
2661;-6.1(06);-2.9(19);-4.7(31);0.1(04);2.6(17);3.0(09);6.0(03);4.7(31);2.2(28);-1.3(16);1.1(24);-3.8(27);-6.1(06/ene)
1549;-4.9(02);-1.4(19);0.0(28);3.6(04);5.7(16);6.8(09);8.9(03);7.4(31);4.9(28);0.6(16);0.8(23);-5.2(26);-5.2(26/dic)
9771C;-3.4(12);-0.3(06);0.3(27);4.4(05);9.6(18);9.2(08);13.0(04);11.0(31);7.4(30);1.7(16);-1.6(23);-3.1(27);-3.4(12/ene)
1505;-4.1(02);-1.7(18);-0.8(26);0.3(03);4.1(17);4.9(05);4.8(03);5.1(31);2.5(28);0.1(16);0.1(23);-3.3(26);-4.1(02/ene)
3191E;-1.6(14);2.0(09);-1.4(31);1.8(02);;6.8(08);13.4(03);8.4(31);6.7(26);2.3(16);4.0(29);-2.2(27);
3129;-5.0(12);-1.5(20);-0.9(08);0.8(02);5.4(06);8.5(09);16.2(04);9.2(30);5.6(28);0.8(17);-0.7(22);-4.7(27);-5.0(12/ene)
3196;-2.0(12);2.6(20);;2.9(02);8.7(15);8.8(13);16.4(03);10.4(31);7.8(28);4.0(16);3.2(22);-2.8(27);
3200;-2.8(13);1.8(15);1.8(30);2.8(02);9.5(15);9.6(13);17.0(03);12.2(30);9.2(26);4.4(17);2.0(24);-2.6(26);-2.8(13/ene)
3195;-0.7(12);3.6(20);0.1(31);3.4(02);9.1(14);10.0(12);16.6(03);11.6(30);9.1(28);4.6(16);4.1(24);-1.3(27);-1.3(27/dic)
3175;-5.7(12);-1.5(22);-2.3(08);0.4(02);4.3(06);6.4(09);13.7(04);7.2(30);5.1(28);0.1(16);-1.2(22);-5.8(27);-5.8(27/dic)
2462;-10.8(20);-3.9(26);-5.7(07);-1.9(02);0.9(14);0.1(12);8.1(03);1.4(30);-0.5(26);-2.3(26);-0.9(25);-8.7(25);-10.8(20/ene)
6155A;4.5(08);6.6(29);7.6(08);8.9(02);10.6(13);;19.6(01);19.6(21);14.9(28);9.6(17);8.4(24);3.3(27);
6000A;7.0(13);9.4(04);9.1(26);;13.7(14);16.6(10);20.6(07);20.9(30);17.6(28);12.0(28);10.0(28);6.4(27);
7178I;0.5(06);3.2(23);6.1(29);7.9(04);11.2(13);15.8(10);20.0(07);16.4(30);13.7(28);8.6(27);6.1(23);-0.3(27);-0.3(27/dic)
7228;-1.6(13);1.8(24);4.7(29);6.4(02);9.8(13);14.4(01);18.2(06);15.5(30);12.2(28);6.1(17);3.0(23);-1.9(27);-1.9(27/dic)
7031;1.0(14);2.1(24);5.8(29);8.3(02);11.0(13);15.5(10);18.8(02);19.0(14);14.5(28);8.0(18);4.5(24);1.0(31);1.0(14/ene)
9262;-2.2(12);0.9(20);;;;;;8.8(31);7.3(27);2.5(17);0.3(22);0.0(06);
9263D;-4.2(12);-2.6(20);;;6.7(18);;10.9(08);6.5(31);5.6(30);0.3(17);-2.6(23);-1.5(05);
1690A;-0.7(21);-0.2(19);0.7(27);2.5(03);8.4(06);7.4(09);9.0(03);7.5(31);5.3(28);2.7(16);1.8(04);-2.4(26);-2.4(26/dic)
1484C;0.5(01);2.6(19);3.1(31);4.9(01);9.4(10);8.6(08);10.3(03);10.8(31);7.7(28);5.6(26);5.0(04);1.5(26);0.5(01/ene)
1495;0.2(07);3.2(18);1.5(31);3.5(01);8.4(16);8.0(08);;;8.0(28);6.1(16);4.0(04);0.5(26);
2867;-6.7(12);-4.1(19);-3.0(08);-0.4(04);3.8(17);5.6(09);9.1(18);4.2(31);3.0(28);-2.0(16);-2.2(22);-6.5(27);-6.7(12/ene)
2870;-4.6(12);-0.8(20);0.6(28);1.7(03);7.1(18);8.3(09);11.4(03);8.2(31);6.3(26);2.3(16);0.8(23);-3.1(27);-4.6(12/ene)
C929I;15.0(24);15.7(12);14.1(23);16.0(23);17.4(03);18.6(02);20.5(14);21.5(04);21.6(13);19.0(22);16.3(30);15.9(30);14.1(23/mar)
C430E;-5.2(22);0.6(22);-2.9(28);-1.0(18);-2.3(15);4.9(18);10.7(14);7.4(29);8.5(12);0.6(23);-2.1(26);-2.1(05);-5.2(22/ene)
C139E;13.5(22);14.4(22);13.3(28);15.1(26);16.7(07);17.2(12);19.9(01);20.1(20);20.0(06);17.9(22);;15.2(16);
C449C;13.4(22);14.3(22);14.6(17);15.7(02);17.4(22);19.6(02);20.9(12);21.3(21);20.8(20);19.1(23);15.4(29);15.2(06);13.4(22/ene)
C447A;6.4(24);7.9(22);8.8(30);;10.9(05);12.6(02);13.9(13);16.2(31);13.3(20);13.0(22);10.3(29);8.9(30);
C429I;10.7(22);12.0(22);13.7(04);14.4(14);15.8(20);17.9(02);18.8(25);19.0(20);20.1(01);17.7(30);;14.4(28);
2465;-3.8(21);-0.7(19);-1.4(27);-0.2(03);4.5(17);4.6(09);8.6(03);5.8(30);4.2(26);-0.3(16);1.4(25);-3.3(26);-3.8(21/ene)
5796;-0.4(13);2.6(24);3.4(08);6.6(03);9.6(15);11.2(13);16.8(01);14.7(29);11.6(26);6.9(13);3.2(23);-0.8(31);-0.8(31/dic)
5783;3.1(13);6.6(27);6.4(08);8.5(03);11.6(15);;;17.6(30);15.1(26);8.6(15);6.7(24);0.7(31);
2030;-5.7(12);-3.6(20);-3.0(27);-1.9(03);4.8(18);3.0(08);8.1(04);4.7(31);1.5(28);-1.5(17);-3.1(22);-3.3(27);-5.7(12/ene)
0016A;-1.7(04);0.3(19);1.0(27);4.8(04);11.3(12);10.8(10);16.9(05);15.1(30);10.1(29);3.4(17);1.5(21);-1.2(27);-1.7(04/ene)
9981A;-0.9(13);2.3(06);5.1(31);4.9(04);12.8(11);13.4(14);18.5(05);16.8(31);12.7(30);7.3(18);3.2(22);1.6(27);-0.9(13/ene)
9381I;-8.3(12);-4.3(24);-3.1(08);-1.3(03);3.8(18);4.9(10);9.1(04);3.6(31);1.5(28);-3.3(16);-4.6(23);-6.2(03);-8.3(12/ene)
8368U;-8.6(13);-4.1(20);-2.9(08);0.7(04);5.3(11);5.1(10);10.2(05);5.0(31);2.0(29);-2.4(16);-3.6(24);-6.6(27);-8.6(13/ene)
3260B;-3.2(12);0.6(22);0.7(28);4.2(02);9.6(13);9.7(13);17.6(03);11.2(31);7.3(28);2.7(17);0.4(23);-3.2(26);-3.2(12/ene)
