Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10;9;10;15;2;9;0;9;7;15;11;24;121
1387E;10;7;10;13;2;;1;10;;15;10;23;
1428;15;12;10;19;6;6;0;10;6;17;12;24;137
8175;6;0;10;5;9;1;3;3;3;3;6;6;55
8178D;5;0;10;6;7;1;3;1;3;3;6;6;51
8025;3;0;9;7;3;2;0;3;1;2;5;0;35
8019;4;1;9;7;3;1;0;3;1;0;4;1;34
6325O;4;0;5;8;0;0;0;0;2;1;3;0;23
9091O;4;3;10;8;6;7;2;6;8;15;4;19;92
1212E;13;8;11;10;8;13;4;11;10;15;6;23;132
1208H;14;7;10;14;5;11;7;9;8;12;7;21;125
1249I;12;6;11;12;10;14;7;10;10;15;7;21;135
2444;3;1;6;15;7;1;2;2;6;6;6;10;65
4452;6;1;4;14;7;0;1;0;2;6;9;11;61
B954;6;0;4;8;3;3;0;3;4;2;3;6;42
B893;5;0;8;7;3;2;1;3;4;9;3;10;55
B278;6;0;6;6;3;3;1;1;5;4;3;9;47
B228;6;0;6;7;3;3;0;1;5;4;2;11;48
0200E;6;1;6;9;6;8;2;3;8;4;5;2;60
0076;5;1;6;8;5;6;3;5;8;4;6;3;60
1082;6;8;15;11;6;12;4;9;5;17;6;24;123
2331;7;2;7;15;5;7;4;5;8;9;2;10;81
3469A;7;0;9;14;6;1;1;0;4;7;10;8;67
5973;6;2;7;6;6;1;0;1;2;4;9;7;51
5960;6;1;7;7;7;2;0;0;2;5;10;8;55
5910;6;1;7;6;6;1;0;0;2;4;9;8;50
6001;6;2;;;;2;0;0;0;;6;9;
1111;10;9;12;11;8;12;5;10;8;18;6;21;130
1109;9;9;12;10;8;13;6;9;9;17;6;23;131
8500A;4;0;9;6;5;3;1;3;3;2;7;1;44
5000C;7;0;11;8;7;4;0;0;1;5;9;11;63
4121;8;1;9;11;6;0;1;1;3;6;9;10;65
5402;6;0;8;11;6;0;1;1;1;5;7;9;55
8096;4;0;13;11;5;2;4;1;3;4;7;13;67
1014;11;9;14;13;10;14;6;9;8;17;7;21;139
1024E;11;9;14;13;10;15;10;10;10;16;7;22;147
0367;6;2;6;8;3;13;4;4;6;5;6;2;65
5530E;7;1;7;9;6;2;0;0;1;5;4;7;49
5514;5;0;8;11;7;2;0;0;2;3;3;7;48
3013;3;0;10;14;8;6;4;1;5;2;5;8;66
4642E;4;0;5;9;6;1;0;0;1;3;9;2;40
9898;6;0;7;11;9;9;1;1;2;7;4;10;67
5270B;7;1;8;11;6;0;0;0;2;5;8;9;57
9170;7;2;8;9;;6;4;6;7;6;2;12;
C249I;1;0;3;1;0;0;0;0;0;1;3;1;10
C649I;0;1;4;2;0;0;0;0;1;1;4;3;16
C029O;0;0;3;1;0;0;0;0;0;2;8;1;15
2661;9;2;6;13;8;2;1;6;5;7;9;10;78
1549;9;5;8;12;6;4;1;6;5;10;5;18;89
9771C;6;0;6;9;7;8;0;1;2;4;6;6;55
1505;11;9;11;15;6;4;0;9;7;12;10;24;118
3191E;7;0;9;13;9;2;1;2;7;6;10;9;75
3129;4;0;9;10;6;2;1;1;6;6;9;6;60
3196;4;0;7;11;5;1;2;2;3;6;9;7;57
3200;5;0;8;11;7;2;1;1;3;7;8;5;58
3195;6;0;8;11;7;3;1;2;6;7;9;7;67
3175;4;0;9;13;6;3;2;1;6;7;8;5;64
2462;15;5;11;19;9;4;2;2;8;10;11;20;116
6155A;5;1;9;5;3;1;0;0;2;3;5;1;35
6000A;6;0;4;11;2;1;1;0;1;1;2;7;36
7178I;3;0;8;6;3;3;1;1;2;1;5;0;33
7228;4;1;8;8;3;3;2;1;2;1;4;0;37
7031;4;0;8;10;2;2;1;2;1;0;3;0;33
9262;7;3;;;;;;8;6;12;3;22;
9263D;7;4;13;12;5;10;3;7;5;12;3;18;99
1690A;10;4;10;14;7;3;0;6;6;10;8;19;97
1484C;15;14;10;19;7;8;0;9;6;14;10;23;135
1495;13;14;9;18;7;8;0;9;7;16;10;21;132
2867;6;1;6;13;4;3;2;1;6;6;6;8;62
2870;7;1;7;13;3;2;1;1;;7;6;10;
C929I;0;0;1;3;0;4;0;0;1;3;5;8;25
C430E;2;0;3;3;0;2;0;0;2;3;5;4;24
C139E;3;0;1;3;0;3;0;0;1;4;6;15;36
C449C;1;0;5;3;0;0;0;0;0;3;5;5;22
C447A;2;0;13;9;2;3;0;1;1;6;7;9;53
C429I;0;0;1;2;0;2;0;0;1;2;4;5;17
2465;8;0;6;12;8;6;2;2;6;9;6;15;80
5796;6;1;9;9;6;0;1;0;2;4;5;6;49
5783;6;0;7;9;7;1;0;0;2;4;7;4;47
2030;5;0;8;17;5;7;5;3;5;8;6;11;80
0016A;6;0;5;9;5;6;0;2;4;2;5;2;46
9981A;5;0;8;9;7;4;1;1;2;1;6;4;48
9381I;5;0;8;11;9;7;5;5;4;2;6;6;68
8368U;3;0;9;10;7;4;3;4;3;1;5;6;55
3260B;6;0;9;10;5;2;2;1;4;5;9;8;61
8416;5;1;9;7;4;3;4;2;3;3;6;2;49
8414A;5;0;9;5;4;3;3;1;3;2;6;2;43
2422;7;1;7;17;8;6;3;3;6;7;5;9;79
2539;7;2;8;17;7;5;4;3;6;7;5;9;80
2614;6;2;9;13;5;3;2;2;3;6;5;7;63
9390;5;0;7;15;4;9;4;2;4;3;7;7;67
9434;5;0;7;7;8;6;2;1;4;5;4;7;56
