Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;18;20;18;;;;21;16;20;18;21;16;
1428;18;11;17;12;18;14;18;20;20;18;16;16;198
8175;17;16;20;21;21;18;17;16;23;17;18;19;223
8019;16;17;17;19;21;18;11;14;20;17;19;12;201
6325O;18;17;;;;13;9;13;19;9;20;18;
9091O;15;19;16;13;14;14;18;20;22;12;;12;
1212E;20;22;12;;;;22;20;25;12;16;13;
1249I;;;;;;12;17;15;16;10;;11;
4452;18;17;21;17;19;17;3;11;19;18;11;15;186
B954;18;18;24;20;20;23;14;20;20;23;23;22;245
B893;23;22;22;21;23;21;16;17;24;24;22;23;258
B278;19;20;27;22;19;15;14;18;24;23;21;26;248
B228;;;;;;;15;16;24;23;18;28;
0200E;20;14;22;16;18;18;21;23;21;19;22;22;236
0076;19;15;24;16;20;22;14;22;18;20;13;24;227
1082;15;16;13;12;13;10;16;15;17;16;19;12;174
2331;16;15;20;;;;20;24;16;20;19;19;
5960;16;13;25;;;12;6;8;19;14;21;15;
5910;22;17;22;20;22;16;11;10;22;16;17;19;214
1111;22;17;;;13;19;19;17;19;17;19;12;
1109;23;18;14;14;13;14;20;14;18;15;18;15;196
5402;12;15;;;;16;5;9;18;;;;
1014;21;16;14;13;13;14;18;17;13;13;22;10;184
1024E;18;15;11;11;14;11;18;18;13;11;20;10;170
0367;;16;15;14;20;16;16;21;21;20;16;26;
5530E;18;17;27;;;;7;10;21;12;17;17;
5514;15;16;25;18;18;13;9;11;24;16;16;17;198
C249I;19;20;28;27;19;26;17;17;20;22;21;24;260
C649I;17;17;27;28;18;27;17;19;19;25;23;30;267
C029O;18;17;24;29;18;;16;20;14;27;23;30;
2661;17;16;21;;;;15;19;18;23;14;19;
9771C;13;14;19;19;14;22;12;15;15;13;13;17;186
3191E;12;;;;22;21;18;16;19;17;11;21;
3129;8;13;18;18;17;21;11;13;17;20;17;20;193
3196;11;16;;;17;22;14;16;18;17;17;19;
3200;14;15;18;21;21;21;12;17;19;22;15;19;214
3195;;13;;;;;;;;;;;
3175;11;13;17;18;20;21;13;18;14;19;18;20;202
2462;12;12;16;14;16;15;15;19;17;13;10;8;167
6155A;18;18;17;16;22;14;7;15;21;19;22;20;209
6000A;22;18;17;;;18;23;18;25;19;21;24;
7178I;19;13;;;19;18;11;14;20;19;14;;
7228;15;16;;;18;17;10;16;22;21;20;22;
9263D;16;18;15;;13;19;21;19;18;18;19;12;
1484C;14;10;;;;;13;16;19;16;12;10;
1495;17;9;16;11;17;9;10;18;15;18;13;7;160
2867;17;11;;;;;6;16;18;18;14;14;
C929I;21;22;28;30;25;28;30;29;22;24;23;28;310
C139E;20;20;25;26;23;26;23;21;19;23;25;25;276
C447A;18;14;16;26;19;;;19;14;18;21;21;
C429I;20;10;22;27;18;18;5;8;13;22;22;29;214
5796;16;20;24;;;14;5;5;19;18;17;18;
5783;13;16;26;;;13;6;7;19;17;18;17;
0016A;17;15;21;;;;21;24;22;20;13;26;
9981A;18;17;18;14;20;23;17;22;20;23;16;26;234
9381I;;;;16;;;;;;;;24;
8414A;13;17;17;20;21;19;15;18;20;19;16;23;218
2422;18;20;22;19;22;20;13;19;18;23;17;16;227
2539;15;17;18;;;;8;20;17;20;16;15;
9390;12;19;20;15;20;21;12;13;14;20;17;26;209
9434;13;16;21;17;17;23;12;15;17;24;10;23;208
