Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;41;45;46;32;61;45;71;53;67;41;50;26;48
1387E;;;;28;;;;;;;;;
1428;42;43;51;24;58;42;77;49;61;32;44;21;45
8175;52;65;48;47;66;75;80;80;71;72;58;;
8178D;;;;48;68;;82;;;;;;
8025;70;76;55;61;77;82;85;84;79;80;67;73;74
8019;;76;54;61;78;82;85;84;78;80;66;73;
6325O;64;73;;;;86;84;83;73;77;68;73;
9091O;34;53;45;39;53;45;58;54;56;42;44;25;46
1212E;43;50;40;25;53;35;49;48;56;37;53;25;43
1208H;41;51;;;;35;;;;;;;
1249I;46;57;;26;53;31;39;44;52;39;54;25;
2444;40;71;47;40;70;73;86;83;74;66;46;41;61
4452;42;60;62;47;70;83;90;88;76;68;37;38;63
B954;56;67;53;54;;;;75;70;71;53;64;
B893;47;63;48;56;74;70;78;77;69;68;52;42;62
B278;48;63;;56;73;73;76;74;70;66;57;50;
B228;49;59;;;;73;75;73;68;65;56;56;
0200E;64;66;48;53;66;62;72;73;62;66;58;58;62
0076;40;56;48;51;64;58;65;67;65;58;38;34;54
1082;37;40;29;26;46;33;45;43;54;26;46;19;37
2331;36;52;50;28;59;50;77;67;67;43;49;23;50
3469A;52;64;63;54;73;87;90;91;78;70;44;44;68
5960;62;76;54;49;69;85;87;88;76;78;60;;
5910;61;75;62;58;76;82;84;87;73;78;57;53;71
1111;41;44;41;35;56;41;56;47;62;38;51;22;45
1109;36;44;;;;34;47;44;53;33;49;20;
8500A;61;77;49;50;73;73;77;78;77;78;63;75;69
5000C;46;56;49;39;68;;69;77;60;61;40;50;
4121;47;58;55;47;69;83;86;;72;;48;;
5402;63;81;74;70;72;85;88;86;73;77;58;52;73
8096;46;65;41;40;53;59;64;73;60;64;54;52;56
1014;33;45;29;33;51;41;56;51;51;28;40;14;39
1024E;42;46;33;32;52;39;55;46;55;30;50;22;42
0367;62;66;44;49;63;53;62;70;63;61;56;56;59
5530E;68;83;57;48;74;86;87;89;75;80;66;53;72
5514;66;75;50;48;72;85;85;86;68;74;62;49;68
3013;39;65;42;;63;68;75;77;61;53;;40;
4642E;59;81;64;54;78;85;90;93;81;81;60;60;74
9898;40;77;54;48;65;63;80;78;74;68;55;46;62
5270B;54;74;59;47;;;;;;;;51;
9170;35;;53;36;;53;77;66;72;52;41;33;
C249I;;;;;;;74;;;;;;
C649I;;;;73;;;;;;;63;70;
C029O;;80;;;;;;82;76;72;;;
2661;36;63;70;44;64;71;89;74;74;64;46;41;61
1549;36;58;57;39;67;57;81;68;71;41;47;19;53
9771C;19;72;61;53;71;;86;81;79;77;43;47;
1505;30;42;46;30;57;40;59;51;58;35;42;17;42
3191E;46;;;;62;72;78;79;68;62;41;48;
3129;;;;38;64;;;;66;59;42;44;
3196;50;60;50;48;69;80;81;83;72;67;46;48;63
3200;49;57;49;47;66;77;83;83;74;68;45;48;62
3175;49;57;47;44;68;78;83;84;69;62;43;40;60
2462;39;59;34;26;58;63;82;81;59;43;41;19;50
6155A;53;67;49;41;70;;80;83;68;72;49;61;
6000A;66;63;53;;60;78;63;77;65;;64;60;
7178I;65;74;56;55;79;80;86;86;79;80;71;74;74
7228;65;71;50;50;75;80;82;83;68;77;69;75;70
7031;;74;50;;74;79;79;;68;74;64;70;
9263D;41;59;40;31;;;70;64;63;40;48;20;
1690A;28;44;48;28;;;79;62;62;34;;22;
1484C;42;47;61;40;67;;87;62;67;40;48;23;
2867;41;65;53;41;71;72;90;85;80;68;50;44;63
C929I;65;;63;68;67;60;58;64;59;63;56;47;
C430E;86;89;81;84;93;91;93;95;81;82;;77;
C139E;54;59;52;49;;44;63;69;48;42;54;37;
C449C;69;80;65;;;72;89;87;75;66;62;61;
C447A;40;65;45;51;55;27;64;;58;;;24;
C429I;78;84;69;63;72;74;86;87;70;71;70;64;74
2465;46;62;49;38;65;69;85;82;71;56;52;29;59
5796;61;76;51;;;83;86;88;69;77;63;55;
5783;60;78;67;57;76;;;;;;;;
2030;49;61;52;30;59;56;72;73;68;58;53;34;55
0016A;63;68;51;47;62;;80;64;69;69;58;59;
9981A;60;71;50;41;63;59;77;75;69;71;58;61;63
9381I;51;71;50;38;66;67;79;79;69;65;56;51;62
8368U;52;73;45;46;;66;74;77;69;67;52;;
3260B;49;58;58;51;68;81;86;86;78;75;43;51;65
8416;55;70;42;47;65;71;72;75;72;72;58;77;65
8414A;60;77;43;49;69;74;73;79;74;76;59;77;68
2422;24;53;56;39;61;64;75;74;75;62;43;35;55
2539;25;57;;;;;;80;68;61;48;34;
2614;17;51;54;38;68;;88;77;73;59;31;34;
9390;42;63;44;36;63;66;74;78;64;61;45;41;56
9434;43;76;55;49;;;81;82;;;;46;
