Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;-5.4(29);-3.4(01);-4.9(03);3.4(06);5.8(14);10.8(03);16.5(26);13.0(28);9.5(23);5.6(29);-0.9(24);-3.4(20);-5.4(29/ene)
3013;-10.8(30);-15.8(28);-11.5(01);-8.1(05);-2.3(17);7.9(15);8.3(26);5.2(30);2.0(23);1.5(31);-6.2(26);-8.9(27);-15.8(28/feb)
4642E;0.6(29);1.0(01);1.0(03);7.0(08);11.5(19);14.4(02);17.1(27);16.8(27);13.9(22);10.2(24);4.8(25);2.0(26);0.6(29/ene)
9898;-4.8(29);-3.7(27);-6.2(01);2.9(05);5.5(12);11.0(04);12.3(01);11.4(31);9.5(22);5.8(31);1.4(23);-2.7(25);-6.2(01/mar)
5270B;-0.7(25);-0.6(28);-0.6(01);9.1(14);10.4(19);13.4(03);18.9(08);16.9(28);13.6(23);9.2(21);3.6(24);2.3(20);-0.7(25/ene)
9170;-2.8(06);-6.5(11);-3.3(04);0.1(05);4.7(02);12.6(02);11.6(28);11.8(07);8.5(24);3.3(22);-1.4(07);-6.7(27);-6.7(27/dic)
C249I;13.0(30);11.6(09);14.7(05);15.1(05);;17.4(01);;;20.0(05);17.7(30);;;
C649I;13.7(30);;;14.8(07);;18.5(11);21.7(08);;;19.3(29);17.1(30);;
C029O;12.1(31);10.4(16);13.9(06);14.9(21);15.7(26);18.2(11);20.4(29);20.1(16);18.9(26);;15.3(28);12.1(31);
2661;-6.2(30);-5.7(28);-6.2(02);-1.7(04);0.6(17);;9.0(25);8.3(04);5.2(23);3.6(24);0.0(24);-6.8(19);
1549;-4.2(23);-4.8(28);-4.8(02);0.7(02);4.4(16);10.5(30);10.5(17);11.1(04);7.3(24);5.8(24);-0.5(25);-3.6(19);-4.8(28/feb)
9771C;-4.0(30);-3.1(11);-3.8(01);3.0(05);7.4(12);13.1(02);14.5(01);12.4(30);11.0(23);6.9(31);0.6(24);-3.0(18);-4.0(30/ene)
1505;-4.0(31);-6.4(11);-4.7(02);-1.1(03);2.1(18);9.4(02);7.5(16);7.3(05);5.3(23);5.4(22);-0.7(24);-4.8(18);-6.4(11/feb)
3191E;-3.6(29);-4.7(28);-4.3(01);2.8(02);3.3(17);10.0(02);14.4(01);11.0(28);8.5(22);5.0(31);1.9(07);0.8(03);-4.7(28/feb)
