Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;;;13;;;0;2;1;2;13;12;13;
1387E;11;;13;1;;0;2;;4;12;;7;
1428;6;1;;0;;2;;1;1;;;;
8175;;;;;;;2;3;;;;;
8178D;;0;;;0;0;1;1;1;2;;0;
8025;3;0;1;0;;0;0;0;1;0;3;0;
8019;;3;;2;3;0;;1;1;;8;;
6325O;7;10;2;;;3;;3;4;5;5;;
9091O;7;;;3;;2;1;0;;8;8;;
1212E;9;1;;4;0;;0;;;7;12;;
2444;5;1;2;0;1;0;2;0;0;4;4;0;19
4452;1;0;0;0;0;0;;;;1;2;0;
B954;;;;;;;0;1;2;5;;;
B893;15;9;6;8;8;2;1;3;3;;9;;
B278;6;0;;;1;;;3;1;6;6;4;
B228;3;0;2;1;;;;;0;2;3;0;
0200E;9;7;4;1;0;1;1;1;;;;;
1082;9;1;10;5;2;0;0;2;2;9;5;7;52
2331;7;2;8;3;3;2;1;;0;8;7;2;
3469A;5;0;2;0;3;1;0;0;1;7;6;0;25
5973;3;10;1;7;2;5;0;6;4;9;1;2;50
5960;;3;0;;;0;;;;;2;;
5910;4;;0;3;3;4;0;3;1;3;3;0;
6001;;15;;12;6;12;4;12;10;16;4;6;
1111;10;1;;5;2;0;;1;4;8;13;11;
1109;11;2;7;4;1;0;0;2;4;8;9;10;58
8500A;2;0;0;1;0;0;1;0;0;1;3;1;9
5000C;3;4;0;2;0;0;0;3;0;3;2;2;19
4121;1;0;0;;0;0;0;0;0;2;2;0;
5402;;0;;;;0;0;1;1;;;;
8096;;0;;0;0;0;1;0;1;;;0;
1024E;11;8;14;7;;4;;7;10;12;13;16;
1014;9;;;;;0;0;1;1;5;;6;
0367;2;3;;;;;;;0;;;;
5530E;2;0;0;0;1;0;0;2;0;;1;;
5514;;;;1;0;;2;3;;;;;
3013;;;1;1;0;0;0;;0;3;4;0;
4642E;1;0;;0;1;0;0;0;0;3;2;1;
9898;0;0;;;;;;;;;1;0;
5270B;4;5;1;;0;0;0;1;1;5;2;2;
9170;2;0;;1;1;;1;1;;3;4;;
C249I;6;;1;5;;4;;;0;;;;
C649I;7;;11;15;;10;30;;;3;8;;
C029O;;3;8;14;13;;20;24;1;;3;;
2661;4;;13;;2;;3;;3;;6;;
1549;0;;2;0;0;0;0;1;;;2;0;
9771C;;0;6;6;;0;2;3;;;;4;
1505;2;0;6;0;0;1;0;0;1;0;4;0;14
3191E;9;5;3;;2;1;2;2;1;5;8;4;
3129;;2;;;;3;;4;;;;;
3196;4;1;4;2;1;2;1;1;0;4;3;0;23
3200;6;1;4;2;5;2;4;2;1;7;4;0;38
3195;3;0;2;;;;0;1;;;;0;
3175;9;;4;4;3;;;;;;;;
2462;;10;11;7;3;2;2;5;;13;12;12;
6155A;5;;;;;;;;;3;;;
6000A;;;0;;0;;;;;;;;
7178I;2;1;;0;1;0;0;1;2;0;1;0;
7228;2;1;2;2;3;0;0;;3;;;1;
9263D;;3;;2;;;2;;;5;;;
1690A;0;0;1;;;0;0;0;;1;1;;
1484C;;0;3;0;;;;0;1;4;4;1;
1495;11;2;;;2;;0;;;;;;
2867;7;2;;4;;1;;0;;9;;;
2870;4;0;3;0;0;0;1;0;0;2;4;0;14
C929I;13;;6;6;;6;7;10;;4;5;;
C430E;8;15;;8;11;13;9;9;;13;8;7;
C139E;6;7;;6;;;4;;;;;;
C449C;;0;;2;;1;1;;0;;;0;
C447A;;2;;;;3;;6;;;;;
C429I;;;;8;;2;16;;2;2;;;
2465;7;1;4;1;1;1;1;0;1;6;5;0;28
5796;0;0;0;0;0;0;0;0;0;;2;0;
5783;2;;0;;4;;;;1;;;;
2030;4;1;8;0;0;;1;1;1;1;;2;
0016A;10;4;;;2;0;;4;2;;8;;
9981A;12;3;8;8;8;;1;6;;;8;;
9381I;5;2;6;3;0;0;1;3;1;3;6;2;32
8368U;2;0;1;1;0;0;0;2;0;2;3;0;11
3260B;4;3;5;2;3;0;2;2;2;5;5;0;33
8414A;8;2;8;5;1;1;;2;2;;9;4;
2422;3;0;1;0;0;0;0;0;0;1;4;0;9
2539;7;1;7;5;8;1;1;;3;6;7;1;
2614;3;0;2;0;1;0;;;0;;3;0;
9390;3;0;5;2;0;0;1;1;0;3;5;0;20
9434;12;6;10;;14;6;9;9;3;3;12;7;
