Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17.3(14);21.0(14);23.0(28);24.3(17);26.1(03);31.6(24);27.0(07);32.2(23);30.4(07);33.4(07);21.1(12);19.9(10);33.4(07/oct)
1387E;16.1(10);20.3(14);22.6(28);26.0(17);26.8(03);33.0(24);27.3(31);;30.8(30);33.9(07);20.2(11);19.4(10);
1428;14.0(05);21.0(18);20.2(29);27.3(17);27.7(02);30.7(24);;36.6(22);32.1(30);31.0(07);17.6(12);15.5(10);
8175;18.7(01);20.5(21);26.9(30);33.1(27);31.8(09);36.6(25);42.9(11);41.5(09);32.3(01);33.6(03);23.5(19);20.8(12);42.9(11/jul)
8178D;19.3(01);20.7(21);27.2(29);32.8(27);31.1(09);37.1(25);41.5(18);40.8(09);32.4(01);33.0(03);23.7(19);21.4(12);41.5(18/jul)
8025;23.1(10);22.0(22);31.6(31);33.8(29);;33.8(27);34.8(19);36.0(10);31.8(18);32.4(01);28.7(02);25.1(10);
8019;22.9(09);22.9(22);31.6(31);35.2(29);27.6(02);35.0(22);37.2(19);35.4(24);32.0(11);32.2(01);30.0(14);;
6325O;21.2(10);22.2(20);26.5(16);28.1(30);29.6(03);37.0(28);39.8(17);39.8(22);33.8(30);34.5(07);26.0(18);21.7(01);39.8(17/jul)
9091O;19.7(01);19.7(20);23.5(29);28.3(27);29.1(03);31.4(24);36.0(14);40.2(24);32.7(30);33.7(01);20.3(12);17.0(10);40.2(24/ago)
1212E;19.2(10);19.5(14);24.1(29);21.8(08);27.5(03);30.3(24);28.3(14);30.4(23);30.3(05);31.4(08);23.9(13);22.3(10);31.4(08/oct)
1208H;19.7(04);18.8(14);25.2(10);20.7(26);22.9(03);24.4(09);27.3(14);28.5(23);31.6(05);29.9(08);24.3(11);23.3(09);31.6(05/sep)
2444;15.1(05);15.8(19);22.8(29);29.3(27);25.6(08);33.7(25);35.7(10);36.9(09);28.9(01);29.9(01);20.9(18);18.1(11);36.9(09/ago)
4452;20.8(01);21.1(18);29.0(28);36.1(27);34.9(02);41.7(25);40.4(10);42.9(07);37.2(30);36.9(01);23.2(19);19.9(12);42.9(07/ago)
B954;20.7(09);;27.1(31);25.7(29);26.0(07);33.9(22);36.0(12);34.8(03);30.6(17);28.5(01);24.6(12);21.6(10);
B893;18.0(17);17.8(20);24.4(31);26.5(29);24.3(27);31.9(22);36.8(18);33.9(24);32.9(17);29.8(01);22.2(02);19.9(12);36.8(18/jul)
B278;21.9(01);21.4(21);25.5(31);30.7(28);28.8(27);35.5(19);40.0(19);38.2(16);34.0(17);30.6(14);25.3(12);23.1(10);40.0(19/jul)
B228;22.4(01);21.3(21);27.3(11);27.9(29);27.2(27);33.8(19);36.5(19);35.3(16);34.1(04);30.3(01);26.0(12);26.0(12);36.5(19/jul)
0200E;18.0(14);21.2(04);25.7(24);27.5(12);27.0(24);32.7(22);35.1(18);38.8(23);30.1(30);27.8(08);26.4(14);19.8(27);38.8(23/ago)
0076;17.6(03);20.9(04);26.6(11);23.6(01);25.3(31);;32.5(25);35.1(23);30.8(04);27.3(04);23.3(14);;
1082;25.1(01);25.0(20);30.1(29);26.8(19);33.7(03);31.0(24);34.7(14);44.0(23);35.4(07);36.7(02);25.2(13);21.3(10);44.0(23/ago)
2331;15.6(01);17.3(20);23.5(29);29.8(28);29.0(03);34.0(25);35.6(18);39.0(23);31.9(30);32.1(01);18.1(19);13.2(11);39.0(23/ago)
3469A;18.2(01);18.7(20);27.1(29);34.4(27);32.1(02);39.5(25);40.1(10);41.1(07);34.9(30);34.6(02);20.9(19);16.7(12);41.1(07/ago)
