Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9771C;20.2;19.9;0.4;0.8;7.4;47.0;16.6;1.3;32.9;18.9;9.5;4.1;179.0
1505;232.2;25.4;68.0;65.8;44.8;174.4;18.2;15.4;99.0;227.0;;119.4;
3191E;22.0;0.7;19.8;5.2;81.3;76.5;3.8;0.0;209.9;146.9;61.1;24.0;651.2
3129;10.4;1.9;16.1;10.7;80.4;36.2;0.0;0.0;151.3;145.5;61.8;25.1;539.4
3196;10.3;1.7;16.9;7.3;60.9;22.1;0.0;0.0;119.1;154.0;72.8;19.3;484.4
3200;8.0;3.0;20.2;8.2;50.0;32.3;0.0;0.0;125.9;139.2;78.6;17.7;483.1
3195;11.7;1.6;22.0;8.3;58.6;42.5;0.0;;;;;17.9;
3175;7.0;1.3;19.1;6.1;32.2;57.5;0.0;0.0;41.0;125.6;13.9;14.7;318.4
2462;187.3;11.6;52.2;15.2;78.6;133.2;10.8;0.0;212.0;291.0;139.8;61.4;1193.1
6155A;12.1;55.0;7.0;0.0;64.4;9.2;0.0;0.0;4.2;23.8;0.0;3.6;179.3
6000A;34.6;49.2;2.0;0.0;52.0;5.6;0.0;0.2;51.6;18.2;3.2;4.4;221.0
7178I;0.8;10.6;4.0;13.8;89.2;12.4;0.2;0.8;59.0;4.6;0.0;2.4;197.8
7228;2.7;8.3;3.9;12.6;136.5;16.7;2.4;0.0;42.1;5.1;0.0;1.9;232.2
7031;12.9;7.4;5.9;2.7;51.5;19.5;0.7;0.0;30.3;1.7;0.0;5.0;137.6
9263D;89.0;38.1;17.5;37.5;77.5;52.9;38.2;11.9;158.6;86.0;111.5;48.9;767.6
9262;102.5;34.3;20.0;41.1;49.0;76.7;41.9;;225.7;84.3;;60.4;
1690A;135.8;23.2;41.8;19.4;67.4;88.0;6.8;5.2;130.6;;;;
1484C;314.0;16.6;145.8;99.2;62.0;110.4;31.0;61.0;96.0;;;;
1495;365.7;12.8;167.7;101.6;90.9;116.5;32.0;44.9;126.2;596.3;449.5;237.5;2341.6
2867;38.4;3.5;28.9;6.9;65.9;32.6;0.0;0.0;42.5;71.6;42.3;16.9;349.5
2870;44.4;9.2;22.7;6.7;49.0;31.2;0.0;0.0;33.5;62.3;25.1;12.5;296.6
C929I;3.8;13.5;0.3;0.9;7.9;18.4;0.0;3.8;0.4;9.7;15.6;28.6;102.9
C430E;8.4;31.8;0.0;1.0;1.6;7.0;0.0;11.4;1.1;25.2;25.9;4.0;117.4
C139E;76.7;38.9;0.7;2.9;0.3;24.0;0.0;0.3;6.8;13.4;56.0;71.7;291.7
C449C;40.6;39.0;0.2;0.8;0.4;4.8;0.0;1.6;4.0;6.0;21.8;6.0;125.2
C447A;74.0;68.9;3.1;5.9;6.0;7.8;0.5;1.4;27.8;54.6;23.1;14.5;287.6
C429I;5.6;28.0;0.7;0.0;2.8;1.2;0.0;1.3;7.5;0.7;22.1;1.1;71.0
2465;47.8;10.2;30.0;12.2;70.6;56.0;9.8;0.0;117.8;113.6;74.0;28.2;570.2
5796;34.7;7.3;13.7;2.4;35.4;22.5;0.0;0.1;49.5;67.7;35.1;17.8;286.2
5783;18.6;3.1;9.0;2.0;56.2;30.0;0.0;0.0;40.9;111.1;43.0;10.9;324.8
2030;61.4;23.6;18.2;22.2;49.4;178.4;11.2;4.6;109.4;109.6;36.8;16.2;641.0
0016A;1.9;54.4;10.3;22.3;45.0;5.7;17.7;4.5;60.2;33.8;0.8;2.7;259.3
9981A;6.4;52.2;5.4;5.8;68.2;50.6;12.2;17.8;186.9;12.2;6.8;7.4;431.9
9381I;16.8;5.8;5.6;6.6;38.2;70.8;2.8;0.0;28.2;25.0;31.4;15.6;246.8
8368U;1.2;1.0;3.2;13.8;43.2;156.6;24.2;0.2;25.0;22.0;11.0;11.0;312.4
3260B;9.6;1.4;3.8;3.2;71.2;30.0;0.0;0.0;135.4;96.8;43.4;9.8;404.6
8416;0.6;36.2;1.2;0.0;30.8;25.0;36.9;20.6;149.8;3.0;0.2;3.2;307.5
8414A;1.6;28.4;1.5;0.6;41.6;25.5;30.4;15.6;163.0;1.6;0.8;3.3;313.9
2422;29.2;10.0;17.4;4.6;24.0;45.4;2.4;0.0;83.6;83.0;69.6;24.2;393.4
2539;29.4;7.5;11.9;5.1;25.4;32.0;0.0;0.0;68.1;83.8;55.2;22.0;340.4
2614;20.0;13.6;17.6;1.4;45.0;72.8;0.0;0.0;64.2;67.8;51.0;21.6;375.0
9390;12.4;2.8;2.8;7.2;64.0;115.2;0.1;1.0;63.8;33.0;29.1;7.6;339.0
9434;7.0;8.2;1.4;6.0;5.8;73.4;37.2;0.0;48.6;41.6;24.6;9.4;263.2
