Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11.7;10.3;13.1;15.8;19.2;22.7;23.6;24.6;21.7;19.1;15.0;12.4;17.4
1428;7.1;5.7;9.4;13.1;16.6;20.1;21.3;21.7;18.7;15.9;11.2;8.0;14.1
8175;;;;;;24.0;;;;;;;
8178D;;;;;;;32.8;;;;;;
4452;9.6;;15.7;21.7;24.3;27.3;30.5;31.0;24.9;21.5;14.9;10.4;
0200E;7.0;6.5;10.7;;18.6;24.5;;26.4;;;;;
2331;4.6;4.1;9.3;14.9;18.5;22.4;27.9;29.0;21.8;17.4;10.4;6.5;15.6
3469A;9.7;9.4;14.6;21.4;24.1;25.8;31.7;32.1;25.3;22.0;14.9;10.7;20.1
1024E;7.4;6.5;10.9;;16.7;;21.8;;20.2;17.3;12.2;9.6;
4642E;13.9;13.4;17.4;23.1;26.2;28.4;32.2;;28.4;;18.6;;
1549;7.4;7.6;11.6;16.3;20.2;;26.9;28.5;22.4;18.7;12.6;8.5;
9771C;7.3;7.5;13.4;20.2;24.8;27.3;31.3;;26.5;;14.0;9.3;
1505;8.1;6.2;10.0;13.8;17.0;20.7;22.0;23.0;20.0;17.4;12.7;9.6;15.0
2462;1.8;1.3;;;;14.0;19.6;21.6;14.1;;;2.6;
7178I;;11.6;18.0;24.3;24.3;;35.4;35.1;28.8;25.0;18.6;13.1;
1690A;9.7;8.8;13.3;18.2;22.3;24.3;28.6;30.2;22.7;19.9;14.5;10.6;18.6
1484C;11.2;9.9;13.0;16.2;18.2;21.8;22.5;23.5;21.2;18.9;14.9;11.6;16.9
2867;7.1;6.6;11.5;17.4;21.7;25.0;30.7;31.2;23.6;19.2;12.0;7.7;17.8
2422;4.8;4.2;10.9;18.1;;24.9;30.3;31.1;23.0;18.3;10.6;;
2539;4.9;4.3;9.1;14.2;18.2;22.5;27.8;28.0;19.8;16.3;10.2;6.0;15.1
