Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;670;1102;950;900;1437;828;772;927;956;676;651;614;10483
8175;893;1047;1657;1445;2283;3411;3894;2747;1737;1503;963;590;22170
8025;853;716;898;;1047;;1831;1061;798;;1107;655;
6325O;1057;985;1193;1201;1356;1521;1804;1396;1230;1046;1232;862;14883
9091O;266;570;;;991;1644;1612;1330;1083;920;471;;
1212E;466;821;734;710;940;679;755;;813;727;746;737;
1208H;710;730;965;737;900;783;824;853;781;815;1052;945;10095
1249I;343;782;906;877;979;746;850;537;683;572;661;722;8658
2444;;;1174;894;1826;2198;;;1407;872;471;458;
4452;493;578;1259;1244;2441;2460;2559;2672;2218;1163;665;449;18201
B954;705;665;955;997;1309;1569;1653;1368;986;950;1027;596;12780
B893;1059;724;1081;999;1626;1409;;1489;1275;1127;1097;844;
B228;917;673;;1200;1489;1546;1844;1451;1167;935;1027;894;
B278;983;733;1149;1337;1751;2233;2642;1978;1646;1121;1075;921;17569
0200E;1488;1201;1648;1241;1460;2289;1953;1848;1535;1186;1368;1070;18287
2331;472;701;1220;819;1280;2207;1893;1936;1292;1056;487;526;13889
3469A;634;753;1392;1377;2742;3245;;;2521;1599;1026;556;
5960;602;838;1082;1115;1851;1557;1610;2215;1668;1267;;883;
5910;1122;1388;1445;1584;2694;2171;1893;1994;1989;1307;1220;976;19783
1111;786;905;1101;919;1040;836;861;;;;;1242;
1109;848;1313;1538;1375;1528;1364;1444;1494;1243;1172;1164;1206;15689
4121;376;478;866;703;1326;1838;;1732;1280;861;314;341;
5402;823;937;1761;1603;3451;3680;4163;3886;2544;1732;929;541;26050
8096;;937;;677;1239;1375;;;;852;;383;
1014;328;751;849;657;446;779;672;689;743;734;477;701;7826
1024E;471;1432;;942;596;782;621;612;822;1221;893;1085;
5530E;601;809;1256;1149;2267;2568;2843;2758;1525;1320;519;517;18132
5514;751;947;1518;1282;;;;;;1332;485;668;
3013;;;;;;;;;;803;;;
4642E;;;1459;;;;;;;1316;795;;
5270B;538;;;;;;;;1461;1212;;;
9170;1357;1034;1794;1566;2162;3303;3015;2765;1903;1447;903;1109;22358
C249I;1523;1235;1202;1879;1644;1840;1976;1781;;1644;1639;1449;
C029O;2220;2178;;2843;3034;;;3436;2608;2611;2257;2171;
2661;;;;1057;1793;1950;2287;2361;1690;1033;;;
1549;;653;1371;986;1721;1543;2037;;1622;777;368;;
9771C;430;374;1148;796;1300;2474;2229;2293;1802;897;471;247;14461
1505;309;772;855;850;925;683;601;697;756;491;299;456;7694
3191E;1075;1031;1661;1100;2121;2834;3435;2990;2139;1173;555;726;20840
3196;1241;1291;2288;1891;3252;4627;5070;4743;2810;1786;1191;844;31034
3200;845;860;1692;1412;2830;3904;4086;3761;2246;1410;1159;607;24812
3195;504;607;1048;781;1558;1969;2358;1958;1248;735;380;488;13634
3175;1263;1169;2237;1841;3294;4416;;4488;;1722;1595;929;
2462;;;;;;;2347;1962;1177;;;;
6000A;974;784;902;1114;1348;1431;1502;1348;953;786;805;892;12839
7178I;1106;1049;1379;1284;1612;2346;2709;2163;1148;1177;1204;746;17923
7228;1221;1183;1455;1476;1879;2510;2888;2361;1352;1226;1454;832;19837
7031;1184;;1237;1399;1488;1700;1883;1381;;1301;2002;1256;
1690A;288;557;881;686;1269;;1399;1213;1152;;307;279;
1484C;330;495;777;510;869;563;773;604;783;311;176;300;6491
1495;;;;;;;;;;;;329;
2867;;533;1595;1321;2345;2855;3093;2498;1629;1112;719;510;
C929I;424;501;330;461;384;542;363;306;473;555;466;494;5299
C449C;;;905;;;;;;;;;;
C447A;738;;865;792;966;;1124;1576;;;757;870;
2465;;961;1406;894;;;;;;;470;;
5796;828;981;1598;1352;2706;2714;2913;3457;2299;1737;835;782;22202
5783;1138;1510;2541;1923;3790;3773;;;;;;;
2030;;;;;;;;;;;;494;
0016A;1197;794;1254;1141;1192;1381;1524;1498;1366;999;;786;
9981A;1242;857;1445;1309;1921;2071;2212;1790;1412;1131;1119;845;17354
8414A;;887;1202;1044;1293;1611;1794;1485;1019;990;1271;758;
2422;417;624;1154;919;1736;2199;2429;2149;1471;811;412;314;14635
2539;;592;;;2097;2983;3076;2852;1940;1152;676;446;
9390;;814;1271;994;1473;2644;;;1297;1129;761;507;
9434;;1357;2555;1967;3507;4240;4554;3796;2988;2053;;869;
