Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9.1;10.8;13.2;14.2;17.4;19.7;21.9;21.8;20.0;17.3;13.2;10.9;15.8
9091O;5.7;7.4;10.6;12.0;;21.6;24.2;23.9;20.3;16.7;10.0;7.9;
2444;;5.2;;;18.6;23.7;;;;;;;
4452;7.6;10.9;;;24.5;27.8;30.8;30.7;27.0;20.7;14.0;11.9;
0200E;5.2;6.9;11.2;13.0;16.5;23.8;27.6;26.5;20.9;17.2;;;
2331;2.5;5.1;9.4;11.4;17.2;24.6;26.1;25.3;19.7;15.0;;5.5;
3469A;6.4;9.0;13.1;15.2;23.1;27.6;;;26.8;19.7;12.8;10.2;
1024E;6.4;8.9;11.1;13.1;15.5;20.4;22.9;22.8;19.8;;10.1;;
1484C;7.4;10.2;12.8;14.7;17.6;19.3;22.9;22.3;21.7;17.4;;;
2867;3.8;7.8;13.0;15.2;23.9;28.2;32.6;30.3;23.7;;10.5;8.1;
2422;2.7;6.6;;13.0;20.0;25.7;29.4;28.0;22.0;;8.5;;
2539;1.9;5.4;9.5;11.7;19.2;24.5;29.0;26.4;20.2;14.2;7.4;5.9;14.6
