Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9.8;11.2;13.1;14.4;17.2;19.4;21.7;21.7;20.2;17.6;13.9;11.6;16.0
9091O;5.7;7.0;9.9;11.5;;19.9;23.0;22.7;20.0;16.5;10.2;8.1;
2444;;4.3;;;17.1;22.1;27.3;;;14.5;;;
4452;7.9;11.0;15.0;17.1;23.9;26.6;29.2;29.0;26.6;20.7;14.5;11.8;19.4
0200E;5.4;6.7;11.1;13.2;16.4;23.3;27.3;26.5;21.2;17.3;;;
2331;2.9;5.1;9.2;11.2;16.5;23.5;25.6;24.8;19.8;15.4;;6.0;
3469A;7.1;9.4;13.1;14.9;22.0;26.4;;;26.5;20.3;13.6;10.9;
1024E;6.4;7.9;10.2;12.1;14.8;19.3;22.2;22.0;19.4;;10.0;;
4642E;12.0;13.9;18.0;19.7;26.6;29.4;31.4;32.4;29.8;24.5;18.9;;
1549;5.1;8.1;12.3;14.1;19.6;21.8;26.3;25.6;23.2;17.5;10.8;8.0;16.0
9771C;;8.0;11.2;13.7;18.3;24.0;29.0;29.5;;20.3;12.4;10.5;
2462;0.3;0.8;5.0;4.6;10.9;16.7;21.6;20.2;14.7;;3.8;2.2;
7178I;9.9;13.0;17.3;18.7;25.3;;33.5;;27.1;22.8;15.6;12.7;
1690A;7.0;9.0;11.4;13.6;18.5;20.7;25.6;24.9;22.7;17.0;13.3;10.0;16.1
1484C;8.8;10.9;13.6;15.4;18.3;20.2;23.9;23.4;22.9;18.3;;;
2867;4.3;7.6;12.0;14.6;22.4;27.0;31.4;29.5;23.2;;11.1;8.6;
2422;3.3;6.7;;13.2;19.9;25.6;29.4;28.3;22.5;;9.4;;
2539;2.8;5.8;9.6;11.7;18.8;23.9;28.3;26.2;20.5;14.8;8.2;6.5;14.8
