Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3.8(26);5.7(06);3.5(07);5.3(02);11.5(07);12.1(28);13.0(01);14.4(13);12.5(30);12.3(23);9.7(22);4.3(04);3.5(07/mar)
1387E;-1.8(23);-0.3(06);;-0.7(05);5.9(06);8.2(28);9.6(01);12.1(18);8.3(30);9.3(05);5.6(05);-1.4(04);
1428;-2.2(29);-0.4(19);-1.2(05);-0.9(05);6.2(05);6.0(28);7.9(01);10.0(18);6.7(30);8.1(31);3.6(05);0.0(04);-2.2(29/ene)
8175;-6.7(29);-2.8(02);-0.8(09);-3.6(03);5.7(06);13.0(05);14.9(01);12.5(19);7.8(27);5.2(01);-1.4(27);-0.8(28);-6.7(29/ene)
8178D;-5.2(14);-0.5(10);1.2(09);-1.9(03);7.1(25);13.3(22);16.4(01);14.3(18);7.7(30);7.6(01);0.5(27);0.3(03);-5.2(14/ene)
8025;1.4(17);5.1(23);5.8(09);4.5(03);11.8(06);17.5(02);20.2(08);20.8(21);15.3(27);13.6(29);5.8(27);6.1(28);1.4(17/ene)
8019;1.5(16);4.9(02);4.8(01);4.6(03);11.3(06);15.9(02);20.1(09);20.1(21);15.9(30);14.2(01);5.4(27);5.6(29);1.5(16/ene)
6325O;6.1(18);6.8(16);7.7(02);8.3(03);13.3(01);16.3(23);19.8(01);19.4(18);16.6(27);16.0(16);9.4(21);9.1(16);6.1(18/ene)
9091O;-5.8(27);-4.4(26);-0.7(01);-3.9(05);1.0(06);4.6(28);4.0(01);9.4(17);2.5(22);5.0(01);-0.7(27);-1.2(05);-5.8(27/ene)
1212E;0.5(23);2.4(26);2.2(05);;;10.6(27);11.0(01);12.9(19);;9.2(20);6.1(05);;
1208H;3.4(23);4.8(06);5.1(05);4.1(05);10.4(05);13.9(26);13.5(01);15.8(18);12.5(30);12.9(31);8.0(21);5.5(04);3.4(23/ene)
1249I;-0.6(23);0.8(06);1.4(05);-1.7(05);8.0(03);10.0(30);10.0(01);11.8(19);10.0(30);10.6(31);5.0(05);1.8(02);-1.7(05/abr)
2444;-5.3(15);-4.1(06);-2.4(05);-5.5(04);4.3(07);7.0(26);10.5(01);9.9(18);4.8(26);4.6(01);-1.5(26);-3.9(03);-5.5(04/abr)
4452;-2.6(20);-0.7(01);3.2(07);2.2(03);9.7(02);11.3(26);15.5(01);15.1(31);11.4(30);8.9(01);1.4(30);1.6(02);-2.6(20/ene)
B954;1.2(07);3.9(03);6.1(09);3.4(03);9.3(07);15.6(01);18.6(13);19.4(20);;;7.1(26);6.5(27);
B893;1.2(27);1.7(28);1.3(08);5.1(02);9.5(02);15.9(11);18.1(02);16.9(18);12.3(30);11.0(01);5.9(27);6.1(01);1.2(27/ene)
B278;-2.2(18);0.3(07);1.2(01);0.8(03);8.3(06);14.6(01);16.9(10);18.1(21);12.3(30);11.0(01);3.1(27);5.9(29);-2.2(18/ene)
B228;4.5(17);6.4(07);7.6(01);6.4(03);13.6(10);18.9(01);22.0(10);21.8(27);;15.9(01);9.5(27);9.7(29);
0200E;1.4(22);4.3(20);6.3(06);0.5(02);11.4(25);16.5(10);17.8(01);15.8(31);11.6(30);12.6(01);5.9(20);3.2(10);0.5(02/abr)
0076;1.3(15);4.9(10);6.4(08);;;18.2(01);20.0(02);18.2(19);14.5(30);12.7(01);6.2(20);3.7(03);
1082;-2.2(23);0.0(26);4.5(06);1.4(06);8.3(06);10.0(28);9.7(01);14.1(19);9.1(21);10.7(01);5.1(30);2.1(04);-2.2(23/ene)
2331;-7.8(14);-6.1(22);-2.6(01);-4.3(06);1.6(09);4.0(28);5.0(01);9.4(19);2.1(25);3.8(01);-1.8(27);-3.6(04);-7.8(14/ene)
3469A;-1.1(22);2.3(02);1.9(06);0.2(03);8.1(02);11.4(26);16.0(01);16.0(16);10.1(30);9.4(01);2.2(30);2.0(03);-1.1(22/ene)
5973;7.4(08);9.3(15);9.3(06);9.3(03);14.6(03);17.8(27);19.1(01);20.3(18);16.6(30);16.9(01);8.5(30);10.9(03);7.4(08/ene)
5960;-0.9(09);1.8(01);;;9.9(05);;13.6(01);15.1(22);11.0(28);7.2(01);1.8(30);4.1(31);
5910;2.0(09);4.3(15);4.6(06);6.3(02);11.3(05);14.5(28);15.7(01);17.2(18);14.2(25);12.3(01);4.6(30);6.3(31);2.0(09/ene)
6001;8.3(05);4.5(16);6.6(16);8.1(02);;14.8(07);16.5(01);17.6(26);;14.2(15);7.5(29);8.4(30);
1111;3.8(23);5.2(06);5.6(06);2.1(05);11.0(05);11.0(28);12.5(01);15.6(17);12.0(25);13.5(31);7.2(19);5.0(17);2.1(05/abr)
1109;0.0(15);2.3(02);5.2(05);1.6(05);9.6(07);11.5(28);11.8(01);10.0(19);11.7(21);12.3(09);5.4(27);2.7(05);0.0(15/ene)
8500A;2.0(18);5.5(07);5.7(09);4.5(03);11.8(06);17.6(28);19.6(02);20.3(18);15.1(27);13.0(01);6.8(20);6.4(03);2.0(18/ene)
5000C;10.4(05);10.1(15);;11.3(02);13.4(05);17.8(03);18.4(06);19.3(25);16.6(30);16.1(01);10.8(30);11.8(01);
4121;-4.2(19);0.0(15);1.4(09);-0.7(03);7.7(05);14.0(21);17.0(01);15.9(18);9.1(30);7.5(01);0.4(30);-1.3(03);-4.2(19/ene)
5402;-1.6(20);-0.3(15);2.7(06);3.9(21);9.4(02);13.0(27);14.7(01);16.2(18);10.0(30);8.9(02);1.2(29);1.7(03);-1.6(20/ene)
8096;-5.4(16);-3.9(20);-1.0(09);-3.2(03);4.9(06);11.3(05);14.5(07);12.1(19);5.9(30);5.1(01);0.5(27);0.1(02);-5.4(16/ene)
1014;-1.4(23);1.0(26);4.4(09);0.9(04);11.1(06);13.0(10);11.6(01);16.3(18);11.5(18);12.0(02);5.0(27);0.3(11);-1.4(23/ene)
1024E;0.4(23);2.5(26);5.2(05);0.6(03);9.5(01);11.9(30);11.5(01);15.0(18);10.3(25);11.8(01);6.4(19);2.0(10);0.4(23/ene)
0367;-5.6(18);;-0.3(01);-1.7(02);7.5(06);12.4(01);14.0(02);13.4(19);9.7(26);8.3(01);;-0.9(05);
5530E;-5.3(20);-3.2(15);-0.6(09);-0.4(07);6.3(07);10.5(22);13.5(01);12.5(18);6.9(28);5.6(01);-2.5(29);-1.6(31);-5.3(20/ene)
5514;-4.1(09);-3.2(16);0.1(09);0.4(07);7.4(07);9.6(22);15.8(01);13.7(18);8.1(28);6.8(01);-1.2(30);-0.2(31);-4.1(09/ene)
3013;-11.5(29);-8.6(06);-5.9(01);-7.6(03);0.3(06);5.7(10);7.6(01);6.5(15);1.4(27);0.5(01);-4.3(27);-4.9(03);-11.5(29/ene)
4642E;2.7(21);3.9(01);3.9(06);5.3(02);9.6(03);13.8(27);14.8(05);16.6(31);12.7(26);12.9(29);3.7(30);5.7(03);2.7(21/ene)
9898;-5.0(22);-1.9(20);1.5(07);-2.6(03);6.9(05);10.4(28);9.4(01);13.8(19);7.9(26);6.8(01);2.3(22);-1.8(05);-5.0(22/ene)
5270B;1.1(18);3.6(15);5.1(04);2.0(03);9.8(05);13.2(22);18.5(01);17.0(16);10.1(30);12.2(01);4.9(30);5.4(02);1.1(18/ene)
9170;-5.8(23);-2.8(26);0.4(09);-0.5(04);6.8(10);9.9(28);8.4(01);13.0(17);8.4(26);6.8(24);-0.9(27);-0.6(17);-5.8(23/ene)
C249I;12.4(30);11.1(21);10.2(14);13.4(10);16.7(04);18.6(23);19.8(02);20.6(28);20.1(25);18.6(31);16.8(30);13.6(20);10.2(14/mar)
C649I;;13.1(20);;14.4(10);15.2(15);18.1(15);18.2(02);20.4(29);19.2(30);18.9(16);18.0(17);;
C029O;10.8(04);11.6(21);9.5(14);12.2(06);;17.2(23);;19.1(29);;18.0(31);14.7(30);;
2661;-6.6(22);-5.8(06);-4.1(05);-6.0(05);2.9(04);5.4(27);6.4(01);7.5(18);4.5(25);;0.0(27);;
1549;-4.6(15);-2.3(06);-2.0(05);-2.3(05);6.0(03);7.9(27);8.4(01);9.3(18);4.7(26);6.8(01);0.8(27);-3.6(04);-4.6(15/ene)
9771C;-5.4(23);-1.3(07);0.6(09);-1.8(03);9.1(07);13.7(28);14.4(01);15.4(19);9.4(30);7.5(01);-0.8(27);-0.1(11);-5.4(23/ene)
1505;-5.5(29);-2.7(06);-3.2(07);-3.4(05);4.4(07);5.4(26);6.5(01);;5.2(26);5.5(05);-0.3(05);-3.3(04);
3191E;-1.7(06);0.7(20);0.9(05);-2.6(03);6.1(25);11.4(22);12.9(01);12.2(18);7.2(25);8.9(24);2.7(29);-0.6(02);-2.6(03/abr)
3129;-5.3(19);-2.6(07);0.0(05);-2.2(03);6.4(06);11.3(21);14.3(01);14.2(18);7.2(27);6.6(01);-0.2(29);-1.0(03);-5.3(19/ene)
3196;-1.5(16);0.0(20);2.3(05);-0.4(03);7.5(25);11.8(24);14.5(01);15.2(18);8.6(30);9.5(01);2.5(29);0.3(03);-1.5(16/ene)
3200;-2.6(16);-0.2(07);2.2(09);-0.6(03);9.0(25);12.2(21);16.2(01);15.2(18);7.8(30);8.2(01);2.4(27);0.8(03);-2.6(16/ene)
3195;-0.5(16);1.9(20);;0.1(04);9.4(25);12.9(24);;15.1(18);9.3(30);9.8(01);;1.9(03);
3175;-6.0(29);-3.4(06);2.1(01);-3.2(03);;9.8(05);13.8(01);12.3(15);5.1(30);5.3(01);-0.6(26);-1.2(03);
2462;-8.3(06);-5.2(15);-5.9(05);-8.9(02);-0.5(25);4.5(24);9.6(01);5.5(18);0.2(30);3.0(24);-4.1(22);-4.3(03);-8.9(02/abr)
6155A;4.4(08);4.7(02);6.1(06);7.4(03);12.0(01);17.1(06);18.1(01);19.2(21);15.5(30);12.7(01);5.2(30);5.2(31);4.4(08/ene)
6000A;7.1(04);9.1(11);;;12.3(01);18.6(06);20.4(01);21.2(21);16.8(30);15.4(01);9.5(30);9.9(31);
7178I;-1.2(17);4.7(07);6.0(09);4.5(03);11.4(06);17.2(06);20.1(09);20.7(20);15.8(27);13.2(01);5.6(27);4.6(29);-1.2(17/ene)
7228;-2.4(18);2.3(23);4.3(09);3.7(03);10.5(07);14.5(06);18.5(10);19.3(20);14.3(30);11.5(01);3.4(27);2.4(28);-2.4(18/ene)
7031;-0.1(18);3.2(23);3.6(02);4.2(06);10.0(08);15.5(02);18.4(14);20.1(16);14.5(27);10.8(02);4.0(30);3.5(29);-0.1(18/ene)
9263D;-6.0(16);-3.8(06);-1.3(09);-3.7(03);5.7(01);8.6(10);6.1(01);11.1(27);5.6(26);6.4(01);0.2(27);-1.9(05);-6.0(16/ene)
9262;;-0.7(06);0.8(07);-1.2(04);8.9(09);;8.4(01);13.5(17);7.9(21);8.2(01);1.8(22);-0.7(11);
1690A;-4.1(23);-1.2(06);-0.4(07);-1.7(04);6.5(01);6.9(26);8.8(01);11.0(19);;;;-0.4(04);
1484C;2.1(24);3.1(06);1.9(07);0.9(05);8.2(06);8.8(27);11.7(01);11.8(18);9.4(30);10.5(31);6.2(05);1.6(04);0.9(05/abr)
1495;;2.3(19);0.8(07);;8.3(03);;11.3(01);;8.8(30);9.2(31);5.4(05);0.8(04);
2867;-7.8(23);-7.8(06);-2.3(06);-5.0(02);4.2(07);5.2(26);6.6(01);8.7(20);1.9(30);3.3(01);-3.4(30);-5.0(02);-7.8(23/ene)
2870;-4.5(23);-3.5(06);-0.4(06);-2.1(04);6.8(07);9.2(26);10.7(01);11.7(18);5.8(30);7.1(01);-0.2(30);-2.5(03);-4.5(23/ene)
C929I;15.3(22);14.7(23);14.6(14);16.2(03);17.9(10);19.0(01);19.5(02);21.1(01);21.1(24);19.3(27);19.7(12);14.0(26);14.0(26/dic)
C430E;-4.4(29);-3.8(21);-5.1(16);-5.9(05);4.3(04);6.0(02);8.0(01);9.1(28);3.8(30);3.4(13);1.6(19);-1.5(26);-5.9(05/abr)
C139E;13.8(28);13.9(21);13.7(15);14.2(04);17.2(03);17.9(15);19.0(02);19.4(29);19.7(26);18.8(20);17.9(20);13.5(26);13.5(26/dic)
C449C;14.2(27);13.9(22);13.3(14);14.5(09);16.8(06);18.7(07);19.2(01);20.7(29);20.2(26);19.3(21);17.9(27);13.7(26);13.3(14/mar)
C447A;8.2(13);4.6(23);7.3(14);;10.6(06);10.7(02);14.0(01);14.8(29);15.8(30);13.7(20);12.0(27);9.6(25);
C429I;12.5(31);10.8(23);12.5(08);12.9(05);16.0(05);17.2(02);17.1(08);20.0(07);20.1(20);17.4(21);15.9(17);13.2(25);10.8(23/feb)
2465;-4.3(22);-2.5(06);-2.0(06);-5.6(04);4.1(26);7.5(27);10.6(01);9.2(18);4.1(26);7.8(01);0.6(26);-1.7(03);-5.6(04/abr)
5796;0.0(09);1.4(15);2.8(06);6.2(21);11.1(25);13.5(28);14.7(06);16.1(17);13.0(30);11.2(01);2.1(30);3.1(31);0.0(09/ene)
5783;1.1(09);3.1(15);4.3(06);6.7(07);10.6(02);14.3(04);15.5(01);17.7(18);13.1(29);12.4(01);3.1(30);;
2030;-9.1(22);-6.8(06);-3.9(05);-4.5(04);3.5(09);5.6(28);6.1(01);9.3(19);4.1(26);3.2(01);-2.1(27);-3.0(04);-9.1(22/ene)
0016A;-3.4(16);0.4(07);2.5(09);-2.5(03);9.9(04);15.9(28);17.4(02);17.9(31);12.5(28);9.1(01);2.4(27);0.6(03);-3.4(16/ene)
9981A;-0.2(16);3.1(10);3.5(09);3.4(05);10.8(04);16.6(28);19.0(06);17.5(20);15.4(26);12.7(02);4.1(27);3.6(03);-0.2(16/ene)
9381I;-8.9(28);-7.6(06);-3.4(01);-6.2(03);2.4(07);7.4(28);10.2(01);9.0(19);3.5(27);2.9(01);-1.6(06);-3.2(03);-8.9(28/ene)
8368U;-9.1(14);-6.3(20);-3.0(01);-4.1(02);3.4(06);7.9(28);11.8(08);10.0(19);4.7(27);3.1(01);-1.9(27);-2.8(28);-9.1(14/ene)
3260B;;-0.7(07);0.9(06);-0.6(03);7.7(25);12.9(24);15.1(01);15.0(18);8.4(30);7.2(01);0.9(30);-0.2(03);
8416;2.9(18);6.4(07);6.3(09);4.4(03);12.1(06);18.5(28);20.0(02);19.6(18);16.1(27);14.8(01);7.6(28);7.6(03);2.9(18/ene)
8414A;-2.0(18);2.8(08);4.0(01);0.6(03);10.2(06);16.9(06);19.6(02);18.2(18);13.4(27);12.6(01);4.1(27);4.6(20);-2.0(18/ene)
2422;-5.3(15);-3.0(06);-1.1(06);-3.0(03);5.1(25);8.4(26);9.4(01);11.0(18);4.9(30);6.7(01);0.3(27);-3.4(04);-5.3(15/ene)
2539;-6.2(15);-6.4(06);-2.5(06);-5.3(03);2.0(25);4.8(26);7.1(01);8.0(18);3.1(25);4.2(01);-1.2(26);-4.6(03);-6.4(06/feb)
2614;-5.2(23);-4.3(06);-0.7(05);-3.8(04);5.2(04);8.8(26);9.8(01);11.5(18);5.3(30);7.5(01);0.2(26);-3.5(04);-5.2(23/ene)
9390;-8.1(16);-6.8(06);-2.6(01);-5.7(04);3.8(07);8.3(28);8.4(01);10.9(18);4.8(27);3.3(01);-1.5(27);-2.9(03);-8.1(16/ene)
9434;-3.2(23);0.3(10);3.0(09);0.5(04);11.3(03);14.4(28);13.8(01);17.6(19);11.3(26);10.5(01);2.8(27);1.5(03);-3.2(23/ene)
