Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;;25914;39661;53211;66342;62758;;62856;47135;29284;17898;13514;
1428;21442;25376;34761;51816;;55329;76326;64606;43790;;17235;12826;
8178D;32262;35813;28874;56757;84964;87232;;78651;56861;38309;28215;19869;
8019;28847;33848;32456;57653;82993;84782;86519;76971;55351;41966;29742;22320;633448
6325O;;;;61955;;85670;;77868;59321;45289;33548;26910;
B954;30227;;33767;59200;81366;;;71977;;;29016;20099;
B278;;;;;;;;;51268;;;;
B228;27964;36245;;58939;78759;83171;;73943;52604;43157;28317;22060;
1082;19941;24409;33956;47071;60067;56940;69094;55252;;29038;17125;;
3469A;31235;36087;37069;63937;79227;;92381;81885;57132;38901;24660;17830;
5973;;;43374;70416;85020;87137;87713;75807;62123;41576;32288;25428;
5960;;;;;;;;;;37761;26769;19415;
1111;22381;;;49752;64583;59217;75637;;44018;;19764;13427;
4121;35517;39202;;66323;90022;;;;;38522;24888;18983;
5402;;36427;;;81261;;87773;76951;;;27068;21117;
1024E;20131;25409;;44342;;56960;69376;;44416;26879;17103;;
0367;;;;;;;74345;63044;;;;;
5514;;37463;38860;59993;83992;86060;;78579;60721;40290;;;
4642E;;38496;;;81984;86549;87918;76431;61095;40916;30628;;
9170;;30955;;;71849;72766;85538;67705;49870;33240;19770;13030;
C249I;40103;;;69316;82620;76524;77877;77560;60802;54163;44247;35375;
C649I;;47062;;;84019;82729;84065;78309;60474;59771;44893;;
C029O;38449;42960;62320;68637;83084;;;74561;63048;;40447;33586;
2661;26691;31929;33194;59400;;72709;87982;74776;51368;31469;21669;11610;
1549;;29701;34427;57347;;69605;;69355;49419;32032;18739;11703;
9771C;28235;33284;33101;58954;78975;82023;82051;74296;53611;36378;25954;;
2462;;;25630;;;79870;;76879;49594;31087;18769;14677;
7178I;;;29371;57645;82889;87301;86908;76601;;41703;31363;24009;
9263D;22668;27089;;;;67723;81495;66131;46457;31950;16149;13216;
1495;;;;;66715;;;69882;49171;;;12027;
2867;28167;31634;37012;59620;;;;;;35402;23840;15656;
C430E;;;;86537;101037;99130;96640;88579;67365;64984;53369;;
C449C;39776;44369;58951;;83209;79492;87260;79605;59672;55885;;35490;
C447A;34347;38765;52599;;79253;68222;;74794;52572;48744;38298;31536;
C429I;42442;47334;63204;65329;85547;79148;89977;76423;65118;57680;44515;38261;754978
5783;24902;28317;30286;;69982;70546;72928;66163;54704;35019;23839;15950;
2030;;33754;28946;57608;77285;;89460;75114;54360;37736;22864;15199;
0016A;29470;33410;29961;;73000;77037;77466;68717;44426;34526;24516;18112;
9981A;29993;32761;28740;56524;78041;79216;;70696;;;;;
8368U;30617;33201;30033;53139;76119;;81676;70001;;37979;;;
3260B;;;;;;;;78535;61192;;25934;16886;
8414A;;33673;31069;52918;;;82582;;53045;36241;27343;20381;
2422;;33788;35617;59849;78314;80092;90491;76398;55016;35536;21977;14828;
