Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;23.1(01);19.7(09);21.7(20);21.5(10);29.3(14);26.2(16);32.9(14);29.6(09);27.0(19);24.3(03);22.0(12);19.5(31);32.9(14/jul)
1387E;22.3(01);19.7(09);;23.7(10);28.9(14);28.2(15);34.4(14);33.3(09);31.3(11);26.8(03);21.1(12);18.9(22);
1428;19.1(01);19.4(23);20.9(27);24.5(16);31.9(28);29.5(13);38.5(14);34.8(09);29.8(19);26.5(03);19.3(11);15.8(14);38.5(14/jul)
8175;19.2(01);22.3(18);18.9(02);24.9(16);33.6(28);41.0(14);40.9(24);39.2(12);35.4(11);30.0(19);23.9(02);19.7(25);41.0(14/jun)
8178D;20.3(03);22.7(18);19.6(01);25.2(16);32.9(21);40.4(14);40.1(24);38.8(12);35.6(11);30.5(19);24.6(02);19.8(25);40.4(14/jun)
8025;24.6(31);24.2(02);22.5(15);27.4(08);36.0(29);36.9(17);38.8(25);42.0(13);36.3(02);30.9(26);27.4(17);24.2(23);42.0(13/ago)
8019;24.1(31);23.7(02);21.7(15);25.6(16);36.0(29);36.0(18);42.4(25);41.9(13);35.5(02);30.0(14);26.6(17);23.1(23);42.4(25/jul)
6325O;21.5(30);23.7(22);23.8(14);25.0(29);34.7(19);40.4(17);38.4(15);42.0(13);34.2(12);32.2(18);26.9(12);23.7(27);42.0(13/ago)
9091O;17.5(02);18.4(18);18.8(01);22.8(26);32.1(21);39.4(18);40.2(17);38.5(12);34.5(11);28.1(05);20.5(17);18.8(31);40.2(17/jul)
1212E;21.3(01);18.4(09);20.6(20);;;29.3(16);29.4(13);27.5(10);;27.9(18);22.7(12);;
1208H;23.4(01);19.6(16);22.1(21);22.5(07);23.9(17);27.6(17);26.5(13);28.2(11);29.6(12);29.2(18);23.0(16);23.2(31);29.6(12/sep)
1249I;23.0(01);19.5(16);22.0(28);24.3(10);29.0(17);35.4(17);39.0(17);32.5(10);27.8(05);26.6(16);22.4(12);21.9(23);39.0(17/jul)
2444;18.6(02);20.5(02);16.0(01);21.4(18);29.1(28);35.4(14);37.6(14);35.9(02);31.8(10);27.3(03);18.4(05);16.2(26);37.6(14/jul)
4452;19.8(31);23.1(22);22.3(28);29.6(16);37.7(20);41.3(13);44.3(13);41.3(01);36.9(10);33.2(05);22.2(08);20.2(19);44.3(13/jul)
B954;19.7(10);20.9(17);18.7(03);23.2(16);29.6(23);34.5(17);34.2(16);41.0(13);;;25.2(01);22.1(13);
B893;16.9(28);19.5(17);19.2(28);23.7(30);30.1(22);35.2(21);34.8(17);39.0(14);35.3(04);27.1(26);24.2(01);19.7(26);39.0(14/ago)
B278;20.0(31);21.6(17);19.9(14);26.3(17);33.9(22);35.5(18);35.7(12);39.4(13);36.1(12);31.0(26);26.9(02);22.0(26);39.4(13/ago)
B228;19.9(31);21.2(17);20.8(28);26.2(16);31.8(22);33.7(19);35.1(21);39.1(13);;31.2(26);27.6(02);23.6(13);
0200E;22.1(01);21.5(18);18.7(28);25.7(16);34.4(22);35.4(17);36.1(15);37.0(14);31.4(12);28.8(26);23.3(06);22.4(31);37.0(14/ago)
0076;18.5(04);20.8(21);20.3(27);;;32.9(17);33.3(15);34.6(14);32.8(13);27.0(24);24.9(01);21.4(23);
