FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-03-2016;B228;17.7
01-04-2016;B228;20.3
01-05-2016;B228;22.8
01-06-2016;B228;27.6
01-07-2016;B228;30.4
01-08-2016;B228;29.9
01-09-2016;B228;0
01-10-2016;B228;25.4
01-11-2016;B228;20.7
01-12-2016;B228;18.8
01-01-2016;B278;17.7
01-02-2016;B278;17.3
01-03-2016;B278;17.4
01-04-2016;B278;20.4
01-05-2016;B278;23.3
01-06-2016;B278;28.9
01-07-2016;B278;32.5
01-08-2016;B278;31.4
01-09-2016;B278;29.6
01-10-2016;B278;25.0
01-11-2016;B278;20.1
01-12-2016;B278;18.0
01-01-2016;0200E;14.2
01-02-2016;0200E;15.6
01-03-2016;0200E;15.6
01-04-2016;0200E;17.8
01-05-2016;0200E;21.0
01-06-2016;0200E;26.5
01-07-2016;0200E;29.6
01-08-2016;0200E;29.2
01-09-2016;0200E;27.0
01-10-2016;0200E;20.0
01-11-2016;0200E;16.0
01-12-2016;0200E;14.4
01-01-2016;0076;16.1
01-02-2016;0076;16.3
01-03-2016;0076;16.3
01-04-2016;0076;18.3
01-05-2016;0076;21.2
01-06-2016;0076;25.7
01-07-2016;0076;28.5
01-08-2016;0076;28.8
01-09-2016;0076;27.5
01-10-2016;0076;22.1
01-11-2016;0076;18.4
01-12-2016;0076;16.0
01-01-2016;1082;15.9
01-02-2016;1082;13.8
01-03-2016;1082;14.1
01-04-2016;1082;17.2
01-05-2016;1082;21.4
01-06-2016;1082;23.5
01-07-2016;1082;25.2
01-08-2016;1082;27.9
01-09-2016;1082;26.3
01-10-2016;1082;21.3
01-11-2016;1082;15.7
01-12-2016;1082;15.7
01-01-2016;2331;8.7
01-02-2016;2331;8.6
01-03-2016;2331;9.6
01-04-2016;2331;12.4
01-05-2016;2331;18.1
01-06-2016;2331;24.5
01-07-2016;2331;28.7
01-08-2016;2331;28.8
01-09-2016;2331;25.0
01-10-2016;2331;19.6
01-11-2016;2331;10.7
01-12-2016;2331;10.5
01-01-2016;3469A;13.1
01-02-2016;3469A;13.2
01-03-2016;3469A;15.0
01-04-2016;3469A;17.9
01-05-2016;3469A;21.4
01-06-2016;3469A;30.7
01-07-2016;3469A;36.1
01-08-2016;3469A;35.8
01-09-2016;3469A;31.1
01-10-2016;3469A;24.2
01-11-2016;3469A;15.7
01-12-2016;3469A;13.5
01-01-2016;5973;17.4
01-02-2016;5973;16.6
01-03-2016;5973;17.1
01-04-2016;5973;19.5
01-05-2016;5973;22.4
01-06-2016;5973;26.4
01-07-2016;5973;29.0
01-08-2016;5973;0
01-09-2016;5973;27.6
01-10-2016;5973;24.2
01-11-2016;5973;19.3
01-12-2016;5973;17.9
01-01-2016;5960;18.0
01-02-2016;5960;18.0
01-03-2016;5960;19.9
01-04-2016;5960;22.7
01-05-2016;5960;25.9
01-06-2016;5960;32.0
01-07-2016;5960;35.8
01-08-2016;5960;35.7
