FECHA;INDICATIVO;EVAPORACION
01-01-2016;5910;548
01-02-2016;5910;891
01-03-2016;5910;583
01-04-2016;5910;884
01-05-2016;5910;1644
01-06-2016;5910;1990
01-07-2016;5910;2459
01-08-2016;5910;2803
01-09-2016;5910;1914
01-10-2016;5910;1178
01-11-2016;5910;989
01-12-2016;5910;882
01-01-2016;1111;0
01-02-2016;1111;836
01-03-2016;1111;0
01-04-2016;1111;1057
01-05-2016;1111;997
01-06-2016;1111;764
01-07-2016;1111;940
01-08-2016;1111;0
01-09-2016;1111;745
01-10-2016;1111;884
01-11-2016;1111;748
01-12-2016;1111;824
01-01-2016;1109;1464
01-02-2016;1109;1121
01-03-2016;1109;1383
01-04-2016;1109;1602
01-05-2016;1109;1500
01-06-2016;1109;1287
01-07-2016;1109;1601
01-08-2016;1109;1564
01-09-2016;1109;1244
01-10-2016;1109;1202
01-11-2016;1109;907
01-12-2016;1109;979
01-01-2016;4121;296
01-02-2016;4121;0
01-03-2016;4121;656
01-04-2016;4121;627
01-05-2016;4121;1042
01-06-2016;4121;1739
01-07-2016;4121;0
01-08-2016;4121;2016
01-09-2016;4121;1420
01-10-2016;4121;756
01-11-2016;4121;369
01-12-2016;4121;142
01-01-2016;5402;458
01-02-2016;5402;975
01-03-2016;5402;0
01-04-2016;5402;1482
01-05-2016;5402;1939
01-06-2016;5402;3558
01-07-2016;5402;4285
01-08-2016;5402;0
01-09-2016;5402;3155
01-10-2016;5402;1519
01-11-2016;5402;691
01-12-2016;5402;471
01-01-2016;8096;411
01-02-2016;8096;568
01-03-2016;8096;954
01-04-2016;8096;953
01-05-2016;8096;1364
01-06-2016;8096;2364
01-07-2016;8096;2870
01-08-2016;8096;2744
01-09-2016;8096;1852
01-10-2016;8096;991
01-11-2016;8096;492
01-12-2016;8096;472
01-01-2016;1014;809
01-02-2016;1014;648
01-03-2016;1014;796
01-04-2016;1014;1180
01-05-2016;1014;1182
01-06-2016;1014;823
01-07-2016;1014;1068
01-08-2016;1014;1041
01-09-2016;1014;959
01-10-2016;1014;699
01-11-2016;1014;0
01-12-2016;1014;633
01-01-2016;1024E;1169
01-02-2016;1024E;835
01-03-2016;1024E;865
01-04-2016;1024E;1200
01-05-2016;1024E;1233
01-06-2016;1024E;670
01-07-2016;1024E;596
01-08-2016;1024E;914
01-09-2016;1024E;902
01-10-2016;1024E;728
01-11-2016;1024E;700
01-12-2016;1024E;962
01-01-2016;5530E;537
01-02-2016;5530E;764
01-03-2016;5530E;1244
01-04-2016;5530E;0
01-05-2016;5530E;1852
01-06-2016;5530E;3080
01-07-2016;5530E;3367
01-08-2016;5530E;2951
01-09-2016;5530E;2252
01-10-2016;5530E;1241
01-11-2016;5530E;563
01-12-2016;5530E;449
01-01-2016;5514;724
01-02-2016;5514;863
01-03-2016;5514;1437
01-04-2016;5514;1675
01-05-2016;5514;2056
01-06-2016;5514;3485
01-07-2016;5514;4175
01-08-2016;5514;3497
01-09-2016;5514;3109
01-10-2016;5514;1786
01-11-2016;5514;0
01-12-2016;5514;604
01-01-2016;3013;0
01-02-2016;3013;0
01-03-2016;3013;0
01-04-2016;3013;701
01-05-2016;3013;1120
01-06-2016;3013;0
01-07-2016;3013;0
01-08-2016;3013;0
01-09-2016;3013;0
01-10-2016;3013;793
01-11-2016;3013;406
01-12-2016;3013;0
01-01-2016;4642E;528
01-02-2016;4642E;0
01-03-2016;4642E;0
01-04-2016;4642E;0
01-05-2016;4642E;0
01-06-2016;4642E;0
01-07-2016;4642E;0
01-08-2016;4642E;0
01-09-2016;4642E;0
01-10-2016;4642E;0
01-11-2016;4642E;0
01-12-2016;4642E;0
01-01-2016;5270B;0
01-02-2016;5270B;0
01-03-2016;5270B;993
01-04-2016;5270B;0
01-05-2016;5270B;1292
01-06-2016;5270B;0
01-07-2016;5270B;0
01-08-2016;5270B;1350
01-09-2016;5270B;0
01-10-2016;5270B;0
01-11-2016;5270B;0
01-12-2016;5270B;0
01-01-2016;9170;606
01-02-2016;9170;995
01-03-2016;9170;1272
01-04-2016;9170;1426
01-05-2016;9170;1689
01-06-2016;9170;2293
01-07-2016;9170;2560
01-08-2016;9170;2680
01-09-2016;9170;2033
01-10-2016;9170;1202
01-11-2016;9170;887
01-12-2016;9170;418
01-01-2016;C249I;1104
01-02-2016;C249I;1346
01-03-2016;C249I;1564
01-04-2016;C249I;1652
01-05-2016;C249I;1785
01-06-2016;C249I;1646
01-07-2016;C249I;0
01-08-2016;C249I;1711
01-09-2016;C249I;1372
01-10-2016;C249I;1475
01-11-2016;C249I;1269
01-12-2016;C249I;1883
01-01-2016;C029O;1815
01-02-2016;C029O;0
01-03-2016;C029O;2413
01-04-2016;C029O;0
01-05-2016;C029O;0
01-06-2016;C029O;2954
01-07-2016;C029O;0
01-08-2016;C029O;3712
01-09-2016;C029O;2963
01-10-2016;C029O;2268
01-11-2016;C029O;2131
01-12-2016;C029O;2666
01-01-2016;1549;386
01-02-2016;1549;557
01-03-2016;1549;951
01-04-2016;1549;1060
01-05-2016;1549;1267
01-06-2016;1549;1775
01-07-2016;1549;2488
01-08-2016;1549;2418
01-09-2016;1549;1478
01-10-2016;1549;871
01-11-2016;1549;511
01-12-2016;1549;0
01-01-2016;9771C;681
01-02-2016;9771C;1173
01-03-2016;9771C;1373
01-04-2016;9771C;1548
01-05-2016;9771C;1834
01-06-2016;9771C;2594
01-07-2016;9771C;3147
01-08-2016;9771C;2268
01-09-2016;9771C;727
01-10-2016;9771C;321
01-11-2016;9771C;134
01-12-2016;9771C;147
01-01-2016;1505;619
01-02-2016;1505;426
01-03-2016;1505;613
01-04-2016;1505;716
01-05-2016;1505;944
01-06-2016;1505;887
01-07-2016;1505;912
01-08-2016;1505;1041
01-09-2016;1505;720
01-10-2016;1505;388
01-11-2016;1505;282
01-12-2016;1505;284
01-01-2016;3191E;380
01-02-2016;3191E;867
01-03-2016;3191E;1074
01-04-2016;3191E;959
01-05-2016;3191E;1175
01-06-2016;3191E;2484
01-07-2016;3191E;0
01-08-2016;3191E;3254
01-09-2016;3191E;2364
01-10-2016;3191E;1286
01-11-2016;3191E;529
01-12-2016;3191E;597
01-01-2016;3196;615
01-02-2016;3196;952
01-03-2016;3196;1538
01-04-2016;3196;1424
01-05-2016;3196;1895
01-06-2016;3196;3425
01-07-2016;3196;4118
01-08-2016;3196;4105
01-09-2016;3196;2936
01-10-2016;3196;1476
01-11-2016;3196;706
01-12-2016;3196;505
01-01-2016;3200;532
01-02-2016;3200;916
01-03-2016;3200;1429
01-04-2016;3200;1275
01-05-2016;3200;1724
01-06-2016;3200;3373
01-07-2016;3200;4027
01-08-2016;3200;3814
01-09-2016;3200;2806
01-10-2016;3200;1373
01-11-2016;3200;647
01-12-2016;3200;378
01-01-2016;3195;287
01-02-2016;3195;498
01-03-2016;3195;794
01-04-2016;3195;750
01-05-2016;3195;1010
01-06-2016;3195;1885
01-07-2016;3195;2357
01-08-2016;3195;2249
01-09-2016;3195;1608
01-10-2016;3195;780
01-11-2016;3195;342
01-12-2016;3195;312
01-01-2016;3175;930
01-02-2016;3175;1345
01-03-2016;3175;1799
01-04-2016;3175;1571
01-05-2016;3175;1762
01-06-2016;3175;3916
01-07-2016;3175;5155
01-08-2016;3175;4518
01-09-2016;3175;3491
01-10-2016;3175;1670
01-11-2016;3175;794
01-12-2016;3175;671
01-01-2016;2462;55
01-02-2016;2462;0
01-03-2016;2462;0
01-04-2016;2462;0
01-05-2016;2462;0
01-06-2016;2462;1456
01-07-2016;2462;2322
01-08-2016;2462;2300
01-09-2016;2462;1616
01-10-2016;2462;994
01-11-2016;2462;238
01-12-2016;2462;490
01-01-2016;6000A;525
01-02-2016;6000A;680
01-03-2016;6000A;1019
01-04-2016;6000A;888
01-05-2016;6000A;858
01-06-2016;6000A;836
01-07-2016;6000A;663
01-08-2016;6000A;757
01-09-2016;6000A;874
01-10-2016;6000A;549
01-11-2016;6000A;669
01-12-2016;6000A;407
01-01-2016;7178I;802
01-02-2016;7178I;1093
01-03-2016;7178I;1210
01-04-2016;7178I;1337
01-05-2016;7178I;1779
01-06-2016;7178I;0
01-07-2016;7178I;2412
01-08-2016;7178I;1976
01-09-2016;7178I;1771
01-10-2016;7178I;942
01-11-2016;7178I;889
01-12-2016;7178I;417
01-01-2016;7228;1227
01-02-2016;7228;1619
01-03-2016;7228;1950
01-04-2016;7228;1797
01-05-2016;7228;2419
01-06-2016;7228;3014
01-07-2016;7228;3110
01-08-2016;7228;2441
01-09-2016;7228;2159
01-10-2016;7228;1044
01-11-2016;7228;1095
01-12-2016;7228;489
01-01-2016;7031;1245
01-02-2016;7031;2062
01-03-2016;7031;1900
01-04-2016;7031;1481
01-05-2016;7031;1731
01-06-2016;7031;1655
01-07-2016;7031;1589
01-08-2016;7031;1529
01-09-2016;7031;1570
01-10-2016;7031;937
01-11-2016;7031;1221
01-12-2016;7031;680
01-01-2016;1690A;342
01-02-2016;1690A;363
01-03-2016;1690A;593
01-04-2016;1690A;620
01-05-2016;1690A;912
01-06-2016;1690A;1174
01-07-2016;1690A;1681
01-08-2016;1690A;1721
01-09-2016;1690A;1077
01-10-2016;1690A;966
01-11-2016;1690A;232
01-12-2016;1690A;206
01-01-2016;1484C;261
01-02-2016;1484C;290
01-03-2016;1484C;380
01-04-2016;1484C;517
01-05-2016;1484C;470
01-06-2016;1484C;558
01-07-2016;1484C;1021
01-08-2016;1484C;922
01-09-2016;1484C;565
01-10-2016;1484C;508
01-11-2016;1484C;291
01-12-2016;1484C;376
01-01-2016;2867;571
01-02-2016;2867;723
01-03-2016;2867;886
