FECHA;INDICATIVO;TEMP_sup_30
01-08-2016;0200E;13
01-09-2016;0200E;7
01-10-2016;0200E;0
01-11-2016;0200E;0
01-12-2016;0200E;0
01-01-2016;0076;0
01-02-2016;0076;0
01-03-2016;0076;0
01-04-2016;0076;0
01-05-2016;0076;0
01-06-2016;0076;1
01-07-2016;0076;5
01-08-2016;0076;5
01-09-2016;0076;4
01-10-2016;0076;0
01-11-2016;0076;0
01-12-2016;0076;0
01-01-2016;1082;0
01-02-2016;1082;0
01-03-2016;1082;0
01-04-2016;1082;0
01-05-2016;1082;0
01-06-2016;1082;3
01-07-2016;1082;3
01-08-2016;1082;8
01-09-2016;1082;6
01-10-2016;1082;0
01-11-2016;1082;0
01-12-2016;1082;0
01-01-2016;2331;0
01-02-2016;2331;0
01-03-2016;2331;0
01-04-2016;2331;0
01-05-2016;2331;0
01-06-2016;2331;6
01-07-2016;2331;14
01-08-2016;2331;14
01-09-2016;2331;7
01-10-2016;2331;0
01-11-2016;2331;0
01-12-2016;2331;0
01-01-2016;3469A;0
01-02-2016;3469A;0
01-03-2016;3469A;0
01-04-2016;3469A;0
01-05-2016;3469A;0
01-06-2016;3469A;16
01-07-2016;3469A;30
01-08-2016;3469A;31
01-09-2016;3469A;15
01-10-2016;3469A;2
01-11-2016;3469A;0
01-12-2016;3469A;0
01-01-2016;5973;0
01-02-2016;5973;0
01-03-2016;5973;0
01-04-2016;5973;0
01-05-2016;5973;0
01-06-2016;5973;2
01-07-2016;5973;11
01-08-2016;5973;0
01-09-2016;5973;7
01-10-2016;5973;0
01-11-2016;5973;0
01-12-2016;5973;0
01-01-2016;5960;0
01-02-2016;5960;0
01-03-2016;5960;0
01-04-2016;5960;0
01-05-2016;5960;5
01-06-2016;5960;24
01-07-2016;5960;30
01-08-2016;5960;31
01-09-2016;5960;24
01-10-2016;5960;9
01-11-2016;5960;0
01-12-2016;5960;0
01-01-2016;5910;0
01-02-2016;5910;0
01-03-2016;5910;0
01-04-2016;5910;0
01-05-2016;5910;1
01-06-2016;5910;12
01-07-2016;5910;21
01-08-2016;5910;28
01-09-2016;5910;15
01-10-2016;5910;4
01-11-2016;5910;0
01-12-2016;5910;0
01-01-2016;6001;0
01-02-2016;6001;0
01-03-2016;6001;0
01-04-2016;6001;0
01-05-2016;6001;0
01-06-2016;6001;0
01-07-2016;6001;3
01-08-2016;6001;1
01-09-2016;6001;3
01-10-2016;6001;0
01-11-2016;6001;0
01-12-2016;6001;0
01-01-2016;1111;0
01-02-2016;1111;0
01-03-2016;1111;0
01-04-2016;1111;0
01-05-2016;1111;0
01-06-2016;1111;0
01-07-2016;1111;2
01-08-2016;1111;0
