01 -10-2016;2444;3.3(31)
01 -11-2016;2444;-1.3(15)
01 -12-2016;2444;-4.1(31)
01 -01-2016;4452;0.7(17)
01 -02-2016;4452;-0.1(17)
01 -03-2016;4452;0.2(12)
01 -04-2016;4452;3.7(02)
01 -05-2016;4452;8.0(02)
01 -06-2016;4452;11.9(17)
01 -07-2016;4452;15.4(02)
01 -08-2016;4452;15.2(21)
01 -09-2016;4452;11.0(23)
01 -10-2016;4452;8.3(15)
01 -11-2016;4452;2.6(16)
01 -12-2016;4452;-1.0(20)
01 -01-2016;B954;1.3(17)
01 -02-2016;B954;2.5(17)
01 -03-2016;B954;3.8(13)
01 -04-2016;B954;6.5(09)
01 -05-2016;B954;8.1(02)
01 -06-2016;B954;0
01 -07-2016;B954;16.2(16)
01 -08-2016;B954;17.7(26)
01 -09-2016;B954;14.4(19)
01 -10-2016;B954;0
01 -11-2016;B954;5.8(25)
01 -12-2016;B954;5.9(31)
01 -01-2016;B893;4.4(17)
01 -02-2016;B893;3.6(20)
01 -03-2016;B893;3.4(06)
01 -04-2016;B893;6.5(08)
01 -05-2016;B893;0
01 -06-2016;B893;12.9(03)
01 -07-2016;B893;0
01 -08-2016;B893;15.6(13)
01 -09-2016;B893;14.9(18)
01 -10-2016;B893;10.2(30)
01 -11-2016;B893;4.8(08)
01 -12-2016;B893;0
01 -01-2016;B228;6.5(18)
01 -02-2016;B228;5.5(17)
01 -03-2016;B228;6.3(13)
01 -04-2016;B228;8.5(08)
01 -05-2016;B228;10.0(01)
01 -06-2016;B228;15.5(02)
01 -07-2016;B228;19.3(17)
01 -08-2016;B228;20.1(24)
01 -09-2016;B228;0
01 -10-2016;B228;13.3(30)
01 -11-2016;B228;9.0(08)
01 -12-2016;B228;7.1(30)
01 -01-2016;B278;-1.5(17)
01 -02-2016;B278;-0.1(17)
01 -03-2016;B278;0.3(09)
01 -04-2016;B278;5.6(09)
01 -05-2016;B278;4.6(02)
01 -06-2016;B278;10.8(02)
01 -07-2016;B278;14.4(19)
01 -08-2016;B278;14.9(12)
01 -09-2016;B278;11.9(19)
01 -10-2016;B278;8.2(30)
01 -11-2016;B278;5.1(25)
01 -12-2016;B278;2.3(30)
01 -01-2016;0200E;1.1(16)
01 -02-2016;0200E;0.6(17)
01 -03-2016;0200E;2.9(10)
01 -04-2016;0200E;5.1(09)
01 -05-2016;0200E;6.2(01)
01 -06-2016;0200E;10.6(18)
01 -07-2016;0200E;15.6(14)
01 -08-2016;0200E;15.9(11)
01 -09-2016;0200E;13.2(18)
01 -10-2016;0200E;9.4(21)
01 -11-2016;0200E;3.7(08)
01 -12-2016;0200E;6.3(20)
01 -01-2016;0076;1.4(17)
01 -02-2016;0076;2.8(17)
01 -03-2016;0076;3.7(10)
01 -04-2016;0076;8.4(08)
01 -05-2016;0076;8.0(01)
01 -06-2016;0076;12.9(18)
01 -07-2016;0076;18.3(14)
01 -08-2016;0076;19.8(14)
01 -09-2016;0076;14.9(15)
01 -10-2016;0076;12.4(30)
01 -11-2016;0076;6.0(08)
01 -12-2016;0076;4.1(03)
01 -01-2016;1082;0.6(17)
01 -02-2016;1082;-1.8(17)
01 -03-2016;1082;2.3(15)
01 -04-2016;1082;1.4(02)
01 -05-2016;1082;2.7(02)
01 -06-2016;1082;10.4(20)
01 -07-2016;1082;10.1(15)
01 -08-2016;1082;11.5(12)
01 -09-2016;1082;10.8(21)
01 -10-2016;1082;4.4(21)
01 -11-2016;1082;3.0(25)
01 -12-2016;1082;-0.8(31)
01 -01-2016;2331;-4.0(17)
01 -02-2016;2331;-8.2(17)
01 -03-2016;2331;-5.0(14)
01 -04-2016;2331;-4.5(02)
01 -05-2016;2331;-1.1(02)
01 -06-2016;2331;1.5(01)
01 -07-2016;2331;5.9(14)
01 -08-2016;2331;7.9(10)
01 -09-2016;2331;3.9(19)
01 -10-2016;2331;-0.7(31)
01 -11-2016;2331;-2.8(07)
01 -12-2016;2331;-8.2(31)
01 -01-2016;3469A;-0.3(17)
01 -02-2016;3469A;-1.8(17)
01 -03-2016;3469A;0.4(14)
01 -04-2016;3469A;2.5(01)
01 -05-2016;3469A;6.2(01)
01 -06-2016;3469A;10.3(16)
01 -07-2016;3469A;16.5(13)
01 -08-2016;3469A;14.5(21)
01 -09-2016;3469A;10.9(23)
01 -10-2016;3469A;8.4(31)
01 -11-2016;3469A;3.6(16)
01 -12-2016;3469A;-0.6(27)
01 -01-2016;5973;7.9(17)
01 -02-2016;5973;5.3(17)
01 -03-2016;5973;7.6(09)
01 -04-2016;5973;10.1(01)
01 -05-2016;5973;12.4(10)
01 -06-2016;5973;17.3(17)
01 -07-2016;5973;20.6(01)
01 -08-2016;5973;0
01 -09-2016;5973;17.6(15)
01 -10-2016;5973;14.6(15)
01 -11-2016;5973;9.0(08)
01 -12-2016;5973;8.3(21)
01 -01-2016;5960;1.6(17)
01 -02-2016;5960;-2.4(17)
01 -03-2016;5960;0.0(12)
01 -04-2016;5960;3.7(01)
01 -05-2016;5960;10.3(13)
01 -06-2016;5960;11.4(17)
01 -07-2016;5960;15.7(01)
01 -08-2016;5960;14.3(21)
01 -09-2016;5960;10.4(15)
01 -10-2016;5960;9.3(11)
01 -11-2016;5960;3.7(08)
01 -12-2016;5960;2.1(21)
01 -01-2016;5910;2.8(17)
01 -02-2016;5910;0.8(17)
01 -03-2016;5910;2.5(12)
01 -04-2016;5910;5.3(01)
01 -05-2016;5910;10.2(03)
01 -06-2016;5910;14.0(06)
01 -07-2016;5910;17.4(01)
01 -08-2016;5910;15.8(21)
01 -09-2016;5910;12.7(23)
01 -10-2016;5910;10.6(15)
01 -11-2016;5910;5.7(08)
01 -12-2016;5910;4.0(21)
01 -01-2016;6001;0
01 -02-2016;6001;0
01 -03-2016;6001;0
01 -04-2016;6001;0
01 -05-2016;6001;0
01 -06-2016;6001;15.3(18)
01 -07-2016;6001;19.4(05)
01 -08-2016;6001;19.9(31)
01 -09-2016;6001;14.0(15)
01 -10-2016;6001;11.9(15)
01 -11-2016;6001;0
01 -12-2016;6001;9.7(16)
01 -01-2016;1111;5.5(17)
01 -02-2016;1111;2.0(17)
01 -03-2016;1111;4.5(15)
01 -04-2016;1111;4.5(02)
01 -05-2016;1111;5.5(03)
01 -06-2016;1111;11.5(18)
01 -07-2016;1111;13.6(14)
01 -08-2016;1111;15.0(12)
01 -09-2016;1111;13.0(15)
01 -10-2016;1111;9.5(21)
