Fecha;INDICATIVO;DIAS_SOL
01-08-2016;3469A;20
01-09-2016;3469A;13
01-10-2016;3469A;8
01-11-2016;3469A;6
01-12-2016;3469A;9
01-01-2016;5960;3
01-02-2016;5960;5
01-03-2016;5960;10
01-04-2016;5960;6
01-05-2016;5960;12
01-06-2016;5960;20
01-07-2016;5960;22
01-08-2016;5960;24
01-09-2016;5960;19
01-10-2016;5960;6
01-11-2016;5960;9
01-12-2016;5960;12
01-01-2016;5910;2
01-02-2016;5910;6
01-03-2016;5910;7
01-04-2016;5910;5
01-05-2016;5910;10
01-06-2016;5910;16
01-07-2016;5910;20
01-08-2016;5910;20
01-09-2016;5910;15
01-10-2016;5910;5
01-11-2016;5910;9
01-12-2016;5910;10
01-01-2016;1111;0
01-02-2016;1111;1
01-03-2016;1111;1
01-04-2016;1111;1
01-05-2016;1111;1
01-06-2016;1111;3
01-07-2016;1111;7
01-08-2016;1111;6
01-09-2016;1111;1
01-10-2016;1111;2
01-11-2016;1111;2
01-12-2016;1111;4
01-01-2016;1109;0
01-02-2016;1109;2
01-03-2016;1109;1
01-04-2016;1109;1
01-05-2016;1109;2
01-06-2016;1109;3
01-07-2016;1109;7
01-08-2016;1109;8
01-09-2016;1109;2
01-10-2016;1109;1
01-11-2016;1109;4
01-12-2016;1109;4
01-01-2016;5402;1
01-02-2016;5402;5
01-03-2016;5402;9
01-04-2016;5402;5
01-05-2016;5402;7
01-06-2016;5402;0
01-07-2016;5402;0
01-08-2016;5402;0
01-09-2016;5402;0
01-10-2016;5402;0
01-11-2016;5402;0
01-12-2016;5402;0
01-01-2016;8096;2
01-02-2016;8096;6
01-03-2016;8096;2
01-04-2016;8096;3
01-05-2016;8096;5
01-06-2016;8096;8
01-07-2016;8096;17
01-08-2016;8096;18
01-09-2016;8096;5
01-10-2016;8096;6
01-11-2016;8096;6
01-12-2016;8096;5
01-01-2016;1014;0
01-02-2016;1014;1
01-03-2016;1014;1
01-04-2016;1014;0
01-05-2016;1014;2
01-06-2016;1014;4
01-07-2016;1014;5
01-08-2016;1014;7
01-09-2016;1014;2
01-10-2016;1014;4
01-11-2016;1014;2
01-12-2016;1014;6
01-01-2016;1024E;0
01-02-2016;1024E;1
01-03-2016;1024E;1
01-04-2016;1024E;0
01-05-2016;1024E;1
01-06-2016;1024E;4
01-07-2016;1024E;5
01-08-2016;1024E;6
01-09-2016;1024E;2
