FECHA;INDICATIVO;DIAS_NIE
01-01-2017;8500A;0
01-02-2017;8500A;0
01-03-2017;8500A;0
01-04-2017;8500A;0
01-05-2017;8500A;0
01-06-2017;8500A;0
01-07-2017;8500A;0
01-08-2017;8500A;0
01-09-2017;8500A;0
01-10-2017;8500A;0
01-11-2017;8500A;0
01-12-2017;8500A;0
01-01-2017;5000C;0
01-02-2017;5000C;0
01-03-2017;5000C;0
01-04-2017;5000C;0
01-05-2017;5000C;0
01-06-2017;5000C;0
01-07-2017;5000C;0
01-08-2017;5000C;0
01-09-2017;5000C;0
01-10-2017;5000C;0
01-11-2017;5000C;0
01-12-2017;5000C;0
01-01-2017;4121;1
01-02-2017;4121;0
01-03-2017;4121;2
01-04-2017;4121;0
01-05-2017;4121;0
01-06-2017;4121;0
01-07-2017;4121;0
01-08-2017;4121;0
01-09-2017;4121;0
01-10-2017;4121;0
01-11-2017;4121;0
01-12-2017;4121;0
01-01-2017;5402;0
01-02-2017;5402;0
01-03-2017;5402;0
01-04-2017;5402;0
01-05-2017;5402;0
01-06-2017;5402;0
01-07-2017;5402;0
01-08-2017;5402;0
01-09-2017;5402;0
01-10-2017;5402;0
01-11-2017;5402;0
01-12-2017;5402;0
01-01-2017;8096;3
01-02-2017;8096;1
01-03-2017;8096;3
01-04-2017;8096;0
01-05-2017;8096;0
01-06-2017;8096;0
01-07-2017;8096;0
01-08-2017;8096;0
01-09-2017;8096;0
01-10-2017;8096;0
01-11-2017;8096;0
01-12-2017;8096;2
01-01-2017;1014;0
01-02-2017;1014;0
01-03-2017;1014;0
01-04-2017;1014;0
01-05-2017;1014;0
01-06-2017;1014;0
01-07-2017;1014;0
01-08-2017;1014;0
01-09-2017;1014;0
01-10-2017;1014;0
01-11-2017;1014;0
01-12-2017;1014;0
01-01-2017;1024E;1
01-02-2017;1024E;0
01-03-2017;1024E;0
01-04-2017;1024E;0
01-05-2017;1024E;0
01-06-2017;1024E;0
01-07-2017;1024E;0
01-08-2017;1024E;0
01-09-2017;1024E;0
01-10-2017;1024E;0
01-11-2017;1024E;1
01-12-2017;1024E;2
01-01-2017;0367;1
01-02-2017;0367;0
01-03-2017;0367;0
01-04-2017;0367;0
01-05-2017;0367;0
01-06-2017;0367;0
01-07-2017;0367;0
01-08-2017;0367;0
01-09-2017;0367;0
01-10-2017;0367;0
01-11-2017;0367;0
01-12-2017;0367;1
01-01-2017;5530E;0
01-02-2017;5530E;0
01-03-2017;5530E;0
01-04-2017;5530E;0
01-05-2017;5530E;0
01-06-2017;5530E;0
