FECHA;INDICATIVO;INSOLACION%
01-08-2020;0200E;73
01-09-2020;0200E;62
01-10-2020;0200E;66
01-11-2020;0200E;58
01-12-2020;0200E;58
01-01-2020;0076;40
01-02-2020;0076;56
01-03-2020;0076;48
01-04-2020;0076;51
01-05-2020;0076;64
01-06-2020;0076;58
01-07-2020;0076;65
01-08-2020;0076;67
01-09-2020;0076;65
01-10-2020;0076;58
01-11-2020;0076;38
01-12-2020;0076;34
01-01-2020;1082;37
01-02-2020;1082;40
01-03-2020;1082;29
01-04-2020;1082;26
01-05-2020;1082;46
01-06-2020;1082;33
01-07-2020;1082;45
01-08-2020;1082;43
01-09-2020;1082;54
01-10-2020;1082;26
01-11-2020;1082;46
01-12-2020;1082;19
01-01-2020;2331;36
01-02-2020;2331;52
01-03-2020;2331;50
01-04-2020;2331;28
01-05-2020;2331;59
01-06-2020;2331;50
01-07-2020;2331;77
01-08-2020;2331;67
01-09-2020;2331;67
01-10-2020;2331;43
01-11-2020;2331;49
01-12-2020;2331;23
01-01-2020;3469A;52
01-02-2020;3469A;64
01-03-2020;3469A;63
01-04-2020;3469A;54
01-05-2020;3469A;73
01-06-2020;3469A;87
01-07-2020;3469A;90
01-08-2020;3469A;91
01-09-2020;3469A;78
01-10-2020;3469A;70
01-11-2020;3469A;44
01-12-2020;3469A;44
01-01-2020;5960;62
01-02-2020;5960;76
01-03-2020;5960;54
01-04-2020;5960;49
01-05-2020;5960;69
01-06-2020;5960;85
01-07-2020;5960;87
01-08-2020;5960;88
01-09-2020;5960;76
01-10-2020;5960;78
01-11-2020;5960;60
01-12-2020;5960;0
01-01-2020;5910;61
01-02-2020;5910;75
01-03-2020;5910;62
01-04-2020;5910;58
01-05-2020;5910;76
01-06-2020;5910;82
01-07-2020;5910;84
01-08-2020;5910;87
01-09-2020;5910;73
01-10-2020;5910;78
01-11-2020;5910;57
01-12-2020;5910;53
01-01-2020;1111;41
01-02-2020;1111;44
01-03-2020;1111;41
01-04-2020;1111;35
01-05-2020;1111;56
01-06-2020;1111;41
01-07-2020;1111;56
01-08-2020;1111;47
01-09-2020;1111;62
01-10-2020;1111;38
01-11-2020;1111;51
01-12-2020;1111;22
01-01-2020;1109;36
01-02-2020;1109;44
01-03-2020;1109;0
01-04-2020;1109;0
01-05-2020;1109;0
01-06-2020;1109;34
01-07-2020;1109;47
01-08-2020;1109;44
01-09-2020;1109;53
01-10-2020;1109;33
01-11-2020;1109;49
01-12-2020;1109;20
01-01-2020;8500A;61
01-02-2020;8500A;77
01-03-2020;8500A;49
01-04-2020;8500A;50
01-05-2020;8500A;73
01-06-2020;8500A;73
01-07-2020;8500A;77
01-08-2020;8500A;78
01-09-2020;8500A;77
01-10-2020;8500A;78
01-11-2020;8500A;63
01-12-2020;8500A;75
01-01-2020;5000C;46
01-02-2020;5000C;56
01-03-2020;5000C;49
01-04-2020;5000C;39
01-05-2020;5000C;68
01-06-2020;5000C;0
01-07-2020;5000C;69
01-08-2020;5000C;77
01-09-2020;5000C;60
01-10-2020;5000C;61
01-11-2020;5000C;40
01-12-2020;5000C;50
01-01-2020;4121;47
01-02-2020;4121;58
01-03-2020;4121;55
01-04-2020;4121;47
01-05-2020;4121;69
01-06-2020;4121;83
01-07-2020;4121;86
01-08-2020;4121;0
01-09-2020;4121;72
01-10-2020;4121;0
01-11-2020;4121;48
01-12-2020;4121;0
01-01-2020;5402;63
01-02-2020;5402;81
01-03-2020;5402;74
01-04-2020;5402;70
01-05-2020;5402;72
01-06-2020;5402;85
01-07-2020;5402;88
01-08-2020;5402;86
01-09-2020;5402;73
01-10-2020;5402;77
01-11-2020;5402;58
01-12-2020;5402;52
01-01-2020;8096;46
01-02-2020;8096;65
01-03-2020;8096;41
01-04-2020;8096;40
01-05-2020;8096;53
01-06-2020;8096;59
01-07-2020;8096;64
01-08-2020;8096;73
01-09-2020;8096;60
01-10-2020;8096;64
01-11-2020;8096;54
01-12-2020;8096;52
01-01-2020;1014;33
01-02-2020;1014;45
01-03-2020;1014;29
01-04-2020;1014;33
01-05-2020;1014;51
01-06-2020;1014;41
01-07-2020;1014;56
01-08-2020;1014;51
01-09-2020;1014;51
01-10-2020;1014;28
01-11-2020;1014;40
01-12-2020;1014;14
01-01-2020;1024E;42
01-02-2020;1024E;46
01-03-2020;1024E;33
01-04-2020;1024E;32
01-05-2020;1024E;52
01-06-2020;1024E;39
01-07-2020;1024E;55
01-08-2020;1024E;46
01-09-2020;1024E;55
01-10-2020;1024E;30
01-11-2020;1024E;50
01-12-2020;1024E;22
01-01-2020;0367;62
01-02-2020;0367;66
01-03-2020;0367;44
01-04-2020;0367;49
01-05-2020;0367;63
01-06-2020;0367;53
01-07-2020;0367;62
01-08-2020;0367;70
01-09-2020;0367;63
01-10-2020;0367;61
01-11-2020;0367;56
01-12-2020;0367;56
01-01-2020;5530E;68
01-02-2020;5530E;83
01-03-2020;5530E;57
01-04-2020;5530E;48
01-05-2020;5530E;74
01-06-2020;5530E;86
01-07-2020;5530E;87
01-08-2020;5530E;89
01-09-2020;5530E;75
01-10-2020;5530E;80
01-11-2020;5530E;66
01-12-2020;5530E;53
01-01-2020;5514;66
01-02-2020;5514;75
01-03-2020;5514;50
01-04-2020;5514;48
01-05-2020;5514;72
01-06-2020;5514;85
01-07-2020;5514;85
01-08-2020;5514;86
01-09-2020;5514;68
01-10-2020;5514;74
01-11-2020;5514;62
01-12-2020;5514;49
01-01-2020;3013;39
01-02-2020;3013;65
01-03-2020;3013;42
01-04-2020;3013;0
01-05-2020;3013;63
01-06-2020;3013;68
01-07-2020;3013;75
01-08-2020;3013;77
01-09-2020;3013;61
01-10-2020;3013;53
01-11-2020;3013;0
01-12-2020;3013;40
01-01-2020;4642E;59
01-02-2020;4642E;81
01-03-2020;4642E;64
01-04-2020;4642E;54
01-05-2020;4642E;78
01-06-2020;4642E;85
01-07-2020;4642E;90
01-08-2020;4642E;93
01-09-2020;4642E;81
01-10-2020;4642E;81
01-11-2020;4642E;60
01-12-2020;4642E;60
01-01-2020;9898;40
01-02-2020;9898;77
01-03-2020;9898;54
01-04-2020;9898;48
01-05-2020;9898;65
01-06-2020;9898;63
01-07-2020;9898;80
01-08-2020;9898;78
01-09-2020;9898;74
01-10-2020;9898;68
01-11-2020;9898;55
01-12-2020;9898;46
01-01-2020;5270B;54
01-02-2020;5270B;74
01-03-2020;5270B;59
01-04-2020;5270B;47
01-05-2020;5270B;0
01-06-2020;5270B;0
01-07-2020;5270B;0
01-08-2020;5270B;0
01-09-2020;5270B;0
01-10-2020;5270B;0
01-11-2020;5270B;0
01-12-2020;5270B;51
01-01-2020;9170;35
01-02-2020;9170;0
01-03-2020;9170;53
01-04-2020;9170;36
01-05-2020;9170;0
01-06-2020;9170;53
01-07-2020;9170;77
01-08-2020;9170;66
01-09-2020;9170;72
01-10-2020;9170;52
01-11-2020;9170;41
01-12-2020;9170;33
01-01-2020;C249I;0
01-02-2020;C249I;0
01-03-2020;C249I;0
01-04-2020;C249I;0
01-05-2020;C249I;0
01-06-2020;C249I;0
01-07-2020;C249I;74
01-08-2020;C249I;0
01-09-2020;C249I;0
01-10-2020;C249I;0
01-11-2020;C249I;0
01-12-2020;C249I;0
01-01-2020;C649I;0
01-02-2020;C649I;0
01-03-2020;C649I;0
01-04-2020;C649I;73
01-05-2020;C649I;0
01-06-2020;C649I;0
01-07-2020;C649I;0
01-08-2020;C649I;0
01-09-2020;C649I;0
01-10-2020;C649I;0
01-11-2020;C649I;63
01-12-2020;C649I;70
01-01-2020;C029O;0
01-02-2020;C029O;80
01-03-2020;C029O;0
01-04-2020;C029O;0
01-05-2020;C029O;0
01-06-2020;C029O;0
01-07-2020;C029O;0
01-08-2020;C029O;82
01-09-2020;C029O;76
01-10-2020;C029O;72
01-11-2020;C029O;0
01-12-2020;C029O;0
01-01-2020;2661;36
01-02-2020;2661;63
01-03-2020;2661;70
01-04-2020;2661;44
01-05-2020;2661;64
01-06-2020;2661;71
01-07-2020;2661;89
01-08-2020;2661;74
01-09-2020;2661;74
01-10-2020;2661;64
01-11-2020;2661;46
01-12-2020;2661;41
01-01-2020;1549;36
01-02-2020;1549;58
01-03-2020;1549;57
01-04-2020;1549;39
01-05-2020;1549;67
01-06-2020;1549;57
01-07-2020;1549;81
01-08-2020;1549;68
01-09-2020;1549;71
01-10-2020;1549;41
