FECHA;INDICATIVO;TEMP_10cm
01-01-2021;8178D;0
01-02-2021;8178D;0
01-03-2021;8178D;0
01-04-2021;8178D;0
01-05-2021;8178D;0
01-06-2021;8178D;0
01-07-2021;8178D;33.1
01-08-2021;8178D;0
01-09-2021;8178D;0
01-10-2021;8178D;0
01-11-2021;8178D;0
01-12-2021;8178D;0
01-01-2021;9091O;5.5
01-02-2021;9091O;0
01-03-2021;9091O;0
01-04-2021;9091O;0
01-05-2021;9091O;0
01-06-2021;9091O;0
01-07-2021;9091O;22.4
01-08-2021;9091O;0
01-09-2021;9091O;0
01-10-2021;9091O;0
01-11-2021;9091O;0
01-12-2021;9091O;0
01-01-2021;4452;7.9
01-02-2021;4452;12.3
01-03-2021;4452;14.9
01-04-2021;4452;19.3
01-05-2021;4452;22.8
01-06-2021;4452;26.9
01-07-2021;4452;29.3
01-08-2021;4452;30.8
01-09-2021;4452;25.4
01-10-2021;4452;20.4
01-11-2021;4452;11.4
01-12-2021;4452;10.7
01-01-2021;0200E;4.9
01-02-2021;0200E;9.0
01-03-2021;0200E;10.0
01-04-2021;0200E;12.5
01-05-2021;0200E;17.9
01-06-2021;0200E;0
01-07-2021;0200E;27.1
01-08-2021;0200E;0
01-09-2021;0200E;21.5
01-10-2021;0200E;16.2
01-11-2021;0200E;9.8
01-12-2021;0200E;7.5
01-01-2021;2331;2.1
01-02-2021;2331;6.6
01-03-2021;2331;8.4
01-04-2021;2331;12.0
01-05-2021;2331;16.8
01-06-2021;2331;22.4
01-07-2021;2331;27.7
01-08-2021;2331;28.3
01-09-2021;2331;21.2
01-10-2021;2331;14.1
01-11-2021;2331;6.7
01-12-2021;2331;5.0
01-01-2021;3469A;8.0
01-02-2021;3469A;11.6
01-03-2021;3469A;14.2
01-04-2021;3469A;17.7
01-05-2021;3469A;22.1
01-06-2021;3469A;27.5
01-07-2021;3469A;31.4
01-08-2021;3469A;31.6
01-09-2021;3469A;25.8
01-10-2021;3469A;20.8
01-11-2021;3469A;12.3
01-12-2021;3469A;10.9
01-01-2021;1024E;0
01-02-2021;1024E;10.2
01-03-2021;1024E;0
01-04-2021;1024E;0
01-05-2021;1024E;15.9
01-06-2021;1024E;19.6
01-07-2021;1024E;21.0
01-08-2021;1024E;0
01-09-2021;1024E;19.4
01-10-2021;1024E;14.3
01-11-2021;1024E;9.4
01-12-2021;1024E;8.9
01-01-2021;2867;4.2
01-02-2021;2867;9.5
01-03-2021;2867;12.1
01-04-2021;2867;16.2
01-05-2021;2867;19.1
01-06-2021;2867;24.7
01-07-2021;2867;27.8
01-08-2021;2867;29.3
01-09-2021;2867;22.8
01-10-2021;2867;16.9
01-11-2021;2867;9.0
01-12-2021;2867;7.7
01-01-2021;2422;1.8
01-02-2021;2422;7.6
01-03-2021;2422;10.6
01-04-2021;2422;14.4
01-05-2021;2422;19.5
01-06-2021;2422;25.6
01-07-2021;2422;30.3
01-08-2021;2422;30.7
01-09-2021;2422;23.1
01-10-2021;2422;15.7
01-11-2021;2422;6.7
01-12-2021;2422;5.2
01-01-2021;2539;2.2
01-02-2021;2539;7.0
01-03-2021;2539;8.9
01-04-2021;2539;11.7
01-05-2021;2539;16.5
01-06-2021;2539;21.4
01-07-2021;2539;26.2
01-08-2021;2539;25.4
01-09-2021;2539;18.2
01-10-2021;2539;13.0
01-11-2021;2539;5.7
01-12-2021;2539;0
