FECHA;INDICATIVO;DIAS_LLU
01-01-2021;1387;22
01-02-2021;1387;21
01-03-2021;1387;8
01-04-2021;1387;12
01-05-2021;1387;17
01-06-2021;1387;12
01-07-2021;1387;18
01-08-2021;1387;7
01-09-2021;1387;16
01-10-2021;1387;18
01-11-2021;1387;15
01-12-2021;1387;17
01-01-2021;1387E;19
01-02-2021;1387E;20
01-03-2021;1387E;7
01-04-2021;1387E;15
01-05-2021;1387E;16
01-06-2021;1387E;14
01-07-2021;1387E;13
01-08-2021;1387E;7
01-09-2021;1387E;15
01-10-2021;1387E;18
01-11-2021;1387E;0
01-12-2021;1387E;17
01-01-2021;1428;18
01-02-2021;1428;23
01-03-2021;1428;8
01-04-2021;1428;15
01-05-2021;1428;17
01-06-2021;1428;12
01-07-2021;1428;14
01-08-2021;1428;8
01-09-2021;1428;19
01-10-2021;1428;16
01-11-2021;1428;14
01-12-2021;1428;20
01-01-2021;8175;6
01-02-2021;8175;3
01-03-2021;8175;4
01-04-2021;8175;16
01-05-2021;8175;5
01-06-2021;8175;7
01-07-2021;8175;0
01-08-2021;8175;5
01-09-2021;8175;8
01-10-2021;8175;6
01-11-2021;8175;7
01-12-2021;8175;8
01-01-2021;8178D;5
01-02-2021;8178D;5
01-03-2021;8178D;6
01-04-2021;8178D;18
01-05-2021;8178D;6
01-06-2021;8178D;8
01-07-2021;8178D;1
01-08-2021;8178D;6
01-09-2021;8178D;6
01-10-2021;8178D;6
01-11-2021;8178D;8
01-12-2021;8178D;9
01-01-2021;8025;7
01-02-2021;8025;4
01-03-2021;8025;6
01-04-2021;8025;20
01-05-2021;8025;8
01-06-2021;8025;5
01-07-2021;8025;1
01-08-2021;8025;4
01-09-2021;8025;8
01-10-2021;8025;8
01-11-2021;8025;10
01-12-2021;8025;5
01-01-2021;8019;7
01-02-2021;8019;3
01-03-2021;8019;5
01-04-2021;8019;16
01-05-2021;8019;6
01-06-2021;8019;7
01-07-2021;8019;3
01-08-2021;8019;2
01-09-2021;8019;8
01-10-2021;8019;8
01-11-2021;8019;10
01-12-2021;8019;7
01-01-2021;6325O;6
01-02-2021;6325O;4
01-03-2021;6325O;5
01-04-2021;6325O;8
01-05-2021;6325O;6
01-06-2021;6325O;4
01-07-2021;6325O;0
01-08-2021;6325O;2
01-09-2021;6325O;3
01-10-2021;6325O;4
01-11-2021;6325O;7
01-12-2021;6325O;1
01-01-2021;9091O;14
01-02-2021;9091O;14
01-03-2021;9091O;7
01-04-2021;9091O;13
01-05-2021;9091O;15
01-06-2021;9091O;12
01-07-2021;9091O;10
01-08-2021;9091O;7
01-09-2021;9091O;13
01-10-2021;9091O;10
01-11-2021;9091O;15
01-12-2021;9091O;13
01-01-2021;1212E;19
01-02-2021;1212E;20
01-03-2021;1212E;13
01-04-2021;1212E;13
01-05-2021;1212E;18
01-06-2021;1212E;17
01-07-2021;1212E;13
01-08-2021;1212E;11
01-09-2021;1212E;17
01-10-2021;1212E;16
01-11-2021;1212E;19
01-12-2021;1212E;15
01-01-2021;1208H;16
01-02-2021;1208H;17
01-03-2021;1208H;12
01-04-2021;1208H;10
01-05-2021;1208H;20
01-06-2021;1208H;16
01-07-2021;1208H;11
01-08-2021;1208H;10
01-09-2021;1208H;21
01-10-2021;1208H;14
01-11-2021;1208H;0
01-12-2021;1208H;12
01-01-2021;1249I;18
01-02-2021;1249I;20
01-03-2021;1249I;14
01-04-2021;1249I;19
01-05-2021;1249I;21
01-06-2021;1249I;21
01-07-2021;1249I;15
01-08-2021;1249I;12
01-09-2021;1249I;19
01-10-2021;1249I;13
01-11-2021;1249I;17
01-12-2021;1249I;18
01-01-2021;2444;9
01-02-2021;2444;10
01-03-2021;2444;6
01-04-2021;2444;17
01-05-2021;2444;12
01-06-2021;2444;12
01-07-2021;2444;3
01-08-2021;2444;3
01-09-2021;2444;10
01-10-2021;2444;8
01-11-2021;2444;7
01-12-2021;2444;9
01-01-2021;4452;12
01-02-2021;4452;14
01-03-2021;4452;2
