FECHA;INDICATIVO;DIAS_LLU
01-01-2017;1387;17
01-02-2017;1387;17
01-03-2017;1387;16
01-04-2017;1387;4
01-05-2017;1387;14
01-06-2017;1387;14
01-07-2017;1387;12
01-08-2017;1387;14
01-09-2017;1387;20
01-10-2017;1387;8
01-11-2017;1387;17
01-12-2017;1387;21
01-01-2017;1387E;17
01-02-2017;1387E;20
01-03-2017;1387E;15
01-04-2017;1387E;4
01-05-2017;1387E;16
01-06-2017;1387E;10
01-07-2017;1387E;11
01-08-2017;1387E;14
01-09-2017;1387E;20
01-10-2017;1387E;9
01-11-2017;1387E;19
01-12-2017;1387E;22
01-01-2017;1428;17
01-02-2017;1428;19
01-03-2017;1428;18
01-04-2017;1428;4
01-05-2017;1428;15
01-06-2017;1428;9
01-07-2017;1428;10
01-08-2017;1428;14
01-09-2017;1428;19
01-10-2017;1428;7
01-11-2017;1428;18
01-12-2017;1428;20
01-01-2017;8175;4
01-02-2017;8175;11
01-03-2017;8175;3
01-04-2017;8175;6
01-05-2017;8175;7
01-06-2017;8175;4
01-07-2017;8175;5
01-08-2017;8175;7
01-09-2017;8175;3
01-10-2017;8175;2
01-11-2017;8175;3
01-12-2017;8175;8
01-01-2017;8178D;5
01-02-2017;8178D;11
01-03-2017;8178D;4
01-04-2017;8178D;5
01-05-2017;8178D;6
01-06-2017;8178D;3
01-07-2017;8178D;6
01-08-2017;8178D;8
01-09-2017;8178D;2
01-10-2017;8178D;2
01-11-2017;8178D;3
01-12-2017;8178D;6
01-01-2017;8025;8
01-02-2017;8025;7
01-03-2017;8025;4
01-04-2017;8025;3
01-05-2017;8025;1
01-06-2017;8025;1
01-07-2017;8025;3
01-08-2017;8025;5
01-09-2017;8025;3
01-10-2017;8025;3
01-11-2017;8025;6
01-12-2017;8025;6
01-01-2017;8019;10
01-02-2017;8019;7
01-03-2017;8019;7
01-04-2017;8019;3
01-05-2017;8019;2
01-06-2017;8019;5
01-07-2017;8019;3
01-08-2017;8019;6
01-09-2017;8019;4
01-10-2017;8019;4
01-11-2017;8019;6
01-12-2017;8019;4
01-01-2017;6325O;5
01-02-2017;6325O;2
01-03-2017;6325O;5
01-04-2017;6325O;4
01-05-2017;6325O;0
01-06-2017;6325O;1
01-07-2017;6325O;0
01-08-2017;6325O;3
01-09-2017;6325O;0
