FECHA;INDICATIVO;TEMP_inf_0
01-05-2017;8416;0
01-06-2017;8416;0
01-07-2017;8416;0
01-08-2017;8416;0
01-09-2017;8416;0
01-10-2017;8416;0
01-11-2017;8416;0
01-12-2017;8416;0
01-01-2017;8414A;3
01-02-2017;8414A;0
01-03-2017;8414A;0
01-04-2017;8414A;0
01-05-2017;8414A;0
01-06-2017;8414A;0
01-07-2017;8414A;0
01-08-2017;8414A;0
01-09-2017;8414A;0
01-10-2017;8414A;0
01-11-2017;8414A;0
01-12-2017;8414A;7
01-01-2017;2422;20
01-02-2017;2422;4
01-03-2017;2422;2
01-04-2017;2422;1
01-05-2017;2422;0
01-06-2017;2422;0
01-07-2017;2422;0
01-08-2017;2422;0
01-09-2017;2422;0
01-10-2017;2422;0
01-11-2017;2422;14
01-12-2017;2422;16
01-01-2017;2539;26
01-02-2017;2539;8
01-03-2017;2539;7
01-04-2017;2539;5
01-05-2017;2539;1
01-06-2017;2539;0
01-07-2017;2539;0
01-08-2017;2539;0
01-09-2017;2539;0
01-10-2017;2539;0
01-11-2017;2539;21
01-12-2017;2539;19
01-01-2017;2614;19
01-02-2017;2614;2
01-03-2017;2614;0
01-04-2017;2614;2
01-05-2017;2614;0
01-06-2017;2614;0
01-07-2017;2614;0
01-08-2017;2614;0
01-09-2017;2614;0
01-10-2017;2614;0
01-11-2017;2614;12
01-12-2017;2614;18
01-01-2017;9390;23
01-02-2017;9390;10
01-03-2017;9390;3
01-04-2017;9390;3
01-05-2017;9390;0
01-06-2017;9390;0
01-07-2017;9390;0
01-08-2017;9390;0
01-09-2017;9390;0
01-10-2017;9390;1
01-11-2017;9390;19
01-12-2017;9390;22
01-01-2017;9434;11
01-02-2017;9434;0
01-03-2017;9434;0
01-04-2017;9434;0
01-05-2017;9434;0
01-06-2017;9434;0
01-07-2017;9434;0
01-08-2017;9434;0
01-09-2017;9434;0
01-10-2017;9434;0
01-11-2017;9434;4
01-12-2017;9434;6
