FECHA;INDICATIVO;DIAS_GRA
01-08-2021;0200E;0
01-09-2021;0200E;0
01-10-2021;0200E;0
01-11-2021;0200E;0
01-12-2021;0200E;0
01-01-2021;0076;0
01-02-2021;0076;0
01-03-2021;0076;0
01-04-2021;0076;0
01-05-2021;0076;0
01-06-2021;0076;0
01-07-2021;0076;0
01-08-2021;0076;0
01-09-2021;0076;0
01-10-2021;0076;0
01-11-2021;0076;1
01-12-2021;0076;0
01-01-2021;1082;0
01-02-2021;1082;0
01-03-2021;1082;0
01-04-2021;1082;0
01-05-2021;1082;0
01-06-2021;1082;0
01-07-2021;1082;0
01-08-2021;1082;0
01-09-2021;1082;0
01-10-2021;1082;0
01-11-2021;1082;3
01-12-2021;1082;1
01-01-2021;2331;0
01-02-2021;2331;0
01-03-2021;2331;0
01-04-2021;2331;0
01-05-2021;2331;0
01-06-2021;2331;0
01-07-2021;2331;0
01-08-2021;2331;0
01-09-2021;2331;0
01-10-2021;2331;0
01-11-2021;2331;0
01-12-2021;2331;0
01-01-2021;3469A;0
01-02-2021;3469A;0
01-03-2021;3469A;0
01-04-2021;3469A;0
01-05-2021;3469A;0
01-06-2021;3469A;1
01-07-2021;3469A;0
01-08-2021;3469A;0
01-09-2021;3469A;0
01-10-2021;3469A;0
01-11-2021;3469A;0
01-12-2021;3469A;0
01-01-2021;5973;0
01-02-2021;5973;0
01-03-2021;5973;0
01-04-2021;5973;0
01-05-2021;5973;0
01-06-2021;5973;0
01-07-2021;5973;0
01-08-2021;5973;0
01-09-2021;5973;0
01-10-2021;5973;0
01-11-2021;5973;0
01-12-2021;5973;0
01-01-2021;5960;0
01-02-2021;5960;0
01-03-2021;5960;0
01-04-2021;5960;0
01-05-2021;5960;0
01-06-2021;5960;0
01-07-2021;5960;0
01-08-2021;5960;0
01-09-2021;5960;0
01-10-2021;5960;0
01-11-2021;5960;0
01-12-2021;5960;0
01-01-2021;5910;0
01-02-2021;5910;0
01-03-2021;5910;0
01-04-2021;5910;0
01-05-2021;5910;0
01-06-2021;5910;0
01-07-2021;5910;0
01-08-2021;5910;0
01-09-2021;5910;0
01-10-2021;5910;0
01-11-2021;5910;0
01-12-2021;5910;0
01-01-2021;1111;4
01-02-2021;1111;0
01-03-2021;1111;0
01-04-2021;1111;0
01-05-2021;1111;0
01-06-2021;1111;0
01-07-2021;1111;0
01-08-2021;1111;0
01-09-2021;1111;0
01-10-2021;1111;0
01-11-2021;1111;2
01-12-2021;1111;1
01-01-2021;1109;1
01-02-2021;1109;0
01-03-2021;1109;0
01-04-2021;1109;0
01-05-2021;1109;0
01-06-2021;1109;0
01-07-2021;1109;0
01-08-2021;1109;0
01-09-2021;1109;0
01-10-2021;1109;0
01-11-2021;1109;2
01-12-2021;1109;1
01-01-2021;8501;0
01-02-2021;8501;0
01-03-2021;8501;0
01-04-2021;8501;0
01-05-2021;8501;0
01-06-2021;8501;0
01-07-2021;8501;0
01-08-2021;8501;0
01-09-2021;8501;0
01-10-2021;8501;0
01-11-2021;8501;0
01-12-2021;8501;0
01-01-2021;8500A;0
01-02-2021;8500A;0
01-03-2021;8500A;0
01-04-2021;8500A;0
01-05-2021;8500A;1
01-06-2021;8500A;1
01-07-2021;8500A;1
01-08-2021;8500A;1
01-09-2021;8500A;1
01-10-2021;8500A;0
01-11-2021;8500A;0
01-12-2021;8500A;0
01-01-2021;5000C;0
01-02-2021;5000C;0
01-03-2021;5000C;0
01-04-2021;5000C;0
01-05-2021;5000C;0
01-06-2021;5000C;0
01-07-2021;5000C;0
01-08-2021;5000C;0
01-09-2021;5000C;0
01-10-2021;5000C;0
01-11-2021;5000C;0
01-12-2021;5000C;0
01-01-2021;4121;0
01-02-2021;4121;0
01-03-2021;4121;0
01-04-2021;4121;0
01-05-2021;4121;0
01-06-2021;4121;0
01-07-2021;4121;0
01-08-2021;4121;1
01-09-2021;4121;0
01-10-2021;4121;0
01-11-2021;4121;1
01-12-2021;4121;0
01-01-2021;5402;0
01-02-2021;5402;0
01-03-2021;5402;0
01-04-2021;5402;0
01-05-2021;5402;0
01-06-2021;5402;0
01-07-2021;5402;0
01-08-2021;5402;0
01-09-2021;5402;0
01-10-2021;5402;0
01-11-2021;5402;0
01-12-2021;5402;0
01-01-2021;8096;3
01-02-2021;8096;1
01-03-2021;8096;0
01-04-2021;8096;2
01-05-2021;8096;0
01-06-2021;8096;1
01-07-2021;8096;0
01-08-2021;8096;2
01-09-2021;8096;0
01-10-2021;8096;0
01-11-2021;8096;0
01-12-2021;8096;0
01-01-2021;1014;2
01-02-2021;1014;0
01-03-2021;1014;1
01-04-2021;1014;0
01-05-2021;1014;0
01-06-2021;1014;1
01-07-2021;1014;0
01-08-2021;1014;0
01-09-2021;1014;0
01-10-2021;1014;0
01-11-2021;1014;3
01-12-2021;1014;1
01-01-2021;1024E;1
01-02-2021;1024E;0
01-03-2021;1024E;0
01-04-2021;1024E;0
01-05-2021;1024E;0
01-06-2021;1024E;0
01-07-2021;1024E;0
01-08-2021;1024E;0
01-09-2021;1024E;0
01-10-2021;1024E;0
01-11-2021;1024E;1
01-12-2021;1024E;0
01-01-2021;0367;0
01-02-2021;0367;0
01-03-2021;0367;0
01-04-2021;0367;0
01-05-2021;0367;1
01-06-2021;0367;0
01-07-2021;0367;0
01-08-2021;0367;0
01-09-2021;0367;0
01-10-2021;0367;0
01-11-2021;0367;0
01-12-2021;0367;0
01-01-2021;5530E;0
01-02-2021;5530E;0
01-03-2021;5530E;1
01-04-2021;5530E;0
01-05-2021;5530E;0
01-06-2021;5530E;0
01-07-2021;5530E;0
01-08-2021;5530E;0
01-09-2021;5530E;0
01-10-2021;5530E;0
01-11-2021;5530E;0
01-12-2021;5530E;0
01-01-2021;5514;0
01-02-2021;5514;1
01-03-2021;5514;0
01-04-2021;5514;0
01-05-2021;5514;0
01-06-2021;5514;0
01-07-2021;5514;0
01-08-2021;5514;0
01-09-2021;5514;0
01-10-2021;5514;0
01-11-2021;5514;0
01-12-2021;5514;0
01-01-2021;3013;0
01-02-2021;3013;0
01-03-2021;3013;0
01-04-2021;3013;5
01-05-2021;3013;1
01-06-2021;3013;4
01-07-2021;3013;1
01-08-2021;3013;0
01-09-2021;3013;1
01-10-2021;3013;0
01-11-2021;3013;0
01-12-2021;3013;0
01-01-2021;4642E;0
01-02-2021;4642E;0
01-03-2021;4642E;0
01-04-2021;4642E;0
01-05-2021;4642E;0
01-06-2021;4642E;0
01-07-2021;4642E;0
01-08-2021;4642E;0
01-09-2021;4642E;0
01-10-2021;4642E;0
01-11-2021;4642E;0
01-12-2021;4642E;0
01-01-2021;9898;0
01-02-2021;9898;0
01-03-2021;9898;0
01-04-2021;9898;0
01-05-2021;9898;0
01-06-2021;9898;0
01-07-2021;9898;1
01-08-2021;9898;0
01-09-2021;9898;0
01-10-2021;9898;0
01-11-2021;9898;0
01-12-2021;9898;0
01-01-2021;5270B;0
01-02-2021;5270B;0
01-03-2021;5270B;0
01-04-2021;5270B;0
01-05-2021;5270B;0
01-06-2021;5270B;2
01-07-2021;5270B;0
01-08-2021;5270B;0
01-09-2021;5270B;1
01-10-2021;5270B;0
01-11-2021;5270B;1
01-12-2021;5270B;0
01-01-2021;9170;0
01-02-2021;9170;0
01-03-2021;9170;0
01-04-2021;9170;0
01-05-2021;9170;0
01-06-2021;9170;0
01-07-2021;9170;0
01-08-2021;9170;0
01-09-2021;9170;0
01-10-2021;9170;0
01-11-2021;9170;0
01-12-2021;9170;0
01-01-2021;C249I;0
01-02-2021;C249I;0
01-03-2021;C249I;0
01-04-2021;C249I;0
01-05-2021;C249I;0
01-06-2021;C249I;0
01-07-2021;C249I;0
01-08-2021;C249I;0
01-09-2021;C249I;0
01-10-2021;C249I;0
01-11-2021;C249I;0
01-12-2021;C249I;0
01-01-2021;C649I;0
01-02-2021;C649I;0
01-03-2021;C649I;0
01-04-2021;C649I;0
01-05-2021;C649I;0
01-06-2021;C649I;0
01-07-2021;C649I;0
01-08-2021;C649I;0
01-09-2021;C649I;0
01-10-2021;C649I;0
01-11-2021;C649I;0
01-12-2021;C649I;0
01-01-2021;C029O;0
01-02-2021;C029O;0
01-03-2021;C029O;0
01-04-2021;C029O;0
01-05-2021;C029O;0
01-06-2021;C029O;0
01-07-2021;C029O;0
01-08-2021;C029O;0
01-09-2021;C029O;0
01-10-2021;C029O;0
01-11-2021;C029O;0
01-12-2021;C029O;0
01-01-2021;2661;0
01-02-2021;2661;0
01-03-2021;2661;0
01-04-2021;2661;0
01-05-2021;2661;1
01-06-2021;2661;2
01-07-2021;2661;0
01-08-2021;2661;0
01-09-2021;2661;0
01-10-2021;2661;0
01-11-2021;2661;0
01-12-2021;2661;0
01-01-2021;1549;0
01-02-2021;1549;0
01-03-2021;1549;0
01-04-2021;1549;0
01-05-2021;1549;0
01-06-2021;1549;0
01-07-2021;1549;0
01-08-2021;1549;0
01-09-2021;1549;1
01-10-2021;1549;0
01-11-2021;1549;0
01-12-2021;1549;0
01-01-2021;9771C;1
01-02-2021;9771C;1
01-03-2021;9771C;0
01-04-2021;9771C;0
01-05-2021;9771C;0
01-06-2021;9771C;0
01-07-2021;9771C;0
01-08-2021;9771C;0
01-09-2021;9771C;0
01-10-2021;9771C;0
01-11-2021;9771C;0
01-12-2021;9771C;0
01-01-2021;1505;0
01-02-2021;1505;0
01-03-2021;1505;0
01-04-2021;1505;0
01-05-2021;1505;0
01-06-2021;1505;0
01-07-2021;1505;0
01-08-2021;1505;0
01-09-2021;1505;0
01-10-2021;1505;0
01-11-2021;1505;0
01-12-2021;1505;0
01-01-2021;3191E;0
01-02-2021;3191E;0
01-03-2021;3191E;1
01-04-2021;3191E;0
01-05-2021;3191E;0
01-06-2021;3191E;0
01-07-2021;3191E;0
01-08-2021;3191E;0
01-09-2021;3191E;2
01-10-2021;3191E;0
01-11-2021;3191E;0
01-12-2021;3191E;0
01-01-2021;3129;0
01-02-2021;3129;0
01-03-2021;3129;0
01-04-2021;3129;0
01-05-2021;3129;0
01-06-2021;3129;0
01-07-2021;3129;0
01-08-2021;3129;1
01-09-2021;3129;0
01-10-2021;3129;0
01-11-2021;3129;0
01-12-2021;3129;0
01-01-2021;3196;0
01-02-2021;3196;0
01-03-2021;3196;0
01-04-2021;3196;0
01-05-2021;3196;0
01-06-2021;3196;1
01-07-2021;3196;0
01-08-2021;3196;0
01-09-2021;3196;0
01-10-2021;3196;0
01-11-2021;3196;0
01-12-2021;3196;0
01-01-2021;3200;0
01-02-2021;3200;0
01-03-2021;3200;0
01-04-2021;3200;1
01-05-2021;3200;0
01-06-2021;3200;1
01-07-2021;3200;0
01-08-2021;3200;0
01-09-2021;3200;0
01-10-2021;3200;0
01-11-2021;3200;0
01-12-2021;3200;0
01-01-2021;3195;0
01-02-2021;3195;0
01-03-2021;3195;0
01-04-2021;3195;0
01-05-2021;3195;0
01-06-2021;3195;1
01-07-2021;3195;0
01-08-2021;3195;0
01-09-2021;3195;0
01-10-2021;3195;0
01-11-2021;3195;0
01-12-2021;3195;0
01-01-2021;3175;0
01-02-2021;3175;0
01-03-2021;3175;0
01-04-2021;3175;0
01-05-2021;3175;0
01-06-2021;3175;1
01-07-2021;3175;0
01-08-2021;3175;0
01-09-2021;3175;0
01-10-2021;3175;0
01-11-2021;3175;0
01-12-2021;3175;0
01-01-2021;2462;0
01-02-2021;2462;0
01-03-2021;2462;0
01-04-2021;2462;2
01-05-2021;2462;1
01-06-2021;2462;1
01-07-2021;2462;0
01-08-2021;2462;0
01-09-2021;2462;1
01-10-2021;2462;0
01-11-2021;2462;0
01-12-2021;2462;0
01-01-2021;6155A;0
01-02-2021;6155A;0
01-03-2021;6155A;0
01-04-2021;6155A;0
01-05-2021;6155A;0
01-06-2021;6155A;0
01-07-2021;6155A;0
01-08-2021;6155A;0
01-09-2021;6155A;0
01-10-2021;6155A;0
01-11-2021;6155A;0
01-12-2021;6155A;0
01-01-2021;6000A;0
01-02-2021;6000A;0
01-03-2021;6000A;0
01-04-2021;6000A;0
01-05-2021;6000A;0
01-06-2021;6000A;0
01-07-2021;6000A;0
01-08-2021;6000A;0
01-09-2021;6000A;0
01-10-2021;6000A;0
01-11-2021;6000A;0
01-12-2021;6000A;0
01-01-2021;7178I;0
01-02-2021;7178I;0
01-03-2021;7178I;0
01-04-2021;7178I;1
01-05-2021;7178I;0
01-06-2021;7178I;0
01-07-2021;7178I;0
01-08-2021;7178I;0
01-09-2021;7178I;0
01-10-2021;7178I;0
01-11-2021;7178I;0
01-12-2021;7178I;0
01-01-2021;7228;0
01-02-2021;7228;0
01-03-2021;7228;0
