FECHA;INDICATIVO;DIAS_SOL
01-10-2020;5910;10
01-11-2020;5910;5
01-12-2020;5910;5
01-01-2020;1111;0
01-02-2020;1111;1
01-03-2020;1111;0
01-04-2020;1111;0
01-05-2020;1111;8
01-06-2020;1111;2
01-07-2020;1111;4
01-08-2020;1111;3
01-09-2020;1111;6
01-10-2020;1111;0
01-11-2020;1111;4
01-12-2020;1111;1
01-01-2020;1109;1
01-02-2020;1109;1
01-03-2020;1109;4
01-04-2020;1109;0
01-05-2020;1109;7
01-06-2020;1109;2
01-07-2020;1109;4
01-08-2020;1109;3
01-09-2020;1109;6
01-10-2020;1109;1
01-11-2020;1109;5
01-12-2020;1109;0
01-01-2020;5402;10
01-02-2020;5402;11
01-03-2020;5402;0
01-04-2020;5402;0
01-05-2020;5402;0
01-06-2020;5402;14
01-07-2020;5402;26
01-08-2020;5402;22
01-09-2020;5402;8
01-10-2020;5402;0
01-11-2020;5402;0
01-12-2020;5402;0
01-01-2020;1014;2
01-02-2020;1014;5
01-03-2020;1014;1
01-04-2020;1014;2
01-05-2020;1014;7
01-06-2020;1014;3
01-07-2020;1014;6
01-08-2020;1014;4
01-09-2020;1014;10
01-10-2020;1014;2
01-11-2020;1014;4
01-12-2020;1014;1
01-01-2020;1024E;2
01-02-2020;1024E;4
01-03-2020;1024E;2
01-04-2020;1024E;2
01-05-2020;1024E;6
01-06-2020;1024E;3
01-07-2020;1024E;4
01-08-2020;1024E;3
01-09-2020;1024E;8
01-10-2020;1024E;0
01-11-2020;1024E;3
01-12-2020;1024E;0
01-01-2020;0367;0
01-02-2020;0367;8
01-03-2020;0367;3
01-04-2020;0367;3
01-05-2020;0367;5
01-06-2020;0367;6
01-07-2020;0367;10
01-08-2020;0367;8
01-09-2020;0367;6
01-10-2020;0367;2
01-11-2020;0367;6
01-12-2020;0367;1
01-01-2020;5530E;9
01-02-2020;5530E;11
01-03-2020;5530E;0
01-04-2020;5530E;0
01-05-2020;5530E;0
01-06-2020;5530E;0
01-07-2020;5530E;24
01-08-2020;5530E;20
01-09-2020;5530E;8
01-10-2020;5530E;15
01-11-2020;5530E;8
01-12-2020;5530E;6
01-01-2020;5514;10
01-02-2020;5514;12
01-03-2020;5514;1
01-04-2020;5514;2
01-05-2020;5514;9
01-06-2020;5514;15
01-07-2020;5514;22
01-08-2020;5514;20
01-09-2020;5514;5
01-10-2020;5514;11
01-11-2020;5514;7
01-12-2020;5514;7
01-01-2020;C249I;9
01-02-2020;C249I;8
01-03-2020;C249I;2
01-04-2020;C249I;3
01-05-2020;C249I;11
01-06-2020;C249I;3
01-07-2020;C249I;13
01-08-2020;C249I;13
01-09-2020;C249I;8
01-10-2020;C249I;5
01-11-2020;C249I;3
01-12-2020;C249I;5
01-01-2020;C649I;13
01-02-2020;C649I;12
01-03-2020;C649I;3
01-04-2020;C649I;2
01-05-2020;C649I;12
01-06-2020;C649I;1
01-07-2020;C649I;14
01-08-2020;C649I;12
01-09-2020;C649I;7
