FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2020;1387;10
01-02-2020;1387;9
01-03-2020;1387;10
01-04-2020;1387;15
01-05-2020;1387;2
01-06-2020;1387;9
01-07-2020;1387;0
01-08-2020;1387;9
01-09-2020;1387;7
01-10-2020;1387;15
01-11-2020;1387;11
01-12-2020;1387;24
01-01-2020;1387E;10
01-02-2020;1387E;7
01-03-2020;1387E;10
01-04-2020;1387E;13
01-05-2020;1387E;2
01-06-2020;1387E;0
01-07-2020;1387E;1
01-08-2020;1387E;10
01-09-2020;1387E;0
01-10-2020;1387E;15
01-11-2020;1387E;10
01-12-2020;1387E;23
01-01-2020;1428;15
01-02-2020;1428;12
01-03-2020;1428;10
01-04-2020;1428;19
01-05-2020;1428;6
01-06-2020;1428;6
01-07-2020;1428;0
01-08-2020;1428;10
01-09-2020;1428;6
01-10-2020;1428;17
01-11-2020;1428;12
01-12-2020;1428;24
01-01-2020;8175;6
01-02-2020;8175;0
01-03-2020;8175;10
01-04-2020;8175;5
01-05-2020;8175;9
01-06-2020;8175;1
01-07-2020;8175;3
01-08-2020;8175;3
01-09-2020;8175;3
01-10-2020;8175;3
01-11-2020;8175;6
01-12-2020;8175;6
01-01-2020;8178D;5
01-02-2020;8178D;0
01-03-2020;8178D;10
01-04-2020;8178D;6
01-05-2020;8178D;7
01-06-2020;8178D;1
01-07-2020;8178D;3
01-08-2020;8178D;1
01-09-2020;8178D;3
01-10-2020;8178D;3
01-11-2020;8178D;6
01-12-2020;8178D;6
01-01-2020;8025;3
01-02-2020;8025;0
01-03-2020;8025;9
01-04-2020;8025;7
01-05-2020;8025;3
01-06-2020;8025;2
01-07-2020;8025;0
01-08-2020;8025;3
01-09-2020;8025;1
01-10-2020;8025;2
01-11-2020;8025;5
01-12-2020;8025;0
01-01-2020;8019;4
01-02-2020;8019;1
01-03-2020;8019;9
01-04-2020;8019;7
01-05-2020;8019;3
01-06-2020;8019;1
01-07-2020;8019;0
01-08-2020;8019;3
01-09-2020;8019;1
01-10-2020;8019;0
01-11-2020;8019;4
01-12-2020;8019;1
01-01-2020;6325O;4
01-02-2020;6325O;0
01-03-2020;6325O;5
01-04-2020;6325O;8
01-05-2020;6325O;0
01-06-2020;6325O;0
01-07-2020;6325O;0
01-08-2020;6325O;0
01-09-2020;6325O;2
01-10-2020;6325O;1
01-11-2020;6325O;3
01-12-2020;6325O;0
01-01-2020;9091O;4
01-02-2020;9091O;3
01-03-2020;9091O;10
01-04-2020;9091O;8
01-05-2020;9091O;6
01-06-2020;9091O;7
01-07-2020;9091O;2
01-08-2020;9091O;6
01-09-2020;9091O;8
01-10-2020;9091O;15
01-11-2020;9091O;4
01-12-2020;9091O;19
01-01-2020;1212E;13
01-02-2020;1212E;8
01-03-2020;1212E;11
01-04-2020;1212E;10
01-05-2020;1212E;8
01-06-2020;1212E;13
01-07-2020;1212E;4
01-08-2020;1212E;11
01-09-2020;1212E;10
01-10-2020;1212E;15
01-11-2020;1212E;6
01-12-2020;1212E;23
01-01-2020;1208H;14
01-02-2020;1208H;7
01-03-2020;1208H;10
01-04-2020;1208H;14
01-05-2020;1208H;5
01-06-2020;1208H;11
01-07-2020;1208H;7
01-08-2020;1208H;9
01-09-2020;1208H;8
01-10-2020;1208H;12
01-11-2020;1208H;7
01-12-2020;1208H;21
01-01-2020;1249I;12
01-02-2020;1249I;6
01-03-2020;1249I;11
01-04-2020;1249I;12
01-05-2020;1249I;10
01-06-2020;1249I;14
01-07-2020;1249I;7
01-08-2020;1249I;10
01-09-2020;1249I;10
01-10-2020;1249I;15
01-11-2020;1249I;7
01-12-2020;1249I;21
01-01-2020;2444;3
01-02-2020;2444;1
01-03-2020;2444;6
01-04-2020;2444;15
01-05-2020;2444;7
01-06-2020;2444;1
01-07-2020;2444;2
01-08-2020;2444;2
01-09-2020;2444;6
01-10-2020;2444;6
01-11-2020;2444;6
01-12-2020;2444;10
01-01-2020;4452;6
01-02-2020;4452;1
01-03-2020;4452;4
01-04-2020;4452;14
01-05-2020;4452;7
01-06-2020;4452;0
01-07-2020;4452;1
01-08-2020;4452;0
01-09-2020;4452;2
01-10-2020;4452;6
01-11-2020;4452;9
01-12-2020;4452;11
01-01-2020;B954;6
01-02-2020;B954;0
01-03-2020;B954;4
01-04-2020;B954;8
01-05-2020;B954;3
01-06-2020;B954;3
01-07-2020;B954;0
01-08-2020;B954;3
01-09-2020;B954;4
01-10-2020;B954;2
01-11-2020;B954;3
01-12-2020;B954;6
01-01-2020;B893;5
01-02-2020;B893;0
01-03-2020;B893;8
01-04-2020;B893;7
01-05-2020;B893;3
01-06-2020;B893;2
01-07-2020;B893;1
01-08-2020;B893;3
01-09-2020;B893;4
01-10-2020;B893;9
01-11-2020;B893;3
01-12-2020;B893;10
01-01-2020;B278;6
01-02-2020;B278;0
01-03-2020;B278;6
01-04-2020;B278;6
01-05-2020;B278;3
01-06-2020;B278;3
01-07-2020;B278;1
01-08-2020;B278;1
01-09-2020;B278;5
01-10-2020;B278;4
01-11-2020;B278;3
01-12-2020;B278;9
01-01-2020;B228;6
01-02-2020;B228;0
01-03-2020;B228;6
01-04-2020;B228;7
01-05-2020;B228;3
01-06-2020;B228;3
01-07-2020;B228;0
01-08-2020;B228;1
01-09-2020;B228;5
01-10-2020;B228;4
01-11-2020;B228;2
01-12-2020;B228;11
01-01-2020;0200E;6
01-02-2020;0200E;1
01-03-2020;0200E;6
01-04-2020;0200E;9
01-05-2020;0200E;6
01-06-2020;0200E;8
01-07-2020;0200E;2
01-08-2020;0200E;3
01-09-2020;0200E;8
01-10-2020;0200E;4
01-11-2020;0200E;5
01-12-2020;0200E;2
01-01-2020;0076;5
01-02-2020;0076;1
01-03-2020;0076;6
01-04-2020;0076;8
01-05-2020;0076;5
01-06-2020;0076;6
01-07-2020;0076;3
01-08-2020;0076;5
01-09-2020;0076;8
01-10-2020;0076;4
01-11-2020;0076;6
01-12-2020;0076;3
01-01-2020;1082;6
01-02-2020;1082;8
01-03-2020;1082;15
01-04-2020;1082;11
01-05-2020;1082;6
01-06-2020;1082;12
01-07-2020;1082;4
01-08-2020;1082;9
01-09-2020;1082;5
01-10-2020;1082;17
01-11-2020;1082;6
01-12-2020;1082;24
01-01-2020;2331;7
01-02-2020;2331;2
01-03-2020;2331;7
01-04-2020;2331;15
01-05-2020;2331;5
01-06-2020;2331;7
01-07-2020;2331;4
01-08-2020;2331;5
01-09-2020;2331;8
01-10-2020;2331;9
01-11-2020;2331;2
01-12-2020;2331;10
01-01-2020;3469A;7
01-02-2020;3469A;0
01-03-2020;3469A;9
01-04-2020;3469A;14
01-05-2020;3469A;6
01-06-2020;3469A;1
01-07-2020;3469A;1
01-08-2020;3469A;0
01-09-2020;3469A;4
01-10-2020;3469A;7
01-11-2020;3469A;10
01-12-2020;3469A;8
01-01-2020;5973;6
01-02-2020;5973;2
01-03-2020;5973;7
01-04-2020;5973;6
