FECHA;INDICATIVO;INSOLACION
01-07-2016;B278;11.6
01-08-2016;B278;10.7
01-09-2016;B278;8.1
01-10-2016;B278;6.0
01-11-2016;B278;4.8
01-12-2016;B278;4.6
01-01-2016;0200E;5.0
01-02-2016;0200E;7.1
01-03-2016;0200E;6.6
01-04-2016;0200E;7.6
01-05-2016;0200E;9.3
01-06-2016;0200E;11.2
01-07-2016;0200E;11.7
01-08-2016;0200E;10.5
01-09-2016;0200E;8.3
01-10-2016;0200E;3.8
01-11-2016;0200E;6.0
01-12-2016;0200E;6.4
01-01-2016;0076;0
01-02-2016;0076;6.1
01-03-2016;0076;6.5
01-04-2016;0076;6.7
01-05-2016;0076;0
01-06-2016;0076;0
01-07-2016;0076;0
01-08-2016;0076;9.4
01-09-2016;0076;0
01-10-2016;0076;3.2
01-11-2016;0076;4.4
01-12-2016;0076;4.2
01-01-2016;1082;1.9
01-02-2016;1082;2.7
01-03-2016;1082;2.0
01-04-2016;1082;3.5
01-05-2016;1082;5.7
01-06-2016;1082;5.6
01-07-2016;1082;4.5
01-08-2016;1082;7.0
01-09-2016;1082;5.8
01-10-2016;1082;4.9
01-11-2016;1082;3.2
01-12-2016;1082;3.9
01-01-2016;2331;2.1
01-02-2016;2331;3.7
01-03-2016;2331;4.0
01-04-2016;2331;5.3
01-05-2016;2331;7.9
01-06-2016;2331;10.2
01-07-2016;2331;11.8
01-08-2016;2331;11.1
01-09-2016;2331;7.9
01-10-2016;2331;6.7
01-11-2016;2331;3.8
01-12-2016;2331;4.7
01-01-2016;3469A;3.0
01-02-2016;3469A;5.5
01-03-2016;3469A;8.0
01-04-2016;3469A;8.1
01-05-2016;3469A;8.8
01-06-2016;3469A;13.2
01-07-2016;3469A;13.0
01-08-2016;3469A;12.7
01-09-2016;3469A;10.9
01-10-2016;3469A;7.3
01-11-2016;3469A;5.6
01-12-2016;3469A;5.6
01-01-2016;5960;0
01-02-2016;5960;5.7
01-03-2016;5960;8.2
01-04-2016;5960;7.4
01-05-2016;5960;9.6
01-06-2016;5960;0
01-07-2016;5960;11.7
01-08-2016;5960;11.8
01-09-2016;5960;10.3
01-10-2016;5960;8.0
01-11-2016;5960;6.0
01-12-2016;5960;6.7
01-01-2016;5910;4.7
01-02-2016;5910;5.8
01-03-2016;5910;9.5
01-04-2016;5910;8.2
01-05-2016;5910;10.2
01-06-2016;5910;12.6
01-07-2016;5910;12.1
01-08-2016;5910;11.6
01-09-2016;5910;10.1
01-10-2016;5910;7.4
01-11-2016;5910;5.7
01-12-2016;5910;6.1
01-01-2016;1111;0
01-02-2016;1111;3.6
01-03-2016;1111;0
01-04-2016;1111;0
01-05-2016;1111;7.8
01-06-2016;1111;7.4
01-07-2016;1111;6.7
01-08-2016;1111;8.4
01-09-2016;1111;6.4
01-10-2016;1111;5.5
01-11-2016;1111;3.7
01-12-2016;1111;4.8
01-01-2016;1109;0
01-02-2016;1109;0
01-03-2016;1109;0
01-04-2016;1109;0
01-05-2016;1109;0
01-06-2016;1109;0
01-07-2016;1109;0
01-08-2016;1109;0
01-09-2016;1109;0
01-10-2016;1109;0
01-11-2016;1109;0
01-12-2016;1109;3.9
01-01-2016;8500A;5.6
01-02-2016;8500A;7.2
01-03-2016;8500A;7.7
01-04-2016;8500A;8.9
01-05-2016;8500A;9.5
01-06-2016;8500A;11.9
01-07-2016;8500A;11.6
01-08-2016;8500A;10.7
01-09-2016;8500A;9.4
01-10-2016;8500A;6.1
01-11-2016;8500A;5.6
01-12-2016;8500A;5.5
01-01-2016;5000C;4.8
01-02-2016;5000C;5.4
01-03-2016;5000C;9.0
01-04-2016;5000C;8.4
01-05-2016;5000C;8.3
01-06-2016;5000C;10.9
01-07-2016;5000C;10.6
01-08-2016;5000C;9.7
01-09-2016;5000C;8.8
01-10-2016;5000C;5.2
01-11-2016;5000C;5.2
01-12-2016;5000C;0
01-01-2016;4121;3.3
01-02-2016;4121;5.0
01-03-2016;4121;7.7
01-04-2016;4121;7.4
01-05-2016;4121;8.5
01-06-2016;4121;12.9
01-07-2016;4121;12.2
01-08-2016;4121;12.3
01-09-2016;4121;10.7
01-10-2016;4121;7.2
01-11-2016;4121;5.2
01-12-2016;4121;3.6
01-01-2016;5402;4.0
01-02-2016;5402;4.8
01-03-2016;5402;8.4
01-04-2016;5402;8.2
01-05-2016;5402;8.7
01-06-2016;5402;12.9
01-07-2016;5402;12.4
01-08-2016;5402;12.6
01-09-2016;5402;9.4
01-10-2016;5402;7.2
01-11-2016;5402;5.9
01-12-2016;5402;6.1
01-01-2016;8096;3.5
01-02-2016;8096;5.1
01-03-2016;8096;6.9
01-04-2016;8096;6.3
01-05-2016;8096;7.2
01-06-2016;8096;9.7
01-07-2016;8096;9.9
01-08-2016;8096;10.5
01-09-2016;8096;8.7
01-10-2016;8096;5.8
01-11-2016;8096;4.3
01-12-2016;8096;4.9
01-01-2016;1014;2.3
01-02-2016;1014;3.5
01-03-2016;1014;3.7
01-04-2016;1014;5.0
01-05-2016;1014;6.3
01-06-2016;1014;6.4
01-07-2016;1014;5.9
01-08-2016;1014;8.6
01-09-2016;1014;6.6
01-10-2016;1014;5.3
01-11-2016;1014;3.1
01-12-2016;1014;4.0
01-01-2016;1024E;2.6
01-02-2016;1024E;3.6
01-03-2016;1024E;3.5
01-04-2016;1024E;5.2
01-05-2016;1024E;6.6
01-06-2016;1024E;6.8
01-07-2016;1024E;5.2
01-08-2016;1024E;8.6
01-09-2016;1024E;6.5
01-10-2016;1024E;5.4
01-11-2016;1024E;3.5
01-12-2016;1024E;4.6
01-01-2016;0367;5.1
01-02-2016;0367;6.1
01-03-2016;0367;6.6
01-04-2016;0367;0
01-05-2016;0367;0
01-06-2016;0367;0
01-07-2016;0367;0
01-08-2016;0367;0
01-09-2016;0367;0
01-10-2016;0367;0
01-11-2016;0367;0
01-12-2016;0367;0
01-01-2016;5530E;5.0
01-02-2016;5530E;5.4
01-03-2016;5530E;8.2
01-04-2016;5530E;8.2
01-05-2016;5530E;9.3
01-06-2016;5530E;12.7
01-07-2016;5530E;12.0
01-08-2016;5530E;11.9
01-09-2016;5530E;10.6
01-10-2016;5530E;7.9
01-11-2016;5530E;5.3
01-12-2016;5530E;6.7
01-01-2016;5514;4.8
01-02-2016;5514;4.4
01-03-2016;5514;7.9
01-04-2016;5514;8.3
01-05-2016;5514;9.2
01-06-2016;5514;12.1
01-07-2016;5514;11.2
01-08-2016;5514;11.3
01-09-2016;5514;9.8
01-10-2016;5514;6.9
01-11-2016;5514;5.1
01-12-2016;5514;6.5
01-01-2016;3013;0
01-02-2016;3013;4.7
01-03-2016;3013;5.9
01-04-2016;3013;6.5
01-05-2016;3013;7.9
01-06-2016;3013;10.8
01-07-2016;3013;11.6
01-08-2016;3013;11.0
01-09-2016;3013;8.2
01-10-2016;3013;5.9
01-11-2016;3013;4.1
01-12-2016;3013;4.2
01-01-2016;4642E;5.3
01-02-2016;4642E;6.2
01-03-2016;4642E;9.6
01-04-2016;4642E;8.8
01-05-2016;4642E;9.8
01-06-2016;4642E;13.1
01-07-2016;4642E;12.6
01-08-2016;4642E;12.5
01-09-2016;4642E;11.1
01-10-2016;4642E;7.7
01-11-2016;4642E;6.8
01-12-2016;4642E;7.0
01-01-2016;9898;3.8
01-02-2016;9898;5.9
01-03-2016;9898;6.9
01-04-2016;9898;7.6
01-05-2016;9898;9.4
01-06-2016;9898;11.4
01-07-2016;9898;12.3
01-08-2016;9898;11.8
01-09-2016;9898;9.1
01-10-2016;9898;0
01-11-2016;9898;5.1
01-12-2016;9898;2.9
01-01-2016;5270B;4.3
01-02-2016;5270B;5.4
01-03-2016;5270B;7.7
01-04-2016;5270B;7.6
01-05-2016;5270B;0
01-06-2016;5270B;12.7
01-07-2016;5270B;12.2
01-08-2016;5270B;12.1
01-09-2016;5270B;10.4
01-10-2016;5270B;0
01-11-2016;5270B;5.2
01-12-2016;5270B;5.6
01-01-2016;9170;3.1
01-02-2016;9170;5.2
01-03-2016;9170;4.6
01-04-2016;9170;6.5
01-05-2016;9170;8.0
01-06-2016;9170;9.8
01-07-2016;9170;9.6
01-08-2016;9170;11.0
01-09-2016;9170;8.0
01-10-2016;9170;6.4
01-11-2016;9170;0
01-12-2016;9170;2.8
01-01-2016;C249I;6.6
01-02-2016;C249I;5.4
01-03-2016;C249I;6.4
01-04-2016;C249I;8.4
01-05-2016;C249I;7.8
01-06-2016;C249I;9.8
01-07-2016;C249I;0
01-08-2016;C249I;9.6
01-09-2016;C249I;9.3
01-10-2016;C249I;6.6
01-11-2016;C249I;6.1
01-12-2016;C249I;6.2
01-01-2016;C649I;7.6
01-02-2016;C649I;5.5
01-03-2016;C649I;5.8
01-04-2016;C649I;8.3
01-05-2016;C649I;0
01-06-2016;C649I;0
01-07-2016;C649I;0
01-08-2016;C649I;0
01-09-2016;C649I;0
01-10-2016;C649I;0
01-11-2016;C649I;0
01-12-2016;C649I;0
01-01-2016;C029O;7.7
01-02-2016;C029O;5.7
01-03-2016;C029O;7.4
01-04-2016;C029O;8.0
01-05-2016;C029O;7.9
01-06-2016;C029O;10.3
01-07-2016;C029O;9.0
01-08-2016;C029O;10.2
01-09-2016;C029O;9.5
01-10-2016;C029O;6.8
01-11-2016;C029O;7.2
01-12-2016;C029O;6.6
01-01-2016;1549;2.1
01-02-2016;1549;4.0
01-03-2016;1549;6.3
01-04-2016;1549;7.0
01-05-2016;1549;6.8
01-06-2016;1549;10.3
01-07-2016;1549;13.0
01-08-2016;1549;11.3
01-09-2016;1549;9.2
01-10-2016;1549;6.7
01-11-2016;1549;3.5
01-12-2016;1549;3.6
01-01-2016;9771C;3.9
01-02-2016;9771C;6.9
01-03-2016;9771C;8.5
01-04-2016;9771C;9.2
01-05-2016;9771C;10.1
01-06-2016;9771C;11.9
01-07-2016;9771C;12.8
01-08-2016;9771C;11.8
01-09-2016;9771C;9.8
01-10-2016;9771C;5.9
01-11-2016;9771C;4.0
01-12-2016;9771C;1.0
01-01-2016;1505;2.0
01-02-2016;1505;2.7
01-03-2016;1505;4.9
01-04-2016;1505;5.4
01-05-2016;1505;6.1
01-06-2016;1505;7.5
01-07-2016;1505;0
01-08-2016;1505;9.4
01-09-2016;1505;0
01-10-2016;1505;0
01-11-2016;1505;2.9
01-12-2016;1505;3.2
01-01-2016;3191E;3.3
01-02-2016;3191E;5.8
01-03-2016;3191E;7.7
01-04-2016;3191E;6.6
01-05-2016;3191E;7.9
01-06-2016;3191E;11.9
01-07-2016;3191E;11.7
01-08-2016;3191E;11.8
01-09-2016;3191E;9.2
01-10-2016;3191E;5.9
01-11-2016;3191E;4.5
01-12-2016;3191E;5.0
01-01-2016;3129;3.5
01-02-2016;3129;5.4
01-03-2016;3129;7.9
01-04-2016;3129;6.6
01-05-2016;3129;7.6
01-06-2016;3129;0
01-07-2016;3129;12.1
01-08-2016;3129;11.9
01-09-2016;3129;0
01-10-2016;3129;6.3
01-11-2016;3129;4.7
01-12-2016;3129;4.9
01-01-2016;3196;3.9
01-02-2016;3196;5.9
01-03-2016;3196;7.7
01-04-2016;3196;7.3
01-05-2016;3196;8.3
01-06-2016;3196;12.3
01-07-2016;3196;12.0
01-08-2016;3196;11.9
01-09-2016;3196;9.2
01-10-2016;3196;6.3
01-11-2016;3196;5.0
01-12-2016;3196;5.4
01-01-2016;3200;4.1
01-02-2016;3200;5.9
01-03-2016;3200;7.8
01-04-2016;3200;7.7
01-05-2016;3200;8.1
01-06-2016;3200;12.3
01-07-2016;3200;12.1
01-08-2016;3200;12.1
01-09-2016;3200;9.7
01-10-2016;3200;6.7
01-11-2016;3200;5.2
