FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2017;B228;7.4
01-02-2017;B228;10.2
01-03-2017;B228;10.4
01-04-2017;B228;11.7
01-05-2017;B228;16.3
01-06-2017;B228;20.8
01-07-2017;B228;23.1
01-08-2017;B228;23.8
01-09-2017;B228;19.3
01-10-2017;B228;16.7
01-11-2017;B228;11.0
01-12-2017;B228;9.1
01-01-2017;B278;3.7
01-02-2017;B278;7.1
01-03-2017;B278;6.5
01-04-2017;B278;7.1
01-05-2017;B278;12.7
01-06-2017;B278;17.6
01-07-2017;B278;20.1
01-08-2017;B278;21.2
01-09-2017;B278;16.1
01-10-2017;B278;12.7
01-11-2017;B278;6.2
01-12-2017;B278;5.2
01-01-2017;0200E;4.7
01-02-2017;0200E;8.0
01-03-2017;0200E;9.4
01-04-2017;0200E;10.3
01-05-2017;0200E;13.8
01-06-2017;0200E;19.4
01-07-2017;0200E;19.6
01-08-2017;0200E;20.2
01-09-2017;0200E;15.6
01-10-2017;0200E;15.0
01-11-2017;0200E;8.8
01-12-2017;0200E;5.1
01-01-2017;0076;0
01-02-2017;0076;8.8
01-03-2017;0076;0
01-04-2017;0076;10.6
01-05-2017;0076;0
01-06-2017;0076;20.8
01-07-2017;0076;22.3
01-08-2017;0076;22.7
01-09-2017;0076;17.6
01-10-2017;0076;16.2
01-11-2017;0076;8.1
01-12-2017;0076;0
01-01-2017;1082;2.2
01-02-2017;1082;6.1
01-03-2017;1082;7.5
01-04-2017;1082;7.1
01-05-2017;1082;12.5
01-06-2017;1082;16.0
01-07-2017;1082;16.5
01-08-2017;1082;16.3
01-09-2017;1082;13.3
01-10-2017;1082;12.1
01-11-2017;1082;6.9
01-12-2017;1082;5.4
01-01-2017;2331;-2.2
01-02-2017;2331;0.8
01-03-2017;2331;1.2
01-04-2017;2331;0.9
01-05-2017;2331;7.4
01-06-2017;2331;11.6
01-07-2017;2331;11.7
01-08-2017;2331;11.5
01-09-2017;2331;7.3
01-10-2017;2331;5.4
01-11-2017;2331;0.7
01-12-2017;2331;-0.4
01-01-2017;3469A;2.8
01-02-2017;3469A;6.4
01-03-2017;3469A;6.5
01-04-2017;3469A;9.5
01-05-2017;3469A;13.4
01-06-2017;3469A;18.9
01-07-2017;3469A;19.0
01-08-2017;3469A;19.3
01-09-2017;3469A;15.5
01-10-2017;3469A;13.5
01-11-2017;3469A;6.6
01-12-2017;3469A;3.8
01-01-2017;5973;8.6
01-02-2017;5973;12.4
01-03-2017;5973;12.9
01-04-2017;5973;15.2
01-05-2017;5973;17.9
01-06-2017;5973;21.7
01-07-2017;5973;22.1
01-08-2017;5973;22.8
01-09-2017;5973;20.9
01-10-2017;5973;0
01-11-2017;5973;13.5
01-12-2017;5973;9.8
01-01-2017;5960;2.3
01-02-2017;5960;7.8
01-03-2017;5960;7.4
01-04-2017;5960;10.2
01-05-2017;5960;13.4
01-06-2017;5960;17.0
01-07-2017;5960;17.3
01-08-2017;5960;18.3
01-09-2017;5960;14.9
01-10-2017;5960;14.3
01-11-2017;5960;7.5
01-12-2017;5960;4.0
01-01-2017;5910;4.7
01-02-2017;5910;9.9
01-03-2017;5910;9.7
01-04-2017;5910;12.4
01-05-2017;5910;15.5
01-06-2017;5910;19.7
01-07-2017;5910;19.9
01-08-2017;5910;19.9
01-09-2017;5910;17.8
01-10-2017;5910;17.0
01-11-2017;5910;10.2
01-12-2017;5910;6.7
01-01-2017;6001;0
01-02-2017;6001;0
01-03-2017;6001;12.8
01-04-2017;6001;15.6
01-05-2017;6001;0
01-06-2017;6001;19.8
01-07-2017;6001;0
01-08-2017;6001;22.7
01-09-2017;6001;0
01-10-2017;6001;19.9
01-11-2017;6001;0
01-12-2017;6001;11.4
01-01-2017;1111;6.5
01-02-2017;1111;8.8
01-03-2017;1111;9.5
01-04-2017;1111;9.7
01-05-2017;1111;13.1
01-06-2017;1111;15.9
01-07-2017;1111;17.1
01-08-2017;1111;17.3
01-09-2017;1111;15.1
01-10-2017;1111;14.2
01-11-2017;1111;10.3
01-12-2017;1111;7.8
01-01-2017;1109;4.5
01-02-2017;1109;7.1
01-03-2017;1109;8.3
01-04-2017;1109;8.4
01-05-2017;1109;13.1
01-06-2017;1109;16.3
01-07-2017;1109;17.1
01-08-2017;1109;17.1
01-09-2017;1109;14.5
01-10-2017;1109;12.8
01-11-2017;1109;8.4
01-12-2017;1109;6.2
01-01-2017;8500A;6.0
01-02-2017;8500A;8.8
01-03-2017;8500A;9.6
01-04-2017;8500A;10.7
01-05-2017;8500A;15.4
01-06-2017;8500A;20.3
01-07-2017;8500A;22.3
01-08-2017;8500A;21.9
01-09-2017;8500A;18.0
01-10-2017;8500A;16.0
01-11-2017;8500A;9.7
01-12-2017;8500A;6.6
01-01-2017;5000C;10.4
01-02-2017;5000C;12.6
01-03-2017;5000C;12.5
01-04-2017;5000C;14.6
01-05-2017;5000C;16.7
01-06-2017;5000C;20.3
01-07-2017;5000C;20.9
01-08-2017;5000C;21.8
01-09-2017;5000C;19.7
01-10-2017;5000C;18.8
01-11-2017;5000C;14.8
01-12-2017;5000C;11.9
01-01-2017;4121;0.7
01-02-2017;4121;5.0
01-03-2017;4121;5.4
01-04-2017;4121;8.6
01-05-2017;4121;12.9
01-06-2017;4121;19.2
01-07-2017;4121;19.8
01-08-2017;4121;19.8
01-09-2017;4121;14.9
01-10-2017;4121;11.2
01-11-2017;4121;3.9
01-12-2017;4121;1.5
01-01-2017;5402;1.3
01-02-2017;5402;6.9
01-03-2017;5402;0
01-04-2017;5402;10.1
01-05-2017;5402;13.6
01-06-2017;5402;19.1
01-07-2017;5402;19.2
01-08-2017;5402;0
01-09-2017;5402;15.9
01-10-2017;5402;14.0
01-11-2017;5402;6.0
01-12-2017;5402;3.3
01-01-2017;8096;-1.2
01-02-2017;8096;2.4
01-03-2017;8096;3.7
01-04-2017;8096;5.6
01-05-2017;8096;10.5
01-06-2017;8096;16.1
01-07-2017;8096;17.1
01-08-2017;8096;17.6
01-09-2017;8096;11.4
01-10-2017;8096;8.9
01-11-2017;8096;2.2
01-12-2017;8096;0.1
01-01-2017;1014;2.1
01-02-2017;1014;6.2
01-03-2017;1014;8.3
01-04-2017;1014;8.6
01-05-2017;1014;13.4
01-06-2017;1014;17.0
01-07-2017;1014;17.9
01-08-2017;1014;17.8
01-09-2017;1014;14.1
01-10-2017;1014;12.7
01-11-2017;1014;6.9
01-12-2017;1014;5.2
01-01-2017;1024E;3.6
01-02-2017;1024E;7.5
01-03-2017;1024E;8.3
01-04-2017;1024E;8.5
01-05-2017;1024E;12.3
01-06-2017;1024E;15.7
01-07-2017;1024E;16.0
01-08-2017;1024E;16.3
01-09-2017;1024E;13.6
01-10-2017;1024E;13.1
01-11-2017;1024E;8.2
01-12-2017;1024E;5.7
01-01-2017;0367;0.1
01-02-2017;0367;4.5
01-03-2017;0367;0
01-04-2017;0367;0
01-05-2017;0367;10.9
01-06-2017;0367;16.5
01-07-2017;0367;17.4
01-08-2017;0367;18.2
01-09-2017;0367;13.3
01-10-2017;0367;11.3
01-11-2017;0367;2.3
01-12-2017;0367;-1.3
01-01-2017;5530E;-1.5
01-02-2017;5530E;4.1
01-03-2017;5530E;3.3
01-04-2017;5530E;7.0
01-05-2017;5530E;11.2
01-06-2017;5530E;16.9
01-07-2017;5530E;17.1
01-08-2017;5530E;17.6
01-09-2017;5530E;12.6
01-10-2017;5530E;10.1
01-11-2017;5530E;3.1
01-12-2017;5530E;0.4
01-01-2017;5514;-0.6
01-02-2017;5514;4.3
01-03-2017;5514;4.0
01-04-2017;5514;7.3
01-05-2017;5514;11.6
01-06-2017;5514;17.5
01-07-2017;5514;18.2
01-08-2017;5514;18.9
01-09-2017;5514;13.9
01-10-2017;5514;11.5
01-11-2017;5514;4.2
01-12-2017;5514;1.2
01-01-2017;3013;-4.9
01-02-2017;3013;-0.8
01-03-2017;3013;0.2
01-04-2017;3013;0
01-05-2017;3013;6.4
01-06-2017;3013;11.9
01-07-2017;3013;11.6
01-08-2017;3013;12.4
01-09-2017;3013;6.2
01-10-2017;3013;2.6
01-11-2017;3013;-3.2
01-12-2017;3013;-3.7
01-01-2017;4642E;4.5
01-02-2017;4642E;8.9
01-03-2017;4642E;9.1
01-04-2017;4642E;11.5
01-05-2017;4642E;14.8
01-06-2017;4642E;18.6
01-07-2017;4642E;19.1
01-08-2017;4642E;19.9
01-09-2017;4642E;16.7
01-10-2017;4642E;15.4
01-11-2017;4642E;9.1
01-12-2017;4642E;6.1
01-01-2017;9898;-0.3
01-02-2017;9898;3.8
01-03-2017;9898;6.2
01-04-2017;9898;6.7
01-05-2017;9898;11.2
01-06-2017;9898;16.1
01-07-2017;9898;17.1
01-08-2017;9898;17.2
01-09-2017;9898;11.9
01-10-2017;9898;10.8
01-11-2017;9898;4.0
01-12-2017;9898;0.6
01-01-2017;5270B;3.9
01-02-2017;5270B;8.0
01-03-2017;5270B;8.3
01-04-2017;5270B;11.9
01-05-2017;5270B;15.4
01-06-2017;5270B;21.2
01-07-2017;5270B;21.9
01-08-2017;5270B;22.1
01-09-2017;5270B;18.1
01-10-2017;5270B;16.2
01-11-2017;5270B;9.0
01-12-2017;5270B;5.0
01-01-2017;9170;1.2
01-02-2017;9170;3.5
01-03-2017;9170;5.0
01-04-2017;9170;5.9
01-05-2017;9170;10.7
01-06-2017;9170;16.0
01-07-2017;9170;16.3
01-08-2017;9170;15.9
01-09-2017;9170;11.4
01-10-2017;9170;9.4
01-11-2017;9170;4.0
01-12-2017;9170;2.4
01-01-2017;C249I;0
01-02-2017;C249I;15.1
01-03-2017;C249I;15.9
01-04-2017;C249I;18.0
01-05-2017;C249I;0
01-06-2017;C249I;21.0
01-07-2017;C249I;0
01-08-2017;C249I;22.6
01-09-2017;C249I;21.7
01-10-2017;C249I;21.3
01-11-2017;C249I;18.9
01-12-2017;C249I;16.6
01-01-2017;C649I;15.4
01-02-2017;C649I;0
01-03-2017;C649I;0
01-04-2017;C649I;17.6
01-05-2017;C649I;0
01-06-2017;C649I;0
01-07-2017;C649I;21.1
01-08-2017;C649I;0
01-09-2017;C649I;0
01-10-2017;C649I;21.0
01-11-2017;C649I;18.9
01-12-2017;C649I;16.2
01-01-2017;C029O;13.6
01-02-2017;C029O;13.8
01-03-2017;C029O;15.2
01-04-2017;C029O;17.0
01-05-2017;C029O;18.4
01-06-2017;C029O;20.0
01-07-2017;C029O;20.6
01-08-2017;C029O;21.6
01-09-2017;C029O;20.7
01-10-2017;C029O;19.5
01-11-2017;C029O;17.3
01-12-2017;C029O;14.3
01-01-2017;2661;-2.5
01-02-2017;2661;0.9
01-03-2017;2661;2.3
01-04-2017;2661;3.3
01-05-2017;2661;8.5
01-06-2017;2661;12.9
01-07-2017;2661;12.2
01-08-2017;2661;12.3
01-09-2017;2661;8.5
01-10-2017;2661;7.6
01-11-2017;2661;1.3
01-12-2017;2661;-0.4
01-01-2017;1549;-0.4
01-02-2017;1549;3.5
01-03-2017;1549;4.5
01-04-2017;1549;6.2
01-05-2017;1549;11.1
01-06-2017;1549;15.1
01-07-2017;1549;14.8
01-08-2017;1549;14.3
01-09-2017;1549;10.6
01-10-2017;1549;7.7
01-11-2017;1549;2.2
01-12-2017;1549;1.4
01-01-2017;9771C;-0.2
01-02-2017;9771C;4.2
01-03-2017;9771C;5.5
01-04-2017;9771C;6.9
01-05-2017;9771C;12.0
01-06-2017;9771C;17.3
01-07-2017;9771C;18.7
01-08-2017;9771C;18.6
01-09-2017;9771C;12.9
01-10-2017;9771C;10.6
01-11-2017;9771C;1.8
01-12-2017;9771C;-0.9
01-01-2017;1505;0.5
01-02-2017;1505;3.4
01-03-2017;1505;4.7
01-04-2017;1505;3.9
01-05-2017;1505;9.5
01-06-2017;1505;12.1
01-07-2017;1505;13.0
01-08-2017;1505;12.0
01-09-2017;1505;9.4
01-10-2017;1505;8.1
01-11-2017;1505;3.1
01-12-2017;1505;2.3
01-01-2017;3191E;1.1
01-02-2017;3191E;3.7
01-03-2017;3191E;5.5
01-04-2017;3191E;7.7
01-05-2017;3191E;11.6
01-06-2017;3191E;17.2
01-07-2017;3191E;18.1
01-08-2017;3191E;18.2
01-09-2017;3191E;13.6
01-10-2017;3191E;12.1
01-11-2017;3191E;5.1
01-12-2017;3191E;2.2
01-01-2017;3129;-1.1
01-02-2017;3129;3.2
01-03-2017;3129;4.1
01-04-2017;3129;6.4
01-05-2017;3129;11.4
01-06-2017;3129;17.7
01-07-2017;3129;17.6
01-08-2017;3129;18.0
01-09-2017;3129;12.4
01-10-2017;3129;9.3
01-11-2017;3129;2.4
01-12-2017;3129;0.3
01-01-2017;3196;0.9
01-02-2017;3196;4.5
01-03-2017;3196;5.6
01-04-2017;3196;8.7
01-05-2017;3196;13.3
01-06-2017;3196;19.1
01-07-2017;3196;19.5
01-08-2017;3196;19.7
01-09-2017;3196;14.9
01-10-2017;3196;12.4
01-11-2017;3196;4.9
01-12-2017;3196;1.9
01-01-2017;3200;0.8
01-02-2017;3200;4.6
01-03-2017;3200;5.7
01-04-2017;3200;9.1
01-05-2017;3200;13.8
01-06-2017;3200;19.6
01-07-2017;3200;19.9
01-08-2017;3200;20.3
01-09-2017;3200;15.3
01-10-2017;3200;12.5
01-11-2017;3200;4.6
01-12-2017;3200;1.5
01-01-2017;3195;1.8
01-02-2017;3195;5.5
01-03-2017;3195;6.7
01-04-2017;3195;9.5
01-05-2017;3195;14.1
01-06-2017;3195;19.7
01-07-2017;3195;0
01-08-2017;3195;0
01-09-2017;3195;15.7
01-10-2017;3195;13.4
01-11-2017;3195;5.8
01-12-2017;3195;2.9
01-01-2017;3175;-1.3
01-02-2017;3175;3.0
01-03-2017;3175;3.6
01-04-2017;3175;5.6
01-05-2017;3175;10.9
01-06-2017;3175;16.9
01-07-2017;3175;17.5
01-08-2017;3175;18.0
01-09-2017;3175;12.5
01-10-2017;3175;9.4
01-11-2017;3175;1.9
01-12-2017;3175;-0.3
01-01-2017;2462;-3.8
01-02-2017;2462;-1.5
01-03-2017;2462;-0.6
01-04-2017;2462;2.7
01-05-2017;2462;5.9
01-06-2017;2462;11.2
01-07-2017;2462;12.1
01-08-2017;2462;12.6
01-09-2017;2462;7.9
01-10-2017;2462;8.2
01-11-2017;2462;0.8
01-12-2017;2462;-2.7
01-01-2017;6155A;7.5
01-02-2017;6155A;10.2
01-03-2017;6155A;10.1
01-04-2017;6155A;12.9
01-05-2017;6155A;15.7
01-06-2017;6155A;20.7
01-07-2017;6155A;21.4
01-08-2017;6155A;22.1
01-09-2017;6155A;19.3
01-10-2017;6155A;16.1
01-11-2017;6155A;10.7
01-12-2017;6155A;8.0
01-01-2017;6000A;9.3
01-02-2017;6000A;12.4
01-03-2017;6000A;11.9
01-04-2017;6000A;14.3
01-05-2017;6000A;17.5
01-06-2017;6000A;21.3
01-07-2017;6000A;22.6
01-08-2017;6000A;23.6
01-09-2017;6000A;20.6
01-10-2017;6000A;18.1
01-11-2017;6000A;13.0
01-12-2017;6000A;10.4
01-01-2017;7178I;5.1
01-02-2017;7178I;8.2
01-03-2017;7178I;8.6
01-04-2017;7178I;11.1
01-05-2017;7178I;15.1
01-06-2017;7178I;20.2
01-07-2017;7178I;22.0
01-08-2017;7178I;22.7
01-09-2017;7178I;19.0
01-10-2017;7178I;15.9
01-11-2017;7178I;8.6
01-12-2017;7178I;4.9
