FECHA;INDICATIVO;VIENTO_sup_55
01-09-2018;0076;0
01-10-2018;0076;0
01-11-2018;0076;0
01-12-2018;0076;0
01-01-2018;1082;10
01-02-2018;1082;0
01-03-2018;1082;16
01-04-2018;1082;5
01-05-2018;1082;0
01-06-2018;1082;1
01-07-2018;1082;0
01-08-2018;1082;2
01-09-2018;1082;0
01-10-2018;1082;0
01-11-2018;1082;0
01-12-2018;1082;5
01-01-2018;2331;2
01-02-2018;2331;1
01-03-2018;2331;18
01-04-2018;2331;6
01-05-2018;2331;3
01-06-2018;2331;0
01-07-2018;2331;1
01-08-2018;2331;0
01-09-2018;2331;3
01-10-2018;2331;3
01-11-2018;2331;6
01-12-2018;2331;2
01-01-2018;3469A;2
01-02-2018;3469A;3
01-03-2018;3469A;13
01-04-2018;3469A;3
01-05-2018;3469A;0
01-06-2018;3469A;0
01-07-2018;3469A;0
01-08-2018;3469A;0
01-09-2018;3469A;2
01-10-2018;3469A;1
01-11-2018;3469A;3
01-12-2018;3469A;2
01-01-2018;5973;4
01-02-2018;5973;1
01-03-2018;5973;14
01-04-2018;5973;10
01-05-2018;5973;3
01-06-2018;5973;2
01-07-2018;5973;0
01-08-2018;5973;7
01-09-2018;5973;8
01-10-2018;5973;4
01-11-2018;5973;4
01-12-2018;5973;2
01-01-2018;5960;2
01-02-2018;5960;0
01-03-2018;5960;15
01-04-2018;5960;4
01-05-2018;5960;1
01-06-2018;5960;0
01-07-2018;5960;0
01-08-2018;5960;0
01-09-2018;5960;1
01-10-2018;5960;0
01-11-2018;5960;0
01-12-2018;5960;0
01-01-2018;5910;6
01-02-2018;5910;3
01-03-2018;5910;16
01-04-2018;5910;12
01-05-2018;5910;1
01-06-2018;5910;2
01-07-2018;5910;0
01-08-2018;5910;5
01-09-2018;5910;3
01-10-2018;5910;3
01-11-2018;5910;5
01-12-2018;5910;2
01-01-2018;6001;10
01-02-2018;6001;4
01-03-2018;6001;0
01-04-2018;6001;0
01-05-2018;6001;7
01-06-2018;6001;7
01-07-2018;6001;0
01-08-2018;6001;17
01-09-2018;6001;15
01-10-2018;6001;10
01-11-2018;6001;0
01-12-2018;6001;8
01-01-2018;1111;10
01-02-2018;1111;11
01-03-2018;1111;20
01-04-2018;1111;4
01-05-2018;1111;1
01-06-2018;1111;2
01-07-2018;1111;0
01-08-2018;1111;1
01-09-2018;1111;0
01-10-2018;1111;9
01-11-2018;1111;11
01-12-2018;1111;5
01-01-2018;1109;7
01-02-2018;1109;3
01-03-2018;1109;22
01-04-2018;1109;4
01-05-2018;1109;1
01-06-2018;1109;1
01-07-2018;1109;0
01-08-2018;1109;1
01-09-2018;1109;0
01-10-2018;1109;7
01-11-2018;1109;13
01-12-2018;1109;8
01-01-2018;8500A;0
01-02-2018;8500A;0
01-03-2018;8500A;0
01-04-2018;8500A;2
01-05-2018;8500A;0
01-06-2018;8500A;0
01-07-2018;8500A;0
01-08-2018;8500A;2
01-09-2018;8500A;0
01-10-2018;8500A;0
01-11-2018;8500A;0
01-12-2018;8500A;1
01-01-2018;5000C;6
01-02-2018;5000C;1
01-03-2018;5000C;16
01-04-2018;5000C;0
01-05-2018;5000C;1
01-06-2018;5000C;0
01-07-2018;5000C;2
01-08-2018;5000C;0
01-09-2018;5000C;0
01-10-2018;5000C;1
01-11-2018;5000C;3
01-12-2018;5000C;3
01-01-2018;4121;0
01-02-2018;4121;0
01-03-2018;4121;0
01-04-2018;4121;0
01-05-2018;4121;1
01-06-2018;4121;0
01-07-2018;4121;0
01-08-2018;4121;0
01-09-2018;4121;0
01-10-2018;4121;1
01-11-2018;4121;0
01-12-2018;4121;1
01-01-2018;5402;2
01-02-2018;5402;0
01-03-2018;5402;11
01-04-2018;5402;0
01-05-2018;5402;0
01-06-2018;5402;0
01-07-2018;5402;0
01-08-2018;5402;0
01-09-2018;5402;0
01-10-2018;5402;0
01-11-2018;5402;1
01-12-2018;5402;1
01-01-2018;8096;0
01-02-2018;8096;0
01-03-2018;8096;3
01-04-2018;8096;0
01-05-2018;8096;0
01-06-2018;8096;0
01-07-2018;8096;0
01-08-2018;8096;1
01-09-2018;8096;1
01-10-2018;8096;0
01-11-2018;8096;0
01-12-2018;8096;0
01-01-2018;1014;4
01-02-2018;1014;0
01-03-2018;1014;12
01-04-2018;1014;3
01-05-2018;1014;1
01-06-2018;1014;1
01-07-2018;1014;0
01-08-2018;1014;1
01-09-2018;1014;0
01-10-2018;1014;2
01-11-2018;1014;6
01-12-2018;1014;4
01-01-2018;1024E;16
01-02-2018;1024E;12
01-03-2018;1024E;22
01-04-2018;1024E;0
01-05-2018;1024E;0
01-06-2018;1024E;2
01-07-2018;1024E;1
01-08-2018;1024E;2
01-09-2018;1024E;2
01-10-2018;1024E;11
01-11-2018;1024E;16
01-12-2018;1024E;11
01-01-2018;0367;0
01-02-2018;0367;2
01-03-2018;0367;7
01-04-2018;0367;0
01-05-2018;0367;0
01-06-2018;0367;0
01-07-2018;0367;0
01-08-2018;0367;0
01-09-2018;0367;0
01-10-2018;0367;0
01-11-2018;0367;0
01-12-2018;0367;0
01-01-2018;5530E;1
01-02-2018;5530E;1
01-03-2018;5530E;9
01-04-2018;5530E;0
01-05-2018;5530E;1
01-06-2018;5530E;1
01-07-2018;5530E;0
01-08-2018;5530E;2
01-09-2018;5530E;1
01-10-2018;5530E;1
01-11-2018;5530E;0
01-12-2018;5530E;1
01-01-2018;5514;0
01-02-2018;5514;0
01-03-2018;5514;0
01-04-2018;5514;0
01-05-2018;5514;0
01-06-2018;5514;0
01-07-2018;5514;0
01-08-2018;5514;0
01-09-2018;5514;0
01-10-2018;5514;2
01-11-2018;5514;2
01-12-2018;5514;1
01-01-2018;3013;0
01-02-2018;3013;0
01-03-2018;3013;4
01-04-2018;3013;1
01-05-2018;3013;0
01-06-2018;3013;1
01-07-2018;3013;0
01-08-2018;3013;0
01-09-2018;3013;1
01-10-2018;3013;0
01-11-2018;3013;0
01-12-2018;3013;0
01-01-2018;4642E;1
01-02-2018;4642E;1
01-03-2018;4642E;13
01-04-2018;4642E;2
01-05-2018;4642E;0
01-06-2018;4642E;0
01-07-2018;4642E;0
01-08-2018;4642E;0
01-09-2018;4642E;0
01-10-2018;4642E;2
01-11-2018;4642E;0
01-12-2018;4642E;1
01-01-2018;9898;0
01-02-2018;9898;0
01-03-2018;9898;1
01-04-2018;9898;0
01-05-2018;9898;0
01-06-2018;9898;1
01-07-2018;9898;0
01-08-2018;9898;3
01-09-2018;9898;1
01-10-2018;9898;1
01-11-2018;9898;0
01-12-2018;9898;0
01-01-2018;5270B;5
01-02-2018;5270B;1
01-03-2018;5270B;18
01-04-2018;5270B;8
01-05-2018;5270B;0
01-06-2018;5270B;0
01-07-2018;5270B;0
01-08-2018;5270B;1
01-09-2018;5270B;0
01-10-2018;5270B;0
01-11-2018;5270B;5
01-12-2018;5270B;2
01-01-2018;9170;0
01-02-2018;9170;1
01-03-2018;9170;6
01-04-2018;9170;2
01-05-2018;9170;0
01-06-2018;9170;1
01-07-2018;9170;3
01-08-2018;9170;0
01-09-2018;9170;1
01-10-2018;9170;1
01-11-2018;9170;0
01-12-2018;9170;0
01-01-2018;C249I;0
01-02-2018;C249I;0
01-03-2018;C249I;13
01-04-2018;C249I;0
01-05-2018;C249I;3
01-06-2018;C249I;0
01-07-2018;C249I;0
01-08-2018;C249I;4
01-09-2018;C249I;0
01-10-2018;C249I;3
01-11-2018;C249I;3
01-12-2018;C249I;0
01-01-2018;C649I;0
01-02-2018;C649I;9
01-03-2018;C649I;0
01-04-2018;C649I;18
01-05-2018;C649I;23
01-06-2018;C649I;19
01-07-2018;C649I;0
01-08-2018;C649I;22
01-09-2018;C649I;0
01-10-2018;C649I;0
01-11-2018;C649I;3
01-12-2018;C649I;1
01-01-2018;C029O;9
01-02-2018;C029O;11
01-03-2018;C029O;0
01-04-2018;C029O;0
01-05-2018;C029O;10
01-06-2018;C029O;0
01-07-2018;C029O;26
01-08-2018;C029O;0
01-09-2018;C029O;6
01-10-2018;C029O;0
01-11-2018;C029O;3
01-12-2018;C029O;0
01-01-2018;2661;0
01-02-2018;2661;0
01-03-2018;2661;0
01-04-2018;2661;0
01-05-2018;2661;2
01-06-2018;2661;0
01-07-2018;2661;0
01-08-2018;2661;0
01-09-2018;2661;0
01-10-2018;2661;0
01-11-2018;2661;1
01-12-2018;2661;2
01-01-2018;1549;0
01-02-2018;1549;0
01-03-2018;1549;1
