FECHA;INDICATIVO;INSOLACION
01-01-2019;1387;4.2
01-02-2019;1387;6.2
01-03-2019;1387;7.3
01-04-2019;1387;6.7
01-05-2019;1387;9.5
01-06-2019;1387;0
01-07-2019;1387;9.5
01-08-2019;1387;8.4
01-09-2019;1387;8.1
01-10-2019;1387;4.4
01-11-2019;1387;1.8
01-12-2019;1387;3.2
01-01-2019;1428;4.7
01-02-2019;1428;5.9
01-03-2019;1428;6.7
01-04-2019;1428;5.7
01-05-2019;1428;9.2
01-06-2019;1428;5.7
01-07-2019;1428;8.8
01-08-2019;1428;7.9
01-09-2019;1428;7.2
01-10-2019;1428;3.1
01-11-2019;1428;1.7
01-12-2019;1428;3.2
01-01-2019;8175;6.8
01-02-2019;8175;8.6
01-03-2019;8175;8.9
01-04-2019;8175;6.9
01-05-2019;8175;10.3
01-06-2019;8175;11.8
01-07-2019;8175;11.6
01-08-2019;8175;10.4
01-09-2019;8175;7.9
01-10-2019;8175;7.8
01-11-2019;8175;5.0
01-12-2019;8175;4.4
01-01-2019;8178D;0
01-02-2019;8178D;0
01-03-2019;8178D;0
01-04-2019;8178D;0
01-05-2019;8178D;0
01-06-2019;8178D;0
01-07-2019;8178D;12.1
01-08-2019;8178D;0
01-09-2019;8178D;0
01-10-2019;8178D;0
01-11-2019;8178D;0
01-12-2019;8178D;0
01-01-2019;8025;7.0
01-02-2019;8025;9.4
01-03-2019;8025;8.9
01-04-2019;8025;8.3
01-05-2019;8025;11.1
01-06-2019;8025;12.3
01-07-2019;8025;11.7
01-08-2019;8025;11.3
01-09-2019;8025;8.9
01-10-2019;8025;8.6
01-11-2019;8025;7.5
01-12-2019;8025;5.8
01-01-2019;8019;6.9
01-02-2019;8019;9.2
01-03-2019;8019;8.8
01-04-2019;8019;8.2
01-05-2019;8019;10.9
01-06-2019;8019;12.5
01-07-2019;8019;11.7
01-08-2019;8019;11.0
01-09-2019;8019;8.7
01-10-2019;8019;8.5
01-11-2019;8019;7.5
01-12-2019;8019;5.5
01-01-2019;6325O;7.6
01-02-2019;6325O;8.8
01-03-2019;6325O;8.5
01-04-2019;6325O;9.1
01-05-2019;6325O;11.1
01-06-2019;6325O;12.1
01-07-2019;6325O;11.6
01-08-2019;6325O;11.0
01-09-2019;6325O;8.5
01-10-2019;6325O;8.5
01-11-2019;6325O;7.0
01-12-2019;6325O;5.7
01-01-2019;9091O;2.5
01-02-2019;9091O;6.5
01-03-2019;9091O;7.3
01-04-2019;9091O;5.5
01-05-2019;9091O;6.9
01-06-2019;9091O;8.7
01-07-2019;9091O;7.8
01-08-2019;9091O;8.5
01-09-2019;9091O;6.6
01-10-2019;9091O;5.7
01-11-2019;9091O;2.1
01-12-2019;9091O;2.5
01-01-2019;1212E;3.0
01-02-2019;1212E;6.9
01-03-2019;1212E;7.1
01-04-2019;1212E;5.6
01-05-2019;1212E;7.6
01-06-2019;1212E;4.2
01-07-2019;1212E;6.6
01-08-2019;1212E;5.3
01-09-2019;1212E;6.4
01-10-2019;1212E;4.0
01-11-2019;1212E;1.8
01-12-2019;1212E;3.0
01-01-2019;1208H;2.8
