FECHA;INDICATIVO;EVAPORACION
01-02-2018;5960;830
01-03-2018;5960;745
01-04-2018;5960;884
01-05-2018;5960;1211
01-06-2018;5960;1410
01-07-2018;5960;1554
01-08-2018;5960;2107
01-09-2018;5960;1626
01-10-2018;5960;947
01-11-2018;5960;395
01-12-2018;5960;481
01-01-2018;5910;1040
01-02-2018;5910;1153
01-03-2018;5910;1190
01-04-2018;5910;1455
01-05-2018;5910;1865
01-06-2018;5910;1338
01-07-2018;5910;1489
01-08-2018;5910;2632
01-09-2018;5910;1714
01-10-2018;5910;1288
01-11-2018;5910;794
01-12-2018;5910;867
01-01-2018;1111;983
01-02-2018;1111;800
01-03-2018;1111;1555
01-04-2018;1111;0
01-05-2018;1111;714
01-06-2018;1111;647
01-07-2018;1111;700
01-08-2018;1111;996
01-09-2018;1111;795
01-10-2018;1111;1021
01-11-2018;1111;1255
01-12-2018;1111;1077
01-01-2018;1109;1338
01-02-2018;1109;929
01-03-2018;1109;1847
01-04-2018;1109;1560
01-05-2018;1109;1124
01-06-2018;1109;1166
01-07-2018;1109;1224
01-08-2018;1109;1575
01-09-2018;1109;1340
01-10-2018;1109;1372
01-11-2018;1109;1608
01-12-2018;1109;1342
01-01-2018;4121;267
01-02-2018;4121;381
01-03-2018;4121;0
01-04-2018;4121;787
01-05-2018;4121;838
01-06-2018;4121;1100
01-07-2018;4121;2185
01-08-2018;4121;1785
01-09-2018;4121;0
01-10-2018;4121;651
01-11-2018;4121;298
01-12-2018;4121;206
01-01-2018;5402;603
01-02-2018;5402;875
01-03-2018;5402;1015
01-04-2018;5402;1541
01-05-2018;5402;2081
01-06-2018;5402;3075
01-07-2018;5402;3865
01-08-2018;5402;4220
01-09-2018;5402;2362
01-10-2018;5402;1502
01-11-2018;5402;548
01-12-2018;5402;591
01-01-2018;8096;507
01-02-2018;8096;633
01-03-2018;8096;651
01-04-2018;8096;1123
01-05-2018;8096;1197
01-06-2018;8096;1755
01-07-2018;8096;2726
01-08-2018;8096;2286
01-09-2018;8096;1548
01-10-2018;8096;1019
01-11-2018;8096;0
01-12-2018;8096;0
01-01-2018;1014;432
01-02-2018;1014;339
01-03-2018;1014;897
01-04-2018;1014;821
01-05-2018;1014;506
01-06-2018;1014;588
01-07-2018;1014;644
01-08-2018;1014;701
01-09-2018;1014;713
01-10-2018;1014;559
01-11-2018;1014;953
01-12-2018;1014;463
01-01-2018;1024E;755
01-02-2018;1024E;405
01-03-2018;1024E;1278
01-04-2018;1024E;1415
01-05-2018;1024E;529
