FECHA;INDICATIVO;LLUVIA_MES
01-01-2020;1387;119.3
01-02-2020;1387;47.1
01-03-2020;1387;114.0
01-04-2020;1387;73.0
01-05-2020;1387;8.4
01-06-2020;1387;39.4
01-07-2020;1387;1.4
01-08-2020;1387;108.0
01-09-2020;1387;39.0
01-10-2020;1387;123.0
01-11-2020;1387;65.1
01-12-2020;1387;218.8
01-01-2020;1387E;118.5
01-02-2020;1387E;32.6
01-03-2020;1387E;110.7
01-04-2020;1387E;69.6
01-05-2020;1387E;6.4
01-06-2020;1387E;0
01-07-2020;1387E;3.4
01-08-2020;1387E;93.9
01-09-2020;1387E;0
01-10-2020;1387E;120.0
01-11-2020;1387E;52.4
01-12-2020;1387E;226.9
01-01-2020;1428;234.3
01-02-2020;1428;91.5
01-03-2020;1428;148.9
01-04-2020;1428;166.7
01-05-2020;1428;43.9
01-06-2020;1428;42.9
01-07-2020;1428;0.4
01-08-2020;1428;118.1
01-09-2020;1428;31.8
01-10-2020;1428;167.7
01-11-2020;1428;173.7
01-12-2020;1428;304.1
01-01-2020;8175;46.8
01-02-2020;8175;0.0
01-03-2020;8175;106.4
01-04-2020;8175;27.6
01-05-2020;8175;51.1
01-06-2020;8175;2.8
01-07-2020;8175;18.8
01-08-2020;8175;12.6
01-09-2020;8175;17.6
01-10-2020;8175;31.2
01-11-2020;8175;60.4
01-12-2020;8175;24.2
01-01-2020;8178D;42.0
01-02-2020;8178D;0.1
01-03-2020;8178D;124.1
01-04-2020;8178D;47.2
01-05-2020;8178D;61.1
01-06-2020;8178D;3.2
01-07-2020;8178D;26.1
01-08-2020;8178D;6.0
01-09-2020;8178D;16.5
01-10-2020;8178D;32.3
01-11-2020;8178D;62.1
01-12-2020;8178D;18.7
01-01-2020;8025;37.0
01-02-2020;8025;1.2
01-03-2020;8025;71.8
01-04-2020;8025;36.2
01-05-2020;8025;32.4
01-06-2020;8025;11.6
01-07-2020;8025;0.0
01-08-2020;8025;13.2
01-09-2020;8025;3.4
01-10-2020;8025;3.4
01-11-2020;8025;9.8
01-12-2020;8025;1.6
01-01-2020;8019;58.8
01-02-2020;8019;2.1
