FECHA;INDICATIVO;RADIACION
01-01-2020;1387;17273
01-02-2020;1387;25565
01-03-2020;1387;39355
01-04-2020;1387;40907
01-05-2020;1387;68939
01-06-2020;1387;62581
01-07-2020;1387;0
01-08-2020;1387;58168
01-09-2020;1387;50788
01-10-2020;1387;0
01-11-2020;1387;20758
01-12-2020;1387;12514
01-01-2020;1387E;0
01-02-2020;1387E;0
01-03-2020;1387E;0
01-04-2020;1387E;35024
01-05-2020;1387E;0
01-06-2020;1387E;0
01-07-2020;1387E;0
01-08-2020;1387E;0
01-09-2020;1387E;0
01-10-2020;1387E;0
01-11-2020;1387E;0
01-12-2020;1387E;0
01-01-2020;1428;0
01-02-2020;1428;24310
01-03-2020;1428;0
01-04-2020;1428;35558
01-05-2020;1428;0
01-06-2020;1428;60037
01-07-2020;1428;69595
01-08-2020;1428;52702
01-09-2020;1428;45384
01-10-2020;1428;0
01-11-2020;1428;18125
01-12-2020;1428;9024
01-01-2020;8178D;26203
01-02-2020;8178D;37735
01-03-2020;8178D;42361
01-04-2020;8178D;57554
01-05-2020;8178D;75812
01-06-2020;8178D;85348
01-07-2020;8178D;87248
01-08-2020;8178D;80579
01-09-2020;8178D;58582
01-10-2020;8178D;47662
01-11-2020;8178D;29336
01-12-2020;8178D;26008
01-01-2020;8019;0
01-02-2020;8019;0
01-03-2020;8019;0
01-04-2020;8019;58118
01-05-2020;8019;78796
01-06-2020;8019;78440
01-07-2020;8019;85384
01-08-2020;8019;74676
01-09-2020;8019;58721
01-10-2020;8019;46240
01-11-2020;8019;29061
01-12-2020;8019;0
01-01-2020;6325O;31524
01-02-2020;6325O;41867
01-03-2020;6325O;49332
01-04-2020;6325O;59439
01-05-2020;6325O;83532
01-06-2020;6325O;88144
01-07-2020;6325O;86952
01-08-2020;6325O;77548
01-09-2020;6325O;58614
01-10-2020;6325O;49450
01-11-2020;6325O;33631
01-12-2020;6325O;31552
01-01-2020;B954;24879
01-02-2020;B954;37885
01-03-2020;B954;0
01-04-2020;B954;59166
01-05-2020;B954;81622
01-06-2020;B954;76585
01-07-2020;B954;81964
01-08-2020;B954;71083
01-09-2020;B954;51572
01-10-2020;B954;45478
01-11-2020;B954;27689
01-12-2020;B954;23893
01-01-2020;B278;0
01-02-2020;B278;0
01-03-2020;B278;0
01-04-2020;B278;0
01-05-2020;B278;76734
01-06-2020;B278;0
01-07-2020;B278;0
01-08-2020;B278;0
01-09-2020;B278;0
01-10-2020;B278;0
01-11-2020;B278;0
01-12-2020;B278;0
01-01-2020;B228;24495
01-02-2020;B228;35898
01-03-2020;B228;46111
01-04-2020;B228;58935
01-05-2020;B228;80613
01-06-2020;B228;83032
01-07-2020;B228;83106
01-08-2020;B228;73213
01-09-2020;B228;56003
01-10-2020;B228;43092
01-11-2020;B228;27674
01-12-2020;B228;23223
01-01-2020;0076;0
01-02-2020;0076;0
01-03-2020;0076;0
01-04-2020;0076;56090
01-05-2020;0076;76159
01-06-2020;0076;77177
01-07-2020;0076;0
