FECHA;INDICATIVO;LLUVIA_MES
01-05-2018;0200E;30.3
01-06-2018;0200E;53.1
01-07-2018;0200E;51.5
01-08-2018;0200E;36.2
01-09-2018;0200E;44.3
01-10-2018;0200E;201.9
01-11-2018;0200E;201.8
01-12-2018;0200E;4.8
01-01-2018;0076;54.4
01-02-2018;0076;114.3
01-03-2018;0076;70.5
01-04-2018;0076;75.2
01-05-2018;0076;21.1
01-06-2018;0076;0
01-07-2018;0076;17.5
01-08-2018;0076;83.4
01-09-2018;0076;31.1
01-10-2018;0076;140.3
01-11-2018;0076;104.8
01-12-2018;0076;4.3
01-01-2018;1082;261.6
01-02-2018;1082;271.1
01-03-2018;1082;112.0
01-04-2018;1082;160.1
01-05-2018;1082;78.7
01-06-2018;1082;48.9
01-07-2018;1082;55.1
01-08-2018;1082;41.1
01-09-2018;1082;9.7
01-10-2018;1082;175.3
01-11-2018;1082;80.8
01-12-2018;1082;28.8
01-01-2018;2331;50.2
01-02-2018;2331;50.1
01-03-2018;2331;124.2
01-04-2018;2331;79.0
01-05-2018;2331;45.4
01-06-2018;2331;41.8
01-07-2018;2331;45.0
01-08-2018;2331;0.4
01-09-2018;2331;39.4
01-10-2018;2331;15.2
01-11-2018;2331;106.0
01-12-2018;2331;32.1
01-01-2018;3469A;41.4
01-02-2018;3469A;48.0
01-03-2018;3469A;231.2
01-04-2018;3469A;111.8
01-05-2018;3469A;45.6
01-06-2018;3469A;9.6
01-07-2018;3469A;1.8
01-08-2018;3469A;0.0
01-09-2018;3469A;24.3
01-10-2018;3469A;105.6
01-11-2018;3469A;108.6
01-12-2018;3469A;23.7
01-01-2018;5973;61.6
01-02-2018;5973;31.3
01-03-2018;5973;183.1
01-04-2018;5973;66.0
01-05-2018;5973;3.9
01-06-2018;5973;1.6
01-07-2018;5973;0.0
01-08-2018;5973;0.1
01-09-2018;5973;6.1
01-10-2018;5973;116.9
01-11-2018;5973;142.8
01-12-2018;5973;7.6
01-01-2018;5960;43.8
01-02-2018;5960;38.4
01-03-2018;5960;257.6
01-04-2018;5960;98.6
01-05-2018;5960;4.8
01-06-2018;5960;4.6
01-07-2018;5960;0.0
01-08-2018;5960;0.0
01-09-2018;5960;2.1
01-10-2018;5960;105.2
01-11-2018;5960;136.3
01-12-2018;5960;10.0
01-01-2018;5910;43.1
01-02-2018;5910;22.5
01-03-2018;5910;259.4
01-04-2018;5910;80.8
01-05-2018;5910;6.0
01-06-2018;5910;2.4
01-07-2018;5910;0.0
01-08-2018;5910;0.0
01-09-2018;5910;4.4
01-10-2018;5910;103.2
01-11-2018;5910;156.2
01-12-2018;5910;10.9
01-01-2018;6001;82.0
01-02-2018;6001;72.3
01-03-2018;6001;0
01-04-2018;6001;88.9
01-05-2018;6001;7.6
01-06-2018;6001;1.5
01-07-2018;6001;0
01-08-2018;6001;0.0
01-09-2018;6001;0.3
01-10-2018;6001;106.3
01-11-2018;6001;121.1
01-12-2018;6001;25.0
01-01-2018;1111;170.9
01-02-2018;1111;158.1
01-03-2018;1111;135.3
01-04-2018;1111;89.4
01-05-2018;1111;75.9
01-06-2018;1111;96.6
01-07-2018;1111;154.6
01-08-2018;1111;24.6
01-09-2018;1111;17.4
01-10-2018;1111;139.2
01-11-2018;1111;114.3
01-12-2018;1111;32.1
01-01-2018;1109;195.2
01-02-2018;1109;205.2
01-03-2018;1109;187.5
01-04-2018;1109;99.7
01-05-2018;1109;95.2
01-06-2018;1109;88.7
01-07-2018;1109;190.4
01-08-2018;1109;45.9
01-09-2018;1109;25.8
01-10-2018;1109;144.3
01-11-2018;1109;118.7
01-12-2018;1109;30.2
01-01-2018;8500A;12.0
01-02-2018;8500A;49.8
01-03-2018;8500A;8.8
01-04-2018;8500A;38.4
01-05-2018;8500A;29.0
01-06-2018;8500A;42.6
01-07-2018;8500A;4.8
01-08-2018;8500A;65.6
01-09-2018;8500A;98.6
01-10-2018;8500A;186.5
01-11-2018;8500A;109.6
01-12-2018;8500A;9.2
01-01-2018;5000C;72.0
01-02-2018;5000C;88.4
01-03-2018;5000C;337.0
01-04-2018;5000C;130.0
01-05-2018;5000C;2.0
01-06-2018;5000C;0
01-07-2018;5000C;0.2
01-08-2018;5000C;0.0
01-09-2018;5000C;1.2
01-10-2018;5000C;163.0
01-11-2018;5000C;159.4
01-12-2018;5000C;0
01-01-2018;4121;34.6
01-02-2018;4121;61.6
01-03-2018;4121;138.9
01-04-2018;4121;51.6
01-05-2018;4121;75.4
01-06-2018;4121;4.2
01-07-2018;4121;0.0
01-08-2018;4121;9.2
01-09-2018;4121;6.6
01-10-2018;4121;65.0
01-11-2018;4121;67.6
01-12-2018;4121;8.5
01-01-2018;5402;47.3
01-02-2018;5402;28.0
01-03-2018;5402;215.9
01-04-2018;5402;54.2
01-05-2018;5402;25.6
01-06-2018;5402;3.3
01-07-2018;5402;0.0
01-08-2018;5402;0.0
01-09-2018;5402;42.2
01-10-2018;5402;122.7
01-11-2018;5402;101.5
01-12-2018;5402;12.3
01-01-2018;8096;28.3
01-02-2018;8096;55.0
01-03-2018;8096;152.0
01-04-2018;8096;89.8
01-05-2018;8096;78.9
01-06-2018;8096;20.6
01-07-2018;8096;0.0
01-08-2018;8096;17.8
01-09-2018;8096;47.6
01-10-2018;8096;77.8
01-11-2018;8096;74.0
01-12-2018;8096;21.0
01-01-2018;1014;308.9
01-02-2018;1014;240.0
01-03-2018;1014;197.8
01-04-2018;1014;169.1
01-05-2018;1014;120.9
01-06-2018;1014;174.6
01-07-2018;1014;203.3
01-08-2018;1014;38.0
01-09-2018;1014;47.4
01-10-2018;1014;139.2
01-11-2018;1014;123.8
01-12-2018;1014;104.9
01-01-2018;1024E;317.6
01-02-2018;1024E;270.6
01-03-2018;1024E;121.7
01-04-2018;1024E;198.6
01-05-2018;1024E;121.1
01-06-2018;1024E;100.3
01-07-2018;1024E;127.9
01-08-2018;1024E;62.7
01-09-2018;1024E;59.2
01-10-2018;1024E;164.0
01-11-2018;1024E;127.0
01-12-2018;1024E;86.9
01-01-2018;0367;34.1
01-02-2018;0367;91.6
01-03-2018;0367;53.3
01-04-2018;0367;102.2
01-05-2018;0367;86.7
01-06-2018;0367;32.2
01-07-2018;0367;62.0
01-08-2018;0367;109.0
01-09-2018;0367;32.6
01-10-2018;0367;208.0
01-11-2018;0367;0
01-12-2018;0367;10.5
01-01-2018;5530E;23.4
01-02-2018;5530E;20.6
01-03-2018;5530E;191.3
01-04-2018;5530E;33.4
01-05-2018;5530E;40.3
01-06-2018;5530E;4.3
01-07-2018;5530E;0.0
01-08-2018;5530E;0.9
01-09-2018;5530E;65.2
01-10-2018;5530E;0
01-11-2018;5530E;64.9
01-12-2018;5530E;8.4
01-01-2018;5514;31.8
01-02-2018;5514;25.1
01-03-2018;5514;186.8
01-04-2018;5514;28.2
01-05-2018;5514;48.2
01-06-2018;5514;0.9
01-07-2018;5514;0.0
01-08-2018;5514;0.6
01-09-2018;5514;44.8
01-10-2018;5514;74.3
01-11-2018;5514;71.2
01-12-2018;5514;5.5
01-01-2018;3013;27.6
01-02-2018;3013;29.6
01-03-2018;3013;79.8
01-04-2018;3013;73.6
01-05-2018;3013;103.2
01-06-2018;3013;130.2
01-07-2018;3013;9.4
01-08-2018;3013;15.0
01-09-2018;3013;55.4
01-10-2018;3013;81.0
01-11-2018;3013;47.0
01-12-2018;3013;14.0
01-01-2018;4642E;44.0
01-02-2018;4642E;106.1
01-03-2018;4642E;138.6
01-04-2018;4642E;83.8
01-05-2018;4642E;14.2
01-06-2018;4642E;22.2
01-07-2018;4642E;0.0
01-08-2018;4642E;0.0
01-09-2018;4642E;1.4
01-10-2018;4642E;92.2
01-11-2018;4642E;121.4
01-12-2018;4642E;15.4
01-01-2018;9898;46.4
01-02-2018;9898;42.8
01-03-2018;9898;56.4
01-04-2018;9898;153.0
01-05-2018;9898;79.4
01-06-2018;9898;34.8
01-07-2018;9898;9.0
01-08-2018;9898;8.8
01-09-2018;9898;41.8
01-10-2018;9898;121.4
01-11-2018;9898;43.2
01-12-2018;9898;15.8
01-01-2018;5270B;51.2
01-02-2018;5270B;32.4
01-03-2018;5270B;266.2
01-04-2018;5270B;78.0
01-05-2018;5270B;61.4
01-06-2018;5270B;15.4
01-07-2018;5270B;0.0
01-08-2018;5270B;47.0
01-09-2018;5270B;40.4
01-10-2018;5270B;66.8
01-11-2018;5270B;62.2
01-12-2018;5270B;7.4
01-01-2018;9170;98.2
01-02-2018;9170;29.4
01-03-2018;9170;43.8
01-04-2018;9170;74.2
01-05-2018;9170;58.2
01-06-2018;9170;45.6
01-07-2018;9170;60.2
01-08-2018;9170;0.0
01-09-2018;9170;21.8
01-10-2018;9170;39.8
01-11-2018;9170;44.4
01-12-2018;9170;17.7
01-01-2018;C249I;13.1
01-02-2018;C249I;8.7
01-03-2018;C249I;1.3
01-04-2018;C249I;0.7
01-05-2018;C249I;0.0
01-06-2018;C249I;0.0
01-07-2018;C249I;0.0
01-08-2018;C249I;0.1
01-09-2018;C249I;0.2
01-10-2018;C249I;47.7
01-11-2018;C249I;10.4
01-12-2018;C249I;0.1
01-01-2018;C649I;23.1
01-02-2018;C649I;68.9
01-03-2018;C649I;0.2
01-04-2018;C649I;3.6
01-05-2018;C649I;0.1
01-06-2018;C649I;0.2
01-07-2018;C649I;0.0
01-08-2018;C649I;0.3
01-09-2018;C649I;0.3
01-10-2018;C649I;44.5
01-11-2018;C649I;15.9
01-12-2018;C649I;0.5
01-01-2018;C029O;32.6
01-02-2018;C029O;44.7
01-03-2018;C029O;1.0
01-04-2018;C029O;6.0
01-05-2018;C029O;0.2
01-06-2018;C029O;0.2
01-07-2018;C029O;0.0
01-08-2018;C029O;3.4
01-09-2018;C029O;0.7
01-10-2018;C029O;38.6
01-11-2018;C029O;15.6
01-12-2018;C029O;0.0
01-01-2018;2661;22.8
01-02-2018;2661;35.1
01-03-2018;2661;84.8
01-04-2018;2661;46.8
01-05-2018;2661;74.0
01-06-2018;2661;110.0
01-07-2018;2661;57.9
01-08-2018;2661;2.0
01-09-2018;2661;14.1
01-10-2018;2661;27.1
01-11-2018;2661;93.2
01-12-2018;2661;18.7
01-01-2018;1549;54.7
01-02-2018;1549;53.8
01-03-2018;1549;144.4
01-04-2018;1549;54.8
01-05-2018;1549;39.8
01-06-2018;1549;127.0
01-07-2018;1549;54.4
01-08-2018;1549;0.6
01-09-2018;1549;15.1
01-10-2018;1549;42.2
01-11-2018;1549;110.6
01-12-2018;1549;40.6
01-01-2018;9771C;24.6
01-02-2018;9771C;30.2
01-03-2018;9771C;32.4
01-04-2018;9771C;69.8
01-05-2018;9771C;63.0
01-06-2018;9771C;7.1
