FECHA;INDICATIVO;RADIACION
01-01-2017;1387;17600
01-02-2017;1387;21990
01-03-2017;1387;38386
01-04-2017;1387;64510
01-05-2017;1387;61828
01-06-2017;1387;68494
01-07-2017;1387;67580
01-08-2017;1387;62634
01-09-2017;1387;44750
01-10-2017;1387;39435
01-11-2017;1387;20669
01-12-2017;1387;14759
01-01-2017;1387E;15233
01-02-2017;1387E;19342
01-03-2017;1387E;34736
01-04-2017;1387E;57790
01-05-2017;1387E;56796
01-06-2017;1387E;0
01-07-2017;1387E;61772
01-08-2017;1387E;59131
01-09-2017;1387E;0
01-10-2017;1387E;36809
01-11-2017;1387E;18153
01-12-2017;1387E;13173
01-01-2017;1428;18116
01-02-2017;1428;0
01-03-2017;1428;36390
01-04-2017;1428;61537
01-05-2017;1428;57557
01-06-2017;1428;65744
01-07-2017;1428;64785
01-08-2017;1428;61020
01-09-2017;1428;42434
01-10-2017;1428;37731
01-11-2017;1428;20015
01-12-2017;1428;13827
01-01-2017;8178D;25697
01-02-2017;8178D;32047
01-03-2017;8178D;56527
01-04-2017;8178D;66180
01-05-2017;8178D;83034
01-06-2017;8178D;86290
01-07-2017;8178D;85578
01-08-2017;8178D;71568
01-09-2017;8178D;62854
01-10-2017;8178D;48140
01-11-2017;8178D;33708
01-12-2017;8178D;24587
01-01-2017;8019;26121
01-02-2017;8019;33091
01-03-2017;8019;54552
01-04-2017;8019;64264
01-05-2017;8019;84024
01-06-2017;8019;86815
01-07-2017;8019;84608
01-08-2017;8019;0
01-09-2017;8019;59743
01-10-2017;8019;45889
01-11-2017;8019;31826
01-12-2017;8019;26390
01-01-2017;6325O;30368
01-02-2017;6325O;36247
01-03-2017;6325O;58613
01-04-2017;6325O;0
01-05-2017;6325O;84358
01-06-2017;6325O;0
01-07-2017;6325O;0
01-08-2017;6325O;0
01-09-2017;6325O;0
01-10-2017;6325O;49480
01-11-2017;6325O;33963
01-12-2017;6325O;30126
01-01-2017;B954;24152
01-02-2017;B954;33011
