FECHA;INDICATIVO;VIENTO_sup_55
01-01-2021;1387;12
01-02-2021;1387;0
01-03-2021;1387;1
01-04-2021;1387;1
01-05-2021;1387;3
01-06-2021;1387;1
01-07-2021;1387;0
01-08-2021;1387;0
01-09-2021;1387;0
01-10-2021;1387;0
01-11-2021;1387;0
01-12-2021;1387;0
01-01-2021;1387E;0
01-02-2021;1387E;0
01-03-2021;1387E;1
01-04-2021;1387E;0
01-05-2021;1387E;4
01-06-2021;1387E;1
01-07-2021;1387E;0
01-08-2021;1387E;0
01-09-2021;1387E;2
01-10-2021;1387E;7
01-11-2021;1387E;0
01-12-2021;1387E;9
01-01-2021;1428;0
01-02-2021;1428;11
01-03-2021;1428;0
01-04-2021;1428;0
01-05-2021;1428;3
01-06-2021;1428;0
01-07-2021;1428;0
01-08-2021;1428;0
01-09-2021;1428;0
01-10-2021;1428;2
01-11-2021;1428;0
01-12-2021;1428;5
01-01-2021;8175;0
01-02-2021;8175;0
01-03-2021;8175;0
01-04-2021;8175;1
01-05-2021;8175;0
01-06-2021;8175;0
01-07-2021;8175;0
01-08-2021;8175;0
01-09-2021;8175;0
01-10-2021;8175;2
01-11-2021;8175;4
01-12-2021;8175;0
01-01-2021;8178D;0
01-02-2021;8178D;4
01-03-2021;8178D;0
01-04-2021;8178D;0
01-05-2021;8178D;0
01-06-2021;8178D;0
01-07-2021;8178D;1
01-08-2021;8178D;1
01-09-2021;8178D;1
01-10-2021;8178D;1
01-11-2021;8178D;0
01-12-2021;8178D;0
01-01-2021;8025;2
01-02-2021;8025;1
01-03-2021;8025;1
01-04-2021;8025;0
01-05-2021;8025;0
01-06-2021;8025;0
01-07-2021;8025;0
01-08-2021;8025;0
01-09-2021;8025;0
01-10-2021;8025;0
01-11-2021;8025;0
01-12-2021;8025;0
01-01-2021;8019;8
01-02-2021;8019;5
01-03-2021;8019;0
01-04-2021;8019;1
01-05-2021;8019;0
01-06-2021;8019;0
01-07-2021;8019;2
01-08-2021;8019;0
01-09-2021;8019;0
01-10-2021;8019;1
01-11-2021;8019;0
01-12-2021;8019;11
01-01-2021;6325O;0
01-02-2021;6325O;9
01-03-2021;6325O;9
01-04-2021;6325O;10
01-05-2021;6325O;7
01-06-2021;6325O;0
01-07-2021;6325O;5
01-08-2021;6325O;0
01-09-2021;6325O;0
01-10-2021;6325O;5
01-11-2021;6325O;9
01-12-2021;6325O;0
01-01-2021;9091O;0
01-02-2021;9091O;6
01-03-2021;9091O;1
01-04-2021;9091O;0
01-05-2021;9091O;5
01-06-2021;9091O;1
01-07-2021;9091O;0
01-08-2021;9091O;0
01-09-2021;9091O;3
01-10-2021;9091O;2
01-11-2021;9091O;3
01-12-2021;9091O;6
01-01-2021;1212E;9
01-02-2021;1212E;0
01-03-2021;1212E;0
01-04-2021;1212E;0
01-05-2021;1212E;0
01-06-2021;1212E;0
01-07-2021;1212E;1
01-08-2021;1212E;1
01-09-2021;1212E;0
01-10-2021;1212E;5
01-11-2021;1212E;0
01-12-2021;1212E;9
01-01-2021;1249I;5
01-02-2021;1249I;3
01-03-2021;1249I;0
01-04-2021;1249I;0
01-05-2021;1249I;1
01-06-2021;1249I;0
