FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2016;1387;9.5
01-02-2016;1387;8.7
01-03-2016;1387;8.2
01-04-2016;1387;9.1
01-05-2016;1387;12.1
01-06-2016;1387;14.7
01-07-2016;1387;16.6
01-08-2016;1387;16.6
01-09-2016;1387;15.3
01-10-2016;1387;13.1
01-11-2016;1387;10.0
01-12-2016;1387;9.8
01-01-2016;1387E;7.6
01-02-2016;1387E;6.7
01-03-2016;1387E;5.9
01-04-2016;1387E;6.9
01-05-2016;1387E;9.9
01-06-2016;1387E;12.9
01-07-2016;1387E;15.4
01-08-2016;1387E;14.7
01-09-2016;1387E;13.3
01-10-2016;1387E;0
01-11-2016;1387E;6.6
01-12-2016;1387E;6.3
01-01-2016;1428;6.0
01-02-2016;1428;0
01-03-2016;1428;4.4
01-04-2016;1428;5.5
01-05-2016;1428;9.1
01-06-2016;1428;11.8
01-07-2016;1428;14.0
01-08-2016;1428;13.9
01-09-2016;1428;11.8
01-10-2016;1428;10.4
01-11-2016;1428;6.4
01-12-2016;1428;5.8
01-01-2016;8175;3.5
01-02-2016;8175;3.2
01-03-2016;8175;2.7
01-04-2016;8175;6.4
01-05-2016;8175;9.4
01-06-2016;8175;14.7
01-07-2016;8175;18.3
01-08-2016;8175;17.3
01-09-2016;8175;14.1
01-10-2016;8175;11.2
01-11-2016;8175;4.3
01-12-2016;8175;2.5
01-01-2016;8178D;4.0
01-02-2016;8178D;3.6
01-03-2016;8178D;3.6
01-04-2016;8178D;7.3
01-05-2016;8178D;10.0
01-06-2016;8178D;15.1
01-07-2016;8178D;19.0
01-08-2016;8178D;18.1
01-09-2016;8178D;15.1
01-10-2016;8178D;11.6
01-11-2016;8178D;5.3
01-12-2016;8178D;3.1
01-01-2016;8025;8.7
01-02-2016;8025;9.7
01-03-2016;8025;9.1
01-04-2016;8025;12.1
01-05-2016;8025;14.3
01-06-2016;8025;18.8
01-07-2016;8025;21.5
01-08-2016;8025;21.4
01-09-2016;8025;19.4
01-10-2016;8025;16.2
01-11-2016;8025;10.8
01-12-2016;8025;8.9
01-01-2016;8019;8.0
01-02-2016;8019;9.0
01-03-2016;8019;8.6
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;18.7
01-07-2016;8019;0
01-08-2016;8019;22.1
01-09-2016;8019;0
01-10-2016;8019;17.2
01-11-2016;8019;11.7
01-12-2016;8019;9.9
01-01-2016;6325O;0
01-02-2016;6325O;9.9
01-03-2016;6325O;9.9
01-04-2016;6325O;13.0
01-05-2016;6325O;15.2
01-06-2016;6325O;18.9
01-07-2016;6325O;23.4
01-08-2016;6325O;23.3
01-09-2016;6325O;21.4
01-10-2016;6325O;18.5
01-11-2016;6325O;12.8
01-12-2016;6325O;11.1
01-01-2016;9091O;3.2
01-02-2016;9091O;1.9
01-03-2016;9091O;2.6
01-04-2016;9091O;3.7
01-05-2016;9091O;7.4
01-06-2016;9091O;10.5
01-07-2016;9091O;13.0
01-08-2016;9091O;11.9
01-09-2016;9091O;10.8
01-10-2016;9091O;6.1
01-11-2016;9091O;2.9
01-12-2016;9091O;1.9
01-01-2016;1212E;8.0
01-02-2016;1212E;0
01-03-2016;1212E;6.2
01-04-2016;1212E;7.4
01-05-2016;1212E;0
01-06-2016;1212E;13.8
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;7.6
01-12-2016;1212E;0
01-01-2016;1208H;9.3
01-02-2016;1208H;8.2
01-03-2016;1208H;8.1
01-04-2016;1208H;9.8
01-05-2016;1208H;12.8
01-06-2016;1208H;15.9
01-07-2016;1208H;17.8
01-08-2016;1208H;18.0
01-09-2016;1208H;17.0
01-10-2016;1208H;13.5
01-11-2016;1208H;9.2
01-12-2016;1208H;9.0
01-01-2016;1249I;6.5
01-02-2016;1249I;5.2
01-03-2016;1249I;4.7
01-04-2016;1249I;7.0
01-05-2016;1249I;10.3
01-06-2016;1249I;13.2
01-07-2016;1249I;15.2
01-08-2016;1249I;15.1
01-09-2016;1249I;14.3
01-10-2016;1249I;11.0
01-11-2016;1249I;6.5
01-12-2016;1249I;6.1
01-01-2016;2444;2.1
01-02-2016;2444;0.7
01-03-2016;2444;0.0
01-04-2016;2444;3.5
01-05-2016;2444;6.8
01-06-2016;2444;11.4
01-07-2016;2444;15.1
01-08-2016;2444;15.1
01-09-2016;2444;11.4
01-10-2016;2444;8.1
01-11-2016;2444;2.6
01-12-2016;2444;1.1
01-01-2016;4452;7.4
01-02-2016;4452;6.6
01-03-2016;4452;5.7
01-04-2016;4452;9.2
01-05-2016;4452;11.9
01-06-2016;4452;16.2
01-07-2016;4452;19.6
01-08-2016;4452;19.1
01-09-2016;4452;15.9
01-10-2016;4452;13.0
01-11-2016;4452;7.0
01-12-2016;4452;4.6
01-01-2016;B954;9.9
01-02-2016;B954;9.5
01-03-2016;B954;8.4
01-04-2016;B954;12.3
01-05-2016;B954;13.9
01-06-2016;B954;0
01-07-2016;B954;21.0
01-08-2016;B954;21.1
01-09-2016;B954;19.4
01-10-2016;B954;0
01-11-2016;B954;11.8
01-12-2016;B954;10.0
01-01-2016;B893;8.8
01-02-2016;B893;8.2
01-03-2016;B893;7.7
01-04-2016;B893;10.9
01-05-2016;B893;0
01-06-2016;B893;17.0
01-07-2016;B893;0
01-08-2016;B893;19.9
01-09-2016;B893;18.5
01-10-2016;B893;16.2
01-11-2016;B893;11.3
01-12-2016;B893;0
01-01-2016;B228;10.4
01-02-2016;B228;9.8
01-03-2016;B228;9.9
01-04-2016;B228;12.8
01-05-2016;B228;15.0
01-06-2016;B228;19.5
01-07-2016;B228;22.2
01-08-2016;B228;22.0
01-09-2016;B228;0
01-10-2016;B228;17.7
01-11-2016;B228;13.5
01-12-2016;B228;10.7
01-01-2016;B278;6.0
01-02-2016;B278;5.8
01-03-2016;B278;6.0
01-04-2016;B278;9.7
01-05-2016;B278;11.9
01-06-2016;B278;15.9
01-07-2016;B278;18.8
01-08-2016;B278;18.2
01-09-2016;B278;16.8
01-10-2016;B278;14.8
01-11-2016;B278;10.3
01-12-2016;B278;6.5
01-01-2016;0200E;7.3
01-02-2016;0200E;6.9
01-03-2016;0200E;6.6
01-04-2016;0200E;9.3
01-05-2016;0200E;11.8
01-06-2016;0200E;16.7
01-07-2016;0200E;20.1
01-08-2016;0200E;19.8
01-09-2016;0200E;17.7
01-10-2016;0200E;14.1
01-11-2016;0200E;9.3
01-12-2016;0200E;8.6
01-01-2016;0076;8.2
01-02-2016;0076;7.4
01-03-2016;0076;8.0
01-04-2016;0076;11.2
01-05-2016;0076;13.8
01-06-2016;0076;18.5
01-07-2016;0076;21.8
01-08-2016;0076;22.0
01-09-2016;0076;19.4
01-10-2016;0076;15.7
01-11-2016;0076;10.2
01-12-2016;0076;7.1
01-01-2016;1082;6.7
01-02-2016;1082;5.8
01-03-2016;1082;5.7
01-04-2016;1082;7.4
01-05-2016;1082;11.0
01-06-2016;1082;13.4
01-07-2016;1082;15.8
01-08-2016;1082;15.5
01-09-2016;1082;14.8
01-10-2016;1082;10.4
01-11-2016;1082;7.4
01-12-2016;1082;6.3
01-01-2016;2331;1.9
01-02-2016;2331;0.3
01-03-2016;2331;0.4
01-04-2016;2331;2.4
01-05-2016;2331;5.4
01-06-2016;2331;9.4
01-07-2016;2331;12.3
01-08-2016;2331;11.6
01-09-2016;2331;10.0
01-10-2016;2331;6.1
01-11-2016;2331;1.2
01-12-2016;2331;-0.1
01-01-2016;3469A;6.2
01-02-2016;3469A;5.3
01-03-2016;3469A;5.0
01-04-2016;3469A;8.2
01-05-2016;3469A;10.8
01-06-2016;3469A;15.6
01-07-2016;3469A;20.3
01-08-2016;3469A;20.1
01-09-2016;3469A;16.2
01-10-2016;3469A;12.7
01-11-2016;3469A;6.8
01-12-2016;3469A;4.5
01-01-2016;5973;12.2
01-02-2016;5973;11.6
01-03-2016;5973;11.1
01-04-2016;5973;14.1
01-05-2016;5973;16.4
01-06-2016;5973;19.8
01-07-2016;5973;22.8
01-08-2016;5973;0
01-09-2016;5973;21.2
01-10-2016;5973;18.8
01-11-2016;5973;13.1
01-12-2016;5973;12.2
01-01-2016;5960;7.6
01-02-2016;5960;6.4
01-03-2016;5960;4.7
01-04-2016;5960;9.6
01-05-2016;5960;12.8
01-06-2016;5960;15.4
01-07-2016;5960;19.3
01-08-2016;5960;19.6
01-09-2016;5960;15.8
01-10-2016;5960;14.0
01-11-2016;5960;8.3
01-12-2016;5960;6.7
01-01-2016;5910;9.5
01-02-2016;5910;8.7
01-03-2016;5910;7.4
01-04-2016;5910;11.2
01-05-2016;5910;14.3
01-06-2016;5910;17.6
01-07-2016;5910;20.9
01-08-2016;5910;21.3
01-09-2016;5910;17.8
01-10-2016;5910;15.4
01-11-2016;5910;10.0
01-12-2016;5910;8.8
01-01-2016;6001;0
01-02-2016;6001;0
01-03-2016;6001;0
01-04-2016;6001;0
01-05-2016;6001;0
01-06-2016;6001;18.9
01-07-2016;6001;21.8
01-08-2016;6001;22.4
01-09-2016;6001;20.3
01-10-2016;6001;18.2
01-11-2016;6001;0
01-12-2016;6001;14.3
01-01-2016;1111;9.2
01-02-2016;1111;8.0
01-03-2016;1111;8.1
01-04-2016;1111;9.2
01-05-2016;1111;12.2
01-06-2016;1111;14.5
01-07-2016;1111;16.7
01-08-2016;1111;17.3
01-09-2016;1111;16.5
01-10-2016;1111;13.1
01-11-2016;1111;9.6
01-12-2016;1111;10.0
01-01-2016;1109;0
01-02-2016;1109;0
01-03-2016;1109;0
01-04-2016;1109;0
01-05-2016;1109;0
01-06-2016;1109;0
01-07-2016;1109;0
01-08-2016;1109;0
01-09-2016;1109;0
01-10-2016;1109;0
01-11-2016;1109;0
01-12-2016;1109;7.0
01-01-2016;8500A;8.5
01-02-2016;8500A;8.8
01-03-2016;8500A;8.7
01-04-2016;8500A;11.7
01-05-2016;8500A;14.2
01-06-2016;8500A;18.6
01-07-2016;8500A;21.4
01-08-2016;8500A;21.5
01-09-2016;8500A;19.4
01-10-2016;8500A;16.6
01-11-2016;8500A;10.6
01-12-2016;8500A;8.8
01-01-2016;5000C;13.0
01-02-2016;5000C;11.9
01-03-2016;5000C;11.4
01-04-2016;5000C;14.1
01-05-2016;5000C;15.9
01-06-2016;5000C;18.9
01-07-2016;5000C;21.4
01-08-2016;5000C;22.2
01-09-2016;5000C;20.5
01-10-2016;5000C;17.8
01-11-2016;5000C;13.6
01-12-2016;5000C;0
01-01-2016;4121;5.0
01-02-2016;4121;4.0
01-03-2016;4121;4.3
01-04-2016;4121;7.9
01-05-2016;4121;10.8
01-06-2016;4121;16.3
01-07-2016;4121;20.9
01-08-2016;4121;19.9
01-09-2016;4121;16.0
01-10-2016;4121;11.9
01-11-2016;4121;5.5
01-12-2016;4121;2.9
01-01-2016;5402;6.8
01-02-2016;5402;5.7
01-03-2016;5402;4.5
01-04-2016;5402;9.5
01-05-2016;5402;12.1
01-06-2016;5402;16.2
01-07-2016;5402;0
01-08-2016;5402;0
01-09-2016;5402;17.1
01-10-2016;5402;14.2
01-11-2016;5402;0
01-12-2016;5402;5.6
01-01-2016;8096;2.9
01-02-2016;8096;1.7
01-03-2016;8096;1.8
01-04-2016;8096;5.1
01-05-2016;8096;8.2
01-06-2016;8096;13.7
01-07-2016;8096;17.8
01-08-2016;8096;16.9
01-09-2016;8096;12.7
01-10-2016;8096;9.7
01-11-2016;8096;3.6
01-12-2016;8096;1.2
01-01-2016;1014;7.3
01-02-2016;1014;6.2
01-03-2016;1014;7.3
01-04-2016;1014;9.5
01-05-2016;1014;12.9
01-06-2016;1014;15.5
01-07-2016;1014;18.0
01-08-2016;1014;17.5
01-09-2016;1014;16.1
01-10-2016;1014;11.9
01-11-2016;1014;8.0
01-12-2016;1014;5.7
01-01-2016;1024E;7.6
01-02-2016;1024E;6.1
01-03-2016;1024E;6.2
01-04-2016;1024E;8.6
01-05-2016;1024E;11.5
01-06-2016;1024E;14.0
01-07-2016;1024E;16.5
01-08-2016;1024E;16.8
01-09-2016;1024E;15.4
01-10-2016;1024E;11.9
01-11-2016;1024E;8.3
01-12-2016;1024E;8.5
01-01-2016;0367;3.2
01-02-2016;0367;0
01-03-2016;0367;3.3
01-04-2016;0367;0
01-05-2016;0367;9.3
01-06-2016;0367;13.9
01-07-2016;0367;0
01-08-2016;0367;16.6
01-09-2016;0367;14.6
01-10-2016;0367;11.5
01-11-2016;0367;0
01-12-2016;0367;2.3
01-01-2016;5530E;2.9
01-02-2016;5530E;3.0
01-03-2016;5530E;1.5
01-04-2016;5530E;6.6
01-05-2016;5530E;9.7
01-06-2016;5530E;14.4
01-07-2016;5530E;18.8
01-08-2016;5530E;17.4
01-09-2016;5530E;13.4
01-10-2016;5530E;10.2
01-11-2016;5530E;4.0
01-12-2016;5530E;2.2
01-01-2016;5514;3.7
01-02-2016;5514;3.4
01-03-2016;5514;2.4
01-04-2016;5514;7.1
01-05-2016;5514;10.0
01-06-2016;5514;15.2
01-07-2016;5514;19.4
01-08-2016;5514;18.3
01-09-2016;5514;14.8
01-10-2016;5514;11.3
01-11-2016;5514;5.1
01-12-2016;5514;2.9
01-01-2016;3013;0.8
01-02-2016;3013;-1.1
01-03-2016;3013;-1.2
01-04-2016;3013;2.0
01-05-2016;3013;4.7
01-06-2016;3013;8.7
01-07-2016;3013;12.4
01-08-2016;3013;11.0
01-09-2016;3013;8.0
01-10-2016;3013;4.9
01-11-2016;3013;-0.2
01-12-2016;3013;-2.7
01-01-2016;4642E;9.1
01-02-2016;4642E;7.9
01-03-2016;4642E;7.2
01-04-2016;4642E;11.0
01-05-2016;4642E;13.3
01-06-2016;4642E;17.0
01-07-2016;4642E;20.3
01-08-2016;4642E;20.2
01-09-2016;4642E;17.7
01-10-2016;4642E;14.8
01-11-2016;4642E;9.4
01-12-2016;4642E;7.9
01-01-2016;9898;4.1
01-02-2016;9898;3.2
01-03-2016;9898;3.6
01-04-2016;9898;6.2
01-05-2016;9898;9.1
01-06-2016;9898;13.9
01-07-2016;9898;16.9
01-08-2016;9898;16.0
01-09-2016;9898;14.5
01-10-2016;9898;10.5
01-11-2016;9898;4.8
01-12-2016;9898;1.8
01-01-2016;5270B;6.8
01-02-2016;5270B;6.4
01-03-2016;5270B;5.9
01-04-2016;5270B;9.7
01-05-2016;5270B;12.5
01-06-2016;5270B;18.7
01-07-2016;5270B;22.8
01-08-2016;5270B;21.9
01-09-2016;5270B;18.8
01-10-2016;5270B;0
01-11-2016;5270B;8.4
01-12-2016;5270B;7.0
01-01-2016;9170;3.6
01-02-2016;9170;3.2
01-03-2016;9170;4.2
01-04-2016;9170;5.4
01-05-2016;9170;9.4
01-06-2016;9170;13.5
01-07-2016;9170;16.3
01-08-2016;9170;15.5
01-09-2016;9170;13.7
01-10-2016;9170;8.9
01-11-2016;9170;5.1
01-12-2016;9170;3.4
01-01-2016;C249I;16.4
01-02-2016;C249I;16.0
01-03-2016;C249I;15.9
01-04-2016;C249I;16.5
01-05-2016;C249I;17.9
01-06-2016;C249I;19.8
01-07-2016;C249I;0
01-08-2016;C249I;22.2
01-09-2016;C249I;21.6
01-10-2016;C249I;20.5
01-11-2016;C249I;18.2
01-12-2016;C249I;17.5
01-01-2016;C649I;17.0
01-02-2016;C649I;16.2
01-03-2016;C649I;15.6
01-04-2016;C649I;16.7
01-05-2016;C649I;0
01-06-2016;C649I;0
01-07-2016;C649I;0
01-08-2016;C649I;0
01-09-2016;C649I;0
01-10-2016;C649I;20.3
01-11-2016;C649I;18.2
01-12-2016;C649I;0
01-01-2016;C029O;14.5
01-02-2016;C029O;0
01-03-2016;C029O;14.2
01-04-2016;C029O;15.4
01-05-2016;C029O;17.1
01-06-2016;C029O;19.2
01-07-2016;C029O;0
01-08-2016;C029O;21.9
01-09-2016;C029O;0
01-10-2016;C029O;0
01-11-2016;C029O;16.8
01-12-2016;C029O;15.9
01-01-2016;2661;1.4
01-02-2016;2661;0.3
01-03-2016;2661;0.0
01-04-2016;2661;2.9
01-05-2016;2661;6.2
01-06-2016;2661;9.8
01-07-2016;2661;12.7
01-08-2016;2661;12.6
01-09-2016;2661;10.0
01-10-2016;2661;7.6
01-11-2016;2661;1.5
01-12-2016;2661;0.8
01-01-2016;1549;4.1
01-02-2016;1549;2.8
01-03-2016;1549;3.2
01-04-2016;1549;5.6
