FECHA;INDICATIVO;DIAS_SOL
01-01-2018;1387E;3
01-02-2018;1387E;5
01-03-2018;1387E;0
01-04-2018;1387E;2
01-05-2018;1387E;5
01-06-2018;1387E;5
01-07-2018;1387E;4
01-08-2018;1387E;15
01-09-2018;1387E;10
01-10-2018;1387E;12
01-11-2018;1387E;3
01-12-2018;1387E;5
01-01-2018;1428;1
01-02-2018;1428;3
01-03-2018;1428;0
01-04-2018;1428;1
01-05-2018;1428;9
01-06-2018;1428;5
01-07-2018;1428;3
01-08-2018;1428;13
01-09-2018;1428;9
01-10-2018;1428;9
01-11-2018;1428;1
01-12-2018;1428;3
01-01-2018;8175;4
01-02-2018;8175;7
01-03-2018;8175;2
01-04-2018;8175;2
01-05-2018;8175;2
01-06-2018;8175;14
01-07-2018;8175;25
01-08-2018;8175;10
01-09-2018;8175;3
01-10-2018;8175;6
01-11-2018;8175;1
01-12-2018;8175;4
01-01-2018;8019;9
01-02-2018;8019;6
01-03-2018;8019;3
01-04-2018;8019;6
01-05-2018;8019;8
01-06-2018;8019;15
01-07-2018;8019;21
01-08-2018;8019;9
01-09-2018;8019;3
01-10-2018;8019;8
01-11-2018;8019;0
01-12-2018;8019;11
01-01-2018;6325O;12
01-02-2018;6325O;6
01-03-2018;6325O;4
01-04-2018;6325O;7
01-05-2018;6325O;8
01-06-2018;6325O;13
01-07-2018;6325O;23
01-08-2018;6325O;19
01-09-2018;6325O;7
01-10-2018;6325O;7
01-11-2018;6325O;4
01-12-2018;6325O;9
01-01-2018;9091O;0
01-02-2018;9091O;0
01-03-2018;9091O;0
01-04-2018;9091O;1
01-05-2018;9091O;0
01-06-2018;9091O;3
01-07-2018;9091O;1
01-08-2018;9091O;3
01-09-2018;9091O;3
01-10-2018;9091O;3
01-11-2018;9091O;0
01-12-2018;9091O;1
01-01-2018;1212E;2
01-02-2018;1212E;2
01-03-2018;1212E;0
01-04-2018;1212E;2
01-05-2018;1212E;5
01-06-2018;1212E;1
01-07-2018;1212E;2
01-08-2018;1212E;3
01-09-2018;1212E;3
01-10-2018;1212E;6
01-11-2018;1212E;3
01-12-2018;1212E;2
01-01-2018;1208H;2
01-02-2018;1208H;3
01-03-2018;1208H;1
01-04-2018;1208H;3
01-05-2018;1208H;1
01-06-2018;1208H;3
01-07-2018;1208H;1
01-08-2018;1208H;5
01-09-2018;1208H;5
01-10-2018;1208H;9
01-11-2018;1208H;5
01-12-2018;1208H;2
01-01-2018;1249I;2
01-02-2018;1249I;3
01-03-2018;1249I;1
01-04-2018;1249I;2
01-05-2018;1249I;3
01-06-2018;1249I;0
01-07-2018;1249I;1
01-08-2018;1249I;6
01-09-2018;1249I;1
01-10-2018;1249I;5
01-11-2018;1249I;3
01-12-2018;1249I;2
01-01-2018;4452;9
01-02-2018;4452;11
01-03-2018;4452;3
01-04-2018;4452;3
01-05-2018;4452;5
01-06-2018;4452;7
01-07-2018;4452;19
01-08-2018;4452;20
01-09-2018;4452;13
01-10-2018;4452;10
