FECHA;INDICATIVO;TEMP_MAX
01-05-2018;4452;30.9(17)
01-06-2018;4452;38.5(17)
01-07-2018;4452;36.1(09)
01-08-2018;4452;44.7(03)
01-09-2018;4452;40.4(01)
01-10-2018;4452;32.9(04)
01-11-2018;4452;21.2(17)
01-12-2018;4452;19.4(06)
01-01-2018;B954;22.2(04)
01-02-2018;B954;18.0(17)
01-03-2018;B954;21.7(29)
01-04-2018;B954;23.0(24)
01-05-2018;B954;25.7(31)
01-06-2018;B954;30.5(22)
01-07-2018;B954;33.1(16)
01-08-2018;B954;37.0(05)
01-09-2018;B954;30.4(13)
01-10-2018;B954;27.2(04)
01-11-2018;B954;21.7(12)
01-12-2018;B954;21.2(06)
01-01-2018;B893;21.2(04)
01-02-2018;B893;20.1(17)
01-03-2018;B893;20.2(28)
01-04-2018;B893;25.2(24)
01-05-2018;B893;24.9(25)
01-06-2018;B893;30.6(28)
01-07-2018;B893;33.7(09)
01-08-2018;B893;35.5(04)
01-09-2018;B893;0
01-10-2018;B893;27.0(11)
01-11-2018;B893;22.5(13)
01-12-2018;B893;21.6(04)
01-01-2018;B228;22.7(04)
01-02-2018;B228;18.9(17)
01-03-2018;B228;22.5(28)
01-04-2018;B228;26.8(23)
01-05-2018;B228;27.5(24)
01-06-2018;B228;33.3(30)
01-07-2018;B228;34.8(14)
01-08-2018;B228;37.4(05)
01-09-2018;B228;31.1(17)
01-10-2018;B228;28.2(01)
01-11-2018;B228;24.5(13)
01-12-2018;B228;23.1(09)
01-01-2018;B278;22.0(04)
01-02-2018;B278;17.5(17)
01-03-2018;B278;23.5(29)
01-04-2018;B278;26.9(23)
01-05-2018;B278;28.5(24)
01-06-2018;B278;33.5(30)
01-07-2018;B278;35.7(14)
01-08-2018;B278;38.7(05)
01-09-2018;B278;32.5(03)
01-10-2018;B278;28.9(01)
01-11-2018;B278;23.6(13)
01-12-2018;B278;22.1(04)
01-01-2018;0200E;19.8(04)
01-02-2018;0200E;16.8(15)
01-03-2018;0200E;19.9(10)
01-04-2018;0200E;25.1(25)
01-05-2018;0200E;25.3(24)
01-06-2018;0200E;30.2(30)
01-07-2018;0200E;33.6(31)
01-08-2018;0200E;37.2(04)
01-09-2018;0200E;30.4(20)
01-10-2018;0200E;25.6(04)
01-11-2018;0200E;21.4(11)
01-12-2018;0200E;19.0(05)
01-01-2018;0076;23.8(21)
01-02-2018;0076;17.0(15)
01-03-2018;0076;20.5(12)
01-04-2018;0076;25.5(25)
01-05-2018;0076;25.2(25)
01-06-2018;0076;0
01-07-2018;0076;31.7(31)
01-08-2018;0076;37.0(04)
01-09-2018;0076;29.7(20)
01-10-2018;0076;26.0(03)
01-11-2018;0076;21.7(11)
01-12-2018;0076;20.3(22)
01-01-2018;1082;21.1(04)
01-02-2018;1082;21.2(15)
01-03-2018;1082;20.7(10)
01-04-2018;1082;30.5(18)
01-05-2018;1082;24.1(06)
01-06-2018;1082;29.8(24)
01-07-2018;1082;30.9(23)
01-08-2018;1082;38.8(06)
01-09-2018;1082;36.3(17)
01-10-2018;1082;30.0(13)
01-11-2018;1082;23.6(15)
01-12-2018;1082;20.4(04)
01-01-2018;2331;13.9(03)
01-02-2018;2331;13.0(25)
01-03-2018;2331;16.4(27)
01-04-2018;2331;24.8(18)
01-05-2018;2331;24.1(07)
01-06-2018;2331;31.4(26)
01-07-2018;2331;32.8(26)
01-08-2018;2331;36.7(06)
01-09-2018;2331;32.7(02)
01-10-2018;2331;26.7(05)
01-11-2018;2331;17.1(04)
01-12-2018;2331;15.3(05)
01-01-2018;3469A;17.4(20)
01-02-2018;3469A;18.3(16)
01-03-2018;3469A;22.1(27)
01-04-2018;3469A;27.9(25)
01-05-2018;3469A;29.0(17)
01-06-2018;3469A;37.6(24)
01-07-2018;3469A;35.4(31)
01-08-2018;3469A;42.4(03)
01-09-2018;3469A;37.9(01)
01-10-2018;3469A;31.0(04)
01-11-2018;3469A;19.6(02)
01-12-2018;3469A;18.7(05)
01-01-2018;5973;18.4(24)
01-02-2018;5973;19.6(20)
01-03-2018;5973;20.3(28)
01-04-2018;5973;23.5(23)
01-05-2018;5973;26.8(15)
01-06-2018;5973;30.7(17)
01-07-2018;5973;30.9(07)
01-08-2018;5973;34.8(03)
