FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2016;1387;20
01-02-2016;1387;18
01-03-2016;1387;17
01-04-2016;1387;15
01-05-2016;1387;15
01-06-2016;1387;7
01-07-2016;1387;0
01-08-2016;1387;3
01-09-2016;1387;7
01-10-2016;1387;6
01-11-2016;1387;14
01-12-2016;1387;5
01-01-2016;1387E;0
01-02-2016;1387E;0
01-03-2016;1387E;0
01-04-2016;1387E;14
01-05-2016;1387E;15
01-06-2016;1387E;0
01-07-2016;1387E;0
01-08-2016;1387E;2
01-09-2016;1387E;6
01-10-2016;1387E;0
01-11-2016;1387E;14
01-12-2016;1387E;6
01-01-2016;1428;21
01-02-2016;1428;18
01-03-2016;1428;16
01-04-2016;1428;16
01-05-2016;1428;16
01-06-2016;1428;4
01-07-2016;1428;0
01-08-2016;1428;3
01-09-2016;1428;4
01-10-2016;1428;6
01-11-2016;1428;13
01-12-2016;1428;4
01-01-2016;8175;5
01-02-2016;8175;4
01-03-2016;8175;6
01-04-2016;8175;5
01-05-2016;8175;9
01-06-2016;8175;0
01-07-2016;8175;0
01-08-2016;8175;2
01-09-2016;8175;1
01-10-2016;8175;9
01-11-2016;8175;8
01-12-2016;8175;6
01-01-2016;8178D;5
01-02-2016;8178D;6
01-03-2016;8178D;7
01-04-2016;8178D;8
01-05-2016;8178D;7
01-06-2016;8178D;0
01-07-2016;8178D;0
01-08-2016;8178D;3
01-09-2016;8178D;1
01-10-2016;8178D;8
01-11-2016;8178D;7
01-12-2016;8178D;6
01-01-2016;8025;1
01-02-2016;8025;0
01-03-2016;8025;2
01-04-2016;8025;4
01-05-2016;8025;3
01-06-2016;8025;0
01-07-2016;8025;1
01-08-2016;8025;0
01-09-2016;8025;2
01-10-2016;8025;4
01-11-2016;8025;6
01-12-2016;8025;7
01-01-2016;8019;2
01-02-2016;8019;2
01-03-2016;8019;3
01-04-2016;8019;2
01-05-2016;8019;3
01-06-2016;8019;0
01-07-2016;8019;0
01-08-2016;8019;0
01-09-2016;8019;1
01-10-2016;8019;4
01-11-2016;8019;5
01-12-2016;8019;7
01-01-2016;6325O;1
01-02-2016;6325O;1
01-03-2016;6325O;1
01-04-2016;6325O;1
01-05-2016;6325O;3
01-06-2016;6325O;0
01-07-2016;6325O;0
01-08-2016;6325O;0
01-09-2016;6325O;0
01-10-2016;6325O;1
01-11-2016;6325O;4
01-12-2016;6325O;5
01-01-2016;9091O;12
01-02-2016;9091O;14
01-03-2016;9091O;14
01-04-2016;9091O;16
01-05-2016;9091O;9
01-06-2016;9091O;5
01-07-2016;9091O;3
01-08-2016;9091O;2
01-09-2016;9091O;8
01-10-2016;9091O;4
01-11-2016;9091O;10
01-12-2016;9091O;5
01-01-2016;1212E;16
01-02-2016;1212E;14
01-03-2016;1212E;19
01-04-2016;1212E;15
01-05-2016;1212E;12
01-06-2016;1212E;6
01-07-2016;1212E;8
01-08-2016;1212E;5
01-09-2016;1212E;6
01-10-2016;1212E;5
01-11-2016;1212E;13
01-12-2016;1212E;5
01-01-2016;1208H;18
01-02-2016;1208H;14
01-03-2016;1208H;18
01-04-2016;1208H;14
01-05-2016;1208H;12
01-06-2016;1208H;8
01-07-2016;1208H;7
01-08-2016;1208H;3
01-09-2016;1208H;7
01-10-2016;1208H;3
01-11-2016;1208H;11
01-12-2016;1208H;4
01-01-2016;1249I;18
01-02-2016;1249I;17
01-03-2016;1249I;19
01-04-2016;1249I;12
01-05-2016;1249I;13
01-06-2016;1249I;8
01-07-2016;1249I;4
01-08-2016;1249I;7
01-09-2016;1249I;7
01-10-2016;1249I;6
01-11-2016;1249I;12
01-12-2016;1249I;4
01-01-2016;2444;7
01-02-2016;2444;10
01-03-2016;2444;6
01-04-2016;2444;12
01-05-2016;2444;10
01-06-2016;2444;2
01-07-2016;2444;3
01-08-2016;2444;0
01-09-2016;2444;1
01-10-2016;2444;9
01-11-2016;2444;8
01-12-2016;2444;3
01-01-2016;4452;10
01-02-2016;4452;7
01-03-2016;4452;5
01-04-2016;4452;10
01-05-2016;4452;9
01-06-2016;4452;0
01-07-2016;4452;2
01-08-2016;4452;0
01-09-2016;4452;1
01-10-2016;4452;7
01-11-2016;4452;7
01-12-2016;4452;4
01-01-2016;B954;0
01-02-2016;B954;5
01-03-2016;B954;4
01-04-2016;B954;3
01-05-2016;B954;1
01-06-2016;B954;1
01-07-2016;B954;0
01-08-2016;B954;1
01-09-2016;B954;2
01-10-2016;B954;6
01-11-2016;B954;6
01-12-2016;B954;11
01-01-2016;B893;3
01-02-2016;B893;8
01-03-2016;B893;7
01-04-2016;B893;6
01-05-2016;B893;3
01-06-2016;B893;1
01-07-2016;B893;0
01-08-2016;B893;0
01-09-2016;B893;6
01-10-2016;B893;3
01-11-2016;B893;7
01-12-2016;B893;7
01-01-2016;B228;3
01-02-2016;B228;7
01-03-2016;B228;5
01-04-2016;B228;6
01-05-2016;B228;2
01-06-2016;B228;2
01-07-2016;B228;0
01-08-2016;B228;0
01-09-2016;B228;6
01-10-2016;B228;6
01-11-2016;B228;8
01-12-2016;B228;7
01-01-2016;B278;2
01-02-2016;B278;6
01-03-2016;B278;4
01-04-2016;B278;5
01-05-2016;B278;3
01-06-2016;B278;2
01-07-2016;B278;0
01-08-2016;B278;1
01-09-2016;B278;6
01-10-2016;B278;8
01-11-2016;B278;8
01-12-2016;B278;5
01-01-2016;0200E;0
01-02-2016;0200E;6
01-03-2016;0200E;4
01-04-2016;0200E;11
01-05-2016;0200E;9
01-06-2016;0200E;2
01-07-2016;0200E;2
01-08-2016;0200E;3
01-09-2016;0200E;3
01-10-2016;0200E;8
01-11-2016;0200E;4
01-12-2016;0200E;4
01-01-2016;0076;1
01-02-2016;0076;7
01-03-2016;0076;4
01-04-2016;0076;10
01-05-2016;0076;0
01-06-2016;0076;2
01-07-2016;0076;4
01-08-2016;0076;0
01-09-2016;0076;3
01-10-2016;0076;10
01-11-2016;0076;7
01-12-2016;0076;3
01-01-2016;1082;13
01-02-2016;1082;17
01-03-2016;1082;15
01-04-2016;1082;11
01-05-2016;1082;10
01-06-2016;1082;5
01-07-2016;1082;10
01-08-2016;1082;4
01-09-2016;1082;10
01-10-2016;1082;4
01-11-2016;1082;12
01-12-2016;1082;5
01-01-2016;2331;14
01-02-2016;2331;12
01-03-2016;2331;11
01-04-2016;2331;10
01-05-2016;2331;11
01-06-2016;2331;2
01-07-2016;2331;1
01-08-2016;2331;1
01-09-2016;2331;3
01-10-2016;2331;4
01-11-2016;2331;8
01-12-2016;2331;2
01-01-2016;3469A;13
01-02-2016;3469A;8
01-03-2016;3469A;6
01-04-2016;3469A;10
01-05-2016;3469A;10
01-06-2016;3469A;1
01-07-2016;3469A;2
01-08-2016;3469A;0
01-09-2016;3469A;1
01-10-2016;3469A;6
01-11-2016;3469A;9
01-12-2016;3469A;5
01-01-2016;5973;9
