FECHA;INDICATIVO;TEMP_MIN
01-01-2023;1387;2.9(30)
01-02-2023;1387;2.5(24)
01-03-2023;1387;3.4(02)
01-04-2023;1387;7.4(05)
01-05-2023;1387;11.8(01)
01-06-2023;1387;14.3(02)
01-07-2023;1387;14.4(17)
01-08-2023;1387;14.6(05)
01-09-2023;1387;14.1(23)
01-10-2023;1387;10.9(30)
01-11-2023;1387;7.5(25)
01-12-2023;1387;4.6(18)
01-01-2023;1387E;-2.3(31)
01-02-2023;1387E;-1.6(05)
01-03-2023;1387E;-2.3(02)
01-04-2023;1387E;2.0(05)
01-05-2023;1387E;7.7(13)
01-06-2023;1387E;11.0(02)
01-07-2023;1387E;9.6(17)
01-08-2023;1387E;0
01-09-2023;1387E;10.7(23)
01-10-2023;1387E;9.2(22)
01-11-2023;1387E;2.5(24)
01-12-2023;1387E;0.1(17)
01-01-2023;1428;-2.3(31)
01-02-2023;1428;-1.4(03)
01-03-2023;1428;-3.2(02)
01-04-2023;1428;1.0(02)
01-05-2023;1428;6.9(10)
01-06-2023;1428;10.7(02)
01-07-2023;1428;0
01-08-2023;1428;9.8(26)
01-09-2023;1428;8.4(23)
01-10-2023;1428;7.7(20)
01-11-2023;1428;0.4(25)
01-12-2023;1428;-3.5(18)
01-01-2023;8175;-7.4(28)
01-02-2023;8175;-6.3(01)
01-03-2023;8175;-7.1(01)
01-04-2023;8175;0.4(03)
01-05-2023;8175;4.9(14)
01-06-2023;8175;11.8(01)
01-07-2023;8175;14.7(05)
01-08-2023;8175;11.8(28)
01-09-2023;8175;6.9(23)
01-10-2023;8175;5.4(22)
01-11-2023;8175;-2.2(23)
01-12-2023;8175;-6.3(27)
01-01-2023;8178D;-4.6(29)
01-02-2023;8178D;-3.6(28)
01-03-2023;8178D;-4.8(01)
01-04-2023;8178D;1.1(03)
01-05-2023;8178D;6.7(15)
01-06-2023;8178D;11.9(04)
01-07-2023;8178D;16.7(05)
01-08-2023;8178D;11.6(28)
01-09-2023;8178D;9.7(23)
01-10-2023;8178D;5.8(22)
01-11-2023;8178D;0.1(24)
01-12-2023;8178D;-5.5(27)
01-01-2023;8025;1.2(24)
01-02-2023;8025;1.5(01)
01-03-2023;8025;2.8(02)
01-04-2023;8025;7.1(07)
01-05-2023;8025;0
01-06-2023;8025;16.2(01)
01-07-2023;8025;22.1(02)
01-08-2023;8025;19.9(31)
01-09-2023;8025;16.5(23)
01-10-2023;8025;11.8(29)
01-11-2023;8025;5.8(24)
01-12-2023;8025;2.3(19)
01-01-2023;8019;1.2(22)
01-02-2023;8019;1.8(03)
01-03-2023;8019;3.0(02)
01-04-2023;8019;7.8(08)
01-05-2023;8019;10.4(14)
01-06-2023;8019;17.2(01)
01-07-2023;8019;22.0(29)
01-08-2023;8019;18.4(28)
01-09-2023;8019;16.2(25)
01-10-2023;8019;9.8(29)
01-11-2023;8019;6.5(24)
01-12-2023;8019;0
01-01-2023;6325O;4.8(23)
01-02-2023;6325O;5.4(03)
01-03-2023;6325O;6.3(01)
01-04-2023;6325O;9.9(08)
01-05-2023;6325O;13.5(14)
01-06-2023;6325O;17.1(03)
01-07-2023;6325O;21.5(25)
01-08-2023;6325O;19.3(29)
01-09-2023;6325O;18.6(25)
01-10-2023;6325O;10.8(29)
01-11-2023;6325O;8.5(25)
01-12-2023;6325O;4.9(20)
01-01-2023;9091O;-4.6(21)
01-02-2023;9091O;-6.3(11)
01-03-2023;9091O;-4.9(05)
01-04-2023;9091O;-3.6(05)
01-05-2023;9091O;1.1(02)
01-06-2023;9091O;9.2(16)
01-07-2023;9091O;9.5(23)
01-08-2023;9091O;6.7(07)
01-09-2023;9091O;5.1(23)
01-10-2023;9091O;3.1(22)
01-11-2023;9091O;1.7(07)
01-12-2023;9091O;-3.7(26)
01-01-2023;1212E;0.5(23)
01-02-2023;1212E;1.1(07)
01-03-2023;1212E;1.3(01)
01-04-2023;1212E;1.8(05)
01-05-2023;1212E;6.5(17)
01-06-2023;1212E;12.9(30)
01-07-2023;1212E;13.0(17)
01-08-2023;1212E;12.5(07)
01-09-2023;1212E;12.1(24)
01-10-2023;1212E;9.0(24)
01-11-2023;1212E;5.8(23)
01-12-2023;1212E;2.4(18)
01-01-2023;1208H;3.1(23)
01-02-2023;1208H;3.7(08)
01-03-2023;1208H;3.4(01)
