FECHA;INDICATIVO;DIAS_LLU
01-01-2016;1387;25
01-02-2016;1387;20
01-03-2016;1387;20
01-04-2016;1387;18
01-05-2016;1387;20
01-06-2016;1387;12
01-07-2016;1387;5
01-08-2016;1387;7
01-09-2016;1387;11
01-10-2016;1387;9
01-11-2016;1387;18
01-12-2016;1387;10
01-01-2016;1387E;0
01-02-2016;1387E;0
01-03-2016;1387E;0
01-04-2016;1387E;17
01-05-2016;1387E;20
01-06-2016;1387E;0
01-07-2016;1387E;4
01-08-2016;1387E;7
01-09-2016;1387E;12
01-10-2016;1387E;0
01-11-2016;1387E;19
01-12-2016;1387E;13
01-01-2016;1428;0
01-02-2016;1428;21
01-03-2016;1428;20
01-04-2016;1428;19
01-05-2016;1428;19
01-06-2016;1428;9
01-07-2016;1428;5
01-08-2016;1428;6
01-09-2016;1428;9
01-10-2016;1428;10
01-11-2016;1428;18
01-12-2016;1428;10
01-01-2016;8175;10
01-02-2016;8175;13
01-03-2016;8175;12
01-04-2016;8175;15
01-05-2016;8175;11
01-06-2016;8175;3
01-07-2016;8175;5
01-08-2016;8175;4
01-09-2016;8175;2
01-10-2016;8175;11
01-11-2016;8175;14
01-12-2016;8175;10
01-01-2016;8178D;11
01-02-2016;8178D;12
01-03-2016;8178D;11
01-04-2016;8178D;12
01-05-2016;8178D;9
01-06-2016;8178D;1
01-07-2016;8178D;4
01-08-2016;8178D;4
01-09-2016;8178D;1
01-10-2016;8178D;10
01-11-2016;8178D;11
01-12-2016;8178D;8
01-01-2016;8025;2
01-02-2016;8025;4
01-03-2016;8025;6
01-04-2016;8025;5
01-05-2016;8025;8
01-06-2016;8025;1
01-07-2016;8025;1
01-08-2016;8025;2
01-09-2016;8025;4
01-10-2016;8025;8
01-11-2016;8025;11
01-12-2016;8025;12
01-01-2016;8019;4
01-02-2016;8019;6
01-03-2016;8019;6
01-04-2016;8019;6
01-05-2016;8019;6
01-06-2016;8019;1
01-07-2016;8019;0
01-08-2016;8019;1
01-09-2016;8019;2
01-10-2016;8019;7
01-11-2016;8019;9
01-12-2016;8019;12
01-01-2016;6325O;4
01-02-2016;6325O;3
01-03-2016;6325O;3
01-04-2016;6325O;6
01-05-2016;6325O;6
01-06-2016;6325O;3
01-07-2016;6325O;0
01-08-2016;6325O;2
01-09-2016;6325O;2
01-10-2016;6325O;3
01-11-2016;6325O;6
01-12-2016;6325O;9
01-01-2016;9091O;19
01-02-2016;9091O;14
01-03-2016;9091O;20
01-04-2016;9091O;23
01-05-2016;9091O;18
