FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-01-2021;B278;14.7
01-02-2021;B278;17.7
01-03-2021;B278;17.5
01-04-2021;B278;19.2
01-05-2021;B278;23.1
01-06-2021;B278;28.8
01-07-2021;B278;31.2
01-08-2021;B278;31.9
01-09-2021;B278;29.8
01-10-2021;B278;24.3
01-11-2021;B278;17.5
01-12-2021;B278;16.7
01-01-2021;B228;15.6
01-02-2021;B228;18.0
01-03-2021;B228;18.2
01-04-2021;B228;19.3
01-05-2021;B228;23.0
01-06-2021;B228;28.2
01-07-2021;B228;30.5
01-08-2021;B228;31.4
01-09-2021;B228;29.5
01-10-2021;B228;24.4
01-11-2021;B228;18.2
01-12-2021;B228;17.4
01-01-2021;0200E;11.1
01-02-2021;0200E;15.0
01-03-2021;0200E;16.3
01-04-2021;0200E;17.0
01-05-2021;0200E;22.0
01-06-2021;0200E;28.1
01-07-2021;0200E;30.0
01-08-2021;0200E;29.1
01-09-2021;0200E;27.4
01-10-2021;0200E;22.0
01-11-2021;0200E;14.7
01-12-2021;0200E;14.2
01-01-2021;0076;13.0
01-02-2021;0076;15.8
01-03-2021;0076;0
01-04-2021;0076;17.4
01-05-2021;0076;21.2
01-06-2021;0076;27.2
01-07-2021;0076;0
01-08-2021;0076;0
01-09-2021;0076;27.4
01-10-2021;0076;0
01-11-2021;0076;17.1
01-12-2021;0076;16.4
01-01-2021;1082;12.3
01-02-2021;1082;17.2
01-03-2021;1082;16.7
01-04-2021;1082;17.5
01-05-2021;1082;20.4
01-06-2021;1082;23.1
01-07-2021;1082;23.9
01-08-2021;1082;24.6
01-09-2021;1082;26.1
01-10-2021;1082;22.1
01-11-2021;1082;14.0
01-12-2021;1082;16.8
01-01-2021;2331;5.9
01-02-2021;2331;11.3
01-03-2021;2331;13.0
01-04-2021;2331;14.2
01-05-2021;2331;19.5
01-06-2021;2331;23.7
01-07-2021;2331;27.6
01-08-2021;2331;28.7
01-09-2021;2331;23.4
01-10-2021;2331;18.7
01-11-2021;2331;9.1
01-12-2021;2331;10.5
01-01-2021;3469A;11.4
01-02-2021;3469A;15.2
01-03-2021;3469A;18.2
01-04-2021;3469A;20.5
01-05-2021;3469A;25.0
01-06-2021;3469A;29.9
01-07-2021;3469A;33.5
01-08-2021;3469A;34.9
01-09-2021;3469A;27.7
01-10-2021;3469A;24.3
01-11-2021;3469A;15.2
01-12-2021;3469A;15.1
01-01-2021;5973;14.7
01-02-2021;5973;18.1
01-03-2021;5973;19.4
01-04-2021;5973;20.7
01-05-2021;5973;23.7
01-06-2021;5973;25.1
01-07-2021;5973;27.4
01-08-2021;5973;27.6
01-09-2021;5973;26.8
01-10-2021;5973;25.1
01-11-2021;5973;18.6
01-12-2021;5973;17.5
01-01-2021;5960;14.9
01-02-2021;5960;18.7
01-03-2021;5960;21.3
01-04-2021;5960;23.6
01-05-2021;5960;0
01-06-2021;5960;30.5
01-07-2021;5960;34.7
01-08-2021;5960;35.2
01-09-2021;5960;31.4
01-10-2021;5960;28.3
01-11-2021;5960;0
01-12-2021;5960;19.3
01-01-2021;5910;14.7
01-02-2021;5910;18.4
01-03-2021;5910;20.4
01-04-2021;5910;21.9
01-05-2021;5910;25.7
01-06-2021;5910;27.2
01-07-2021;5910;30.2
01-08-2021;5910;30.2
01-09-2021;5910;28.4
01-10-2021;5910;26.8
01-11-2021;5910;19.3
01-12-2021;5910;18.2
01-01-2021;6001;0
01-02-2021;6001;15.9
01-03-2021;6001;16.7
01-04-2021;6001;18.5
01-05-2021;6001;21.2
01-06-2021;6001;23.0
01-07-2021;6001;24.6
01-08-2021;6001;26.2
01-09-2021;6001;24.9
01-10-2021;6001;22.3
01-11-2021;6001;0
01-12-2021;6001;15.9
01-01-2021;1111;12.1
01-02-2021;1111;16.5
01-03-2021;1111;15.2
01-04-2021;1111;15.4
01-05-2021;1111;17.0
01-06-2021;1111;19.9
01-07-2021;1111;21.3
01-08-2021;1111;22.4
01-09-2021;1111;22.4
01-10-2021;1111;20.1
01-11-2021;1111;14.2
01-12-2021;1111;15.3
01-01-2021;1109;12.6
01-02-2021;1109;17.1
01-03-2021;1109;16.4
01-04-2021;1109;16.8
01-05-2021;1109;19.1
01-06-2021;1109;21.5
01-07-2021;1109;23.0
01-08-2021;1109;23.6
01-09-2021;1109;24.0
01-10-2021;1109;21.2
01-11-2021;1109;14.8
01-12-2021;1109;16.4
01-01-2021;8500A;16.3
01-02-2021;8500A;17.7
01-03-2021;8500A;17.4
01-04-2021;8500A;18.5
01-05-2021;8500A;23.6
01-06-2021;8500A;28.1
01-07-2021;8500A;30.0
01-08-2021;8500A;30.3
01-09-2021;8500A;28.3
01-10-2021;8500A;24.2
