FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2018;1387;17
01-02-2018;1387;15
01-03-2018;1387;24
01-04-2018;1387;14
01-05-2018;1387;7
01-06-2018;1387;13
01-07-2018;1387;4
01-08-2018;1387;3
01-09-2018;1387;1
01-10-2018;1387;9
01-11-2018;1387;18
01-12-2018;1387;11
01-01-2018;1387E;17
01-02-2018;1387E;15
01-03-2018;1387E;24
01-04-2018;1387E;13
01-05-2018;1387E;6
01-06-2018;1387E;10
01-07-2018;1387E;5
01-08-2018;1387E;0
01-09-2018;1387E;1
01-10-2018;1387E;9
01-11-2018;1387E;15
01-12-2018;1387E;9
01-01-2018;1428;16
01-02-2018;1428;14
01-03-2018;1428;24
01-04-2018;1428;16
01-05-2018;1428;5
01-06-2018;1428;8
01-07-2018;1428;7
01-08-2018;1428;2
01-09-2018;1428;0
01-10-2018;1428;10
01-11-2018;1428;18
01-12-2018;1428;15
01-01-2018;8175;6
01-02-2018;8175;6
01-03-2018;8175;14
01-04-2018;8175;5
01-05-2018;8175;6
01-06-2018;8175;2
01-07-2018;8175;0
01-08-2018;8175;5
01-09-2018;8175;5
01-10-2018;8175;7
01-11-2018;8175;7
01-12-2018;8175;2
01-01-2018;8178D;7
01-02-2018;8178D;6
01-03-2018;8178D;14
01-04-2018;8178D;8
01-05-2018;8178D;8
01-06-2018;8178D;2
01-07-2018;8178D;0
01-08-2018;8178D;6
01-09-2018;8178D;3
01-10-2018;8178D;8
01-11-2018;8178D;7
01-12-2018;8178D;2
01-01-2018;8025;3
01-02-2018;8025;4
01-03-2018;8025;7
01-04-2018;8025;2
01-05-2018;8025;2
01-06-2018;8025;3
01-07-2018;8025;0
01-08-2018;8025;2
01-09-2018;8025;5
01-10-2018;8025;6
01-11-2018;8025;5
01-12-2018;8025;1
01-01-2018;8019;5
01-02-2018;8019;5
01-03-2018;8019;7
01-04-2018;8019;3
01-05-2018;8019;1
01-06-2018;8019;3
01-07-2018;8019;0
01-08-2018;8019;0
01-09-2018;8019;4
01-10-2018;8019;4
01-11-2018;8019;7
01-12-2018;8019;1
01-01-2018;6325O;3
01-02-2018;6325O;4
01-03-2018;6325O;10
01-04-2018;6325O;5
01-05-2018;6325O;2
01-06-2018;6325O;2
01-07-2018;6325O;0
01-08-2018;6325O;0
01-09-2018;6325O;3
01-10-2018;6325O;7
01-11-2018;6325O;3
01-12-2018;6325O;1
01-01-2018;9091O;12
01-02-2018;9091O;19
01-03-2018;9091O;20
01-04-2018;9091O;11
01-05-2018;9091O;10
01-06-2018;9091O;9
01-07-2018;9091O;7
01-08-2018;9091O;1
01-09-2018;9091O;3
01-10-2018;9091O;8
01-11-2018;9091O;13
01-12-2018;9091O;6
01-01-2018;1212E;13
01-02-2018;1212E;16
01-03-2018;1212E;19
01-04-2018;1212E;7
01-05-2018;1212E;10
01-06-2018;1212E;15
01-07-2018;1212E;9
01-08-2018;1212E;6
01-09-2018;1212E;4
01-10-2018;1212E;9
01-11-2018;1212E;10
01-12-2018;1212E;8
01-01-2018;1208H;17
01-02-2018;1208H;16
01-03-2018;1208H;15
01-04-2018;1208H;11
01-05-2018;1208H;11
01-06-2018;1208H;12
01-07-2018;1208H;9
01-08-2018;1208H;4
01-09-2018;1208H;4
01-10-2018;1208H;12
01-11-2018;1208H;14
01-12-2018;1208H;7
01-01-2018;1249I;16
01-02-2018;1249I;19
01-03-2018;1249I;18
01-04-2018;1249I;14
01-05-2018;1249I;12
01-06-2018;1249I;10
01-07-2018;1249I;12
01-08-2018;1249I;6
01-09-2018;1249I;4
01-10-2018;1249I;10
01-11-2018;1249I;13
01-12-2018;1249I;6
01-01-2018;2444;6
01-02-2018;2444;7
01-03-2018;2444;14
01-04-2018;2444;11
01-05-2018;2444;10
01-06-2018;2444;9
01-07-2018;2444;1
01-08-2018;2444;0
01-09-2018;2444;5
01-10-2018;2444;8
01-11-2018;2444;12
01-12-2018;2444;2
01-01-2018;4452;6
01-02-2018;4452;5
01-03-2018;4452;18
01-04-2018;4452;12
01-05-2018;4452;4
01-06-2018;4452;1
01-07-2018;4452;1
01-08-2018;4452;0
01-09-2018;4452;2
01-10-2018;4452;11
01-11-2018;4452;9
01-12-2018;4452;3
01-01-2018;B954;4
01-02-2018;B954;11
01-03-2018;B954;6
01-04-2018;B954;5
01-05-2018;B954;3
01-06-2018;B954;1
01-07-2018;B954;0
01-08-2018;B954;4
01-09-2018;B954;7
01-10-2018;B954;9
01-11-2018;B954;7
01-12-2018;B954;3
01-01-2018;B893;8
01-02-2018;B893;12
01-03-2018;B893;13
01-04-2018;B893;7
01-05-2018;B893;6
01-06-2018;B893;4
01-07-2018;B893;1
01-08-2018;B893;3
01-09-2018;B893;3
01-10-2018;B893;8
01-11-2018;B893;11
01-12-2018;B893;2
01-01-2018;B228;3
01-02-2018;B228;11
01-03-2018;B228;11
01-04-2018;B228;8
01-05-2018;B228;5
01-06-2018;B228;3
01-07-2018;B228;0
01-08-2018;B228;3
01-09-2018;B228;6
01-10-2018;B228;12
01-11-2018;B228;10
01-12-2018;B228;1
01-01-2018;B278;5
01-02-2018;B278;12
01-03-2018;B278;11
01-04-2018;B278;6
01-05-2018;B278;5
01-06-2018;B278;3
01-07-2018;B278;0
01-08-2018;B278;2
01-09-2018;B278;4
01-10-2018;B278;12
01-11-2018;B278;9
01-12-2018;B278;1
01-01-2018;0200E;6
