FECHA;INDICATIVO;TEMP_10cm
01-01-2019;1387;9.1
01-02-2019;1387;10.8
01-03-2019;1387;13.2
01-04-2019;1387;14.2
01-05-2019;1387;17.4
01-06-2019;1387;19.7
01-07-2019;1387;21.9
01-08-2019;1387;21.8
01-09-2019;1387;20.0
01-10-2019;1387;17.3
01-11-2019;1387;13.2
01-12-2019;1387;10.9
01-01-2019;9091O;5.7
01-02-2019;9091O;7.4
01-03-2019;9091O;10.6
01-04-2019;9091O;12.0
01-05-2019;9091O;0
01-06-2019;9091O;21.6
01-07-2019;9091O;24.2
01-08-2019;9091O;23.9
01-09-2019;9091O;20.3
01-10-2019;9091O;16.7
01-11-2019;9091O;10.0
01-12-2019;9091O;7.9
01-01-2019;2444;0
01-02-2019;2444;5.2
01-03-2019;2444;0
01-04-2019;2444;0
01-05-2019;2444;18.6
01-06-2019;2444;23.7
01-07-2019;2444;0
01-08-2019;2444;0
01-09-2019;2444;0
01-10-2019;2444;0
01-11-2019;2444;0
01-12-2019;2444;0
01-01-2019;4452;7.6
01-02-2019;4452;10.9
01-03-2019;4452;0
01-04-2019;4452;0
01-05-2019;4452;24.5
01-06-2019;4452;27.8
01-07-2019;4452;30.8
01-08-2019;4452;30.7
01-09-2019;4452;27.0
01-10-2019;4452;20.7
01-11-2019;4452;14.0
01-12-2019;4452;11.9
01-01-2019;0200E;5.2
01-02-2019;0200E;6.9
01-03-2019;0200E;11.2
01-04-2019;0200E;13.0
01-05-2019;0200E;16.5
01-06-2019;0200E;23.8
01-07-2019;0200E;27.6
01-08-2019;0200E;26.5
01-09-2019;0200E;20.9
01-10-2019;0200E;17.2
01-11-2019;0200E;0
01-12-2019;0200E;0
01-01-2019;2331;2.5
01-02-2019;2331;5.1
01-03-2019;2331;9.4
01-04-2019;2331;11.4
01-05-2019;2331;17.2
01-06-2019;2331;24.6
01-07-2019;2331;26.1
01-08-2019;2331;25.3
01-09-2019;2331;19.7
01-10-2019;2331;15.0
01-11-2019;2331;0
01-12-2019;2331;5.5
01-01-2019;3469A;6.4
01-02-2019;3469A;9.0
01-03-2019;3469A;13.1
01-04-2019;3469A;15.2
01-05-2019;3469A;23.1
01-06-2019;3469A;27.6
01-07-2019;3469A;0
01-08-2019;3469A;0
01-09-2019;3469A;26.8
01-10-2019;3469A;19.7
01-11-2019;3469A;12.8
01-12-2019;3469A;10.2
01-01-2019;1024E;6.4
01-02-2019;1024E;8.9
01-03-2019;1024E;11.1
01-04-2019;1024E;13.1
01-05-2019;1024E;15.5
01-06-2019;1024E;20.4
01-07-2019;1024E;22.9
01-08-2019;1024E;22.8
01-09-2019;1024E;19.8
01-10-2019;1024E;0
01-11-2019;1024E;10.1
01-12-2019;1024E;0
01-01-2019;1484C;7.4
01-02-2019;1484C;10.2
01-03-2019;1484C;12.8
01-04-2019;1484C;14.7
01-05-2019;1484C;17.6
01-06-2019;1484C;19.3
01-07-2019;1484C;22.9
01-08-2019;1484C;22.3
01-09-2019;1484C;21.7
01-10-2019;1484C;17.4
01-11-2019;1484C;0
01-12-2019;1484C;0
01-01-2019;2867;3.8
01-02-2019;2867;7.8
01-03-2019;2867;13.0
01-04-2019;2867;15.2
01-05-2019;2867;23.9
01-06-2019;2867;28.2
01-07-2019;2867;32.6
01-08-2019;2867;30.3
01-09-2019;2867;23.7
01-10-2019;2867;0
01-11-2019;2867;10.5
01-12-2019;2867;8.1
01-01-2019;2422;2.7
01-02-2019;2422;6.6
01-03-2019;2422;0
01-04-2019;2422;13.0
01-05-2019;2422;20.0
01-06-2019;2422;25.7
01-07-2019;2422;29.4
01-08-2019;2422;28.0
01-09-2019;2422;22.0
01-10-2019;2422;0
01-11-2019;2422;8.5
01-12-2019;2422;0
01-01-2019;2539;1.9
01-02-2019;2539;5.4
01-03-2019;2539;9.5
01-04-2019;2539;11.7
01-05-2019;2539;19.2
01-06-2019;2539;24.5
01-07-2019;2539;29.0
01-08-2019;2539;26.4
01-09-2019;2539;20.2
01-10-2019;2539;14.2
01-11-2019;2539;7.4
01-12-2019;2539;5.9
