FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2018;1387;9.3
01-02-2018;1387;6.6
01-03-2018;1387;7.6
01-04-2018;1387;10.2
01-05-2018;1387;12.1
01-06-2018;1387;14.7
01-07-2018;1387;17.0
01-08-2018;1387;16.8
01-09-2018;1387;16.0
01-10-2018;1387;12.6
01-11-2018;1387;10.5
01-12-2018;1387;10.7
01-01-2018;1387E;6.7
01-02-2018;1387E;3.6
01-03-2018;1387E;5.6
01-04-2018;1387E;7.9
01-05-2018;1387E;10.2
01-06-2018;1387E;13.8
01-07-2018;1387E;15.9
01-08-2018;1387E;14.7
01-09-2018;1387E;14.1
01-10-2018;1387E;9.6
01-11-2018;1387E;8.2
01-12-2018;1387E;7.8
01-01-2018;1428;4.7
01-02-2018;1428;2.2
01-03-2018;1428;3.9
01-04-2018;1428;6.5
01-05-2018;1428;8.7
01-06-2018;1428;12.3
01-07-2018;1428;14.6
01-08-2018;1428;14.0
01-09-2018;1428;13.7
01-10-2018;1428;8.8
01-11-2018;1428;6.8
01-12-2018;1428;6.9
01-01-2018;8175;0.9
01-02-2018;8175;-0.5
01-03-2018;8175;4.0
01-04-2018;8175;6.2
01-05-2018;8175;8.6
01-06-2018;8175;13.6
01-07-2018;8175;16.3
01-08-2018;8175;18.4
01-09-2018;8175;15.3
01-10-2018;8175;8.1
01-11-2018;8175;4.8
01-12-2018;8175;0.1
01-01-2018;8178D;2.1
01-02-2018;8178D;0.7
01-03-2018;8178D;4.7
01-04-2018;8178D;7.3
01-05-2018;8178D;9.9
01-06-2018;8178D;14.9
01-07-2018;8178D;18.4
01-08-2018;8178D;19.5
01-09-2018;8178D;16.4
01-10-2018;8178D;9.5
01-11-2018;8178D;6.2
01-12-2018;8178D;1.8
01-01-2018;8025;7.8
01-02-2018;8025;6.1
01-03-2018;8025;9.6
01-04-2018;8025;12.0
01-05-2018;8025;14.4
01-06-2018;8025;18.4
01-07-2018;8025;21.9
01-08-2018;8025;22.6
01-09-2018;8025;20.5
01-10-2018;8025;14.1
01-11-2018;8025;9.9
01-12-2018;8025;7.3
01-01-2018;8019;8.0
01-02-2018;8019;6.5
01-03-2018;8019;8.6
01-04-2018;8019;11.5
01-05-2018;8019;14.3
01-06-2018;8019;18.5
01-07-2018;8019;0
01-08-2018;8019;23.3
01-09-2018;8019;21.1
01-10-2018;8019;14.8
01-11-2018;8019;0
01-12-2018;8019;0
01-01-2018;6325O;8.5
01-02-2018;6325O;8.0
01-03-2018;6325O;10.5
01-04-2018;6325O;12.6
01-05-2018;6325O;14.7
01-06-2018;6325O;18.7
01-07-2018;6325O;20.6
01-08-2018;6325O;23.9
01-09-2018;6325O;0
01-10-2018;6325O;16.5
01-11-2018;6325O;11.7
01-12-2018;6325O;9.5
01-01-2018;9091O;2.2
01-02-2018;9091O;0.4
01-03-2018;9091O;3.5
01-04-2018;9091O;6.2
01-05-2018;9091O;6.7
01-06-2018;9091O;11.4
01-07-2018;9091O;14.5
01-08-2018;9091O;12.8
01-09-2018;9091O;11.3
01-10-2018;9091O;7.0
01-11-2018;9091O;5.0
01-12-2018;9091O;1.7
01-01-2018;1212E;7.3
01-02-2018;1212E;4.1
01-03-2018;1212E;0
01-04-2018;1212E;8.7
01-05-2018;1212E;0
01-06-2018;1212E;14.0
01-07-2018;1212E;0
01-08-2018;1212E;16.0
01-09-2018;1212E;15.3
01-10-2018;1212E;9.8
01-11-2018;1212E;8.2
01-12-2018;1212E;8.1
01-01-2018;1208H;8.7
01-02-2018;1208H;5.8
01-03-2018;1208H;7.7
01-04-2018;1208H;10.5
01-05-2018;1208H;12.6
01-06-2018;1208H;15.8
01-07-2018;1208H;18.7
01-08-2018;1208H;18.2
01-09-2018;1208H;17.2
01-10-2018;1208H;12.0
01-11-2018;1208H;9.6
01-12-2018;1208H;9.5
01-01-2018;1249I;5.5
01-02-2018;1249I;2.3
01-03-2018;1249I;4.8
01-04-2018;1249I;7.7
01-05-2018;1249I;9.4
01-06-2018;1249I;13.3
01-07-2018;1249I;16.0
01-08-2018;1249I;15.8
01-09-2018;1249I;14.9
